,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,9.82,87,1009,overcast clouds,1714694400,2.06,110,Buje,2024-05-03 02:00:00,10
1,9.82,87,1009,overcast clouds,1714698000,2.57,100,Buje,2024-05-03 03:00:00,10
2,9.82,87,1009,overcast clouds,1714701600,2.06,120,Buje,2024-05-03 04:00:00,10
3,9.82,87,1009,overcast clouds,1714705200,3.09,120,Buje,2024-05-03 05:00:00,10
4,8.82,93,1009,overcast clouds,1714708800,2.57,130,Buje,2024-05-03 06:00:00,10
5,9.82,87,1009,overcast clouds,1714712400,2.06,120,Buje,2024-05-03 07:00:00,10
6,11.82,76,1010,clear sky,1714716000,2.57,120,Buje,2024-05-03 08:00:00,10
7,13.82,67,1010,scattered clouds,1714719600,2.57,180,Buje,2024-05-03 09:00:00,10
8,14.82,67,1010,broken clouds,1714723200,0.51,0,Buje,2024-05-03 10:00:00,10
9,15.82,67,1010,broken clouds,1714726800,1.54,240,Buje,2024-05-03 11:00:00,10
10,15.82,55,1011,broken clouds,1714730400,2.06,210,Buje,2024-05-03 12:00:00,10
11,15.82,63,1011,broken clouds,1714734000,2.06,250,Buje,2024-05-03 13:00:00,10
12,14.82,72,1011,overcast clouds,1714737600,2.06,260,Buje,2024-05-03 14:00:00,10
13,14.82,77,1011,overcast clouds,1714741200,2.57,320,Buje,2024-05-03 15:00:00,10
14,13.82,72,1011,light rain,1714744800,2.57,10,Buje,2024-05-03 16:00:00,10
15,13.82,72,1012,light rain,1714748400,3.09,10,Buje,2024-05-03 17:00:00,10
16,13.82,72,1012,light rain,1714752000,1.54,20,Buje,2024-05-03 18:00:00,10
17,13.82,72,1012,light rain,1714755600,1.03,20,Buje,2024-05-03 19:00:00,10
18,12.82,82,1012,moderate rain,1714759200,2.06,110,Buje,2024-05-03 20:00:00,10
19,11.82,88,1012,light intensity shower rain,1714762800,2.06,130,Buje,2024-05-03 21:00:00,10
20,10.82,94,1013,overcast clouds,1714766400,1.54,120,Buje,2024-05-03 22:00:00,10
21,10.82,94,1013,light intensity shower rain,1714770000,1.03,0,Buje,2024-05-03 23:00:00,10
22,10.82,94,1013,overcast clouds,1714773600,1.03,0,Buje,2024-05-04 00:00:00,10
23,10.82,94,1013,overcast clouds,1714777200,1.03,120,Buje,2024-05-04 01:00:00,10
24,10.82,94,1013,overcast clouds,1714780800,0.51,100,Buje,2024-05-04 02:00:00,10
25,10.82,94,1013,broken clouds,1714784400,1.03,120,Buje,2024-05-04 03:00:00,10
26,10.82,94,1013,broken clouds,1714788000,0.51,0,Buje,2024-05-04 04:00:00,10
27,10.82,94,1014,broken clouds,1714791600,0.51,0,Buje,2024-05-04 05:00:00,10
28,10.82,94,1014,overcast clouds,1714795200,1.03,0,Buje,2024-05-04 06:00:00,10
29,11.82,94,1014,broken clouds,1714798800,1.54,0,Buje,2024-05-04 07:00:00,10
30,12.82,88,1014,broken clouds,1714802400,0.51,0,Buje,2024-05-04 08:00:00,10
31,13.82,88,1015,broken clouds,1714806000,1.03,0,Buje,2024-05-04 09:00:00,10
32,15.82,72,1015,broken clouds,1714809600,2.57,310,Buje,2024-05-04 10:00:00,10
33,15.82,77,1015,broken clouds,1714813200,3.09,320,Buje,2024-05-04 11:00:00,10
34,14.82,77,1016,broken clouds,1714816800,2.06,310,Buje,2024-05-04 12:00:00,10
35,15.82,77,1016,broken clouds,1714820400,2.06,300,Buje,2024-05-04 13:00:00,10
36,15.82,77,1015,broken clouds,1714824000,3.09,280,Buje,2024-05-04 14:00:00,10
37,16.82,68,1015,broken clouds,1714827600,2.57,300,Buje,2024-05-04 15:00:00,10
38,17.82,55,1015,scattered clouds,1714831200,1.54,310,Buje,2024-05-04 16:00:00,10
39,18.82,45,1015,few clouds,1714834800,2.06,320,Buje,2024-05-04 17:00:00,10
40,18.82,56,1014,few clouds,1714838400,2.57,250,Buje,2024-05-04 18:00:00,10
41,17.82,55,1014,few clouds,1714842000,1.54,250,Buje,2024-05-04 19:00:00,10
42,16.82,59,1015,scattered clouds,1714845600,0.0,0,Buje,2024-05-04 20:00:00,10
43,13.82,77,1015,clear sky,1714849200,2.57,120,Buje,2024-05-04 21:00:00,10
44,11.82,88,1016,broken clouds,1714852800,3.09,120,Buje,2024-05-04 22:00:00,10
45,10.82,87,1016,few clouds,1714856400,3.09,120,Buje,2024-05-04 23:00:00,10
46,10.82,87,1016,few clouds,1714860000,3.6,120,Buje,2024-05-05 00:00:00,10
47,9.82,87,1016,few clouds,1714863600,3.6,120,Buje,2024-05-05 01:00:00,10
48,9.82,87,1015,few clouds,1714867200,4.12,120,Buje,2024-05-05 02:00:00,10
49,8.82,87,1015,overcast clouds,1714870800,4.12,120,Buje,2024-05-05 03:00:00,10
50,8.82,87,1015,broken clouds,1714874400,4.12,120,Buje,2024-05-05 04:00:00,10
51,8.82,87,1015,scattered clouds,1714878000,4.12,120,Buje,2024-05-05 05:00:00,10
52,8.82,87,1015,few clouds,1714881600,4.12,120,Buje,2024-05-05 06:00:00,10
53,10.82,82,1015,scattered clouds,1714885200,3.6,110,Buje,2024-05-05 07:00:00,10
54,13.82,77,1015,scattered clouds,1714888800,3.6,120,Buje,2024-05-05 08:00:00,10
55,17.82,63,1015,scattered clouds,1714892400,2.06,160,Buje,2024-05-05 09:00:00,10
56,18.82,60,1015,few clouds,1714896000,2.57,190,Buje,2024-05-05 10:00:00,10
57,19.82,60,1015,scattered clouds,1714899600,4.12,210,Buje,2024-05-05 11:00:00,10
58,18.82,64,1015,scattered clouds,1714903200,4.12,210,Buje,2024-05-05 12:00:00,10
59,19.82,56,1015,scattered clouds,1714906800,3.6,230,Buje,2024-05-05 13:00:00,10
60,19.82,52,1015,scattered clouds,1714910400,3.6,220,Buje,2024-05-05 14:00:00,10
61,19.82,52,1015,broken clouds,1714914000,3.6,220,Buje,2024-05-05 15:00:00,10
62,20.82,49,1014,scattered clouds,1714917600,4.12,200,Buje,2024-05-05 16:00:00,10
63,20.82,49,1014,scattered clouds,1714921200,3.6,210,Buje,2024-05-05 17:00:00,10
64,19.82,52,1014,scattered clouds,1714924800,3.6,200,Buje,2024-05-05 18:00:00,10
65,19.82,52,1014,clear sky,1714928400,3.09,180,Buje,2024-05-05 19:00:00,10
66,17.82,59,1014,clear sky,1714932000,2.57,180,Buje,2024-05-05 20:00:00,10
67,15.82,77,1014,few clouds,1714935600,0.51,0,Buje,2024-05-05 21:00:00,10
68,13.82,82,1014,scattered clouds,1714939200,1.54,0,Buje,2024-05-05 22:00:00,10
69,12.82,82,1014,few clouds,1714942800,1.54,100,Buje,2024-05-05 23:00:00,10
70,12.82,82,1014,scattered clouds,1714946400,3.09,120,Buje,2024-05-06 00:00:00,10
71,11.82,88,1014,scattered clouds,1714950000,2.06,120,Buje,2024-05-06 01:00:00,10
72,11.82,82,1014,few clouds,1714953600,1.03,0,Buje,2024-05-06 02:00:00,10
73,10.82,87,1014,few clouds,1714957200,2.06,130,Buje,2024-05-06 03:00:00,10
74,10.82,87,1013,overcast clouds,1714960800,1.03,0,Buje,2024-05-06 04:00:00,10
75,11.82,82,1013,scattered clouds,1714964400,2.57,110,Buje,2024-05-06 05:00:00,10
76,10.82,87,1013,few clouds,1714968000,3.6,110,Buje,2024-05-06 06:00:00,10
77,12.82,82,1013,few clouds,1714971600,2.57,110,Buje,2024-05-06 07:00:00,10
78,16.82,68,1013,clear sky,1714975200,3.6,120,Buje,2024-05-06 08:00:00,10
79,18.82,60,1013,clear sky,1714978800,4.12,130,Buje,2024-05-06 09:00:00,10
80,19.82,56,1013,clear sky,1714982400,3.09,160,Buje,2024-05-06 10:00:00,10
81,19.82,60,1013,broken clouds,1714986000,3.6,200,Buje,2024-05-06 11:00:00,10
82,20.82,40,1014,broken clouds,1714989600,4.63,190,Buje,2024-05-06 12:00:00,10
83,20.82,40,1014,clear sky,1714993200,5.14,200,Buje,2024-05-06 13:00:00,10
84,20.82,40,1013,clear sky,1714996800,5.66,200,Buje,2024-05-06 14:00:00,10
85,19.82,46,1013,clear sky,1715000400,5.66,200,Buje,2024-05-06 15:00:00,10
86,18.82,45,1014,clear sky,1715004000,4.63,190,Buje,2024-05-06 16:00:00,10
87,18.82,49,1014,clear sky,1715007600,2.57,180,Buje,2024-05-06 17:00:00,10
88,17.82,55,1014,light rain,1715011200,3.6,200,Buje,2024-05-06 18:00:00,10
89,16.82,72,1014,light rain,1715014800,2.57,180,Buje,2024-05-06 19:00:00,10
90,15.82,72,1013,broken clouds,1715018400,2.06,160,Buje,2024-05-06 20:00:00,10
91,14.82,77,1013,broken clouds,1715022000,2.06,100,Buje,2024-05-06 21:00:00,10
92,13.82,82,1013,scattered clouds,1715025600,2.57,110,Buje,2024-05-06 22:00:00,10
93,13.82,82,1014,scattered clouds,1715029200,2.57,100,Buje,2024-05-06 23:00:00,10
94,13.82,77,1014,broken clouds,1715032800,2.57,110,Buje,2024-05-07 00:00:00,10
95,13.82,82,1014,broken clouds,1715036400,2.57,110,Buje,2024-05-07 01:00:00,10
96,13.82,82,1013,broken clouds,1715040000,0.0,0,Buje,2024-05-07 02:00:00,10
97,14.82,77,1013,broken clouds,1715043600,0.0,0,Buje,2024-05-07 03:00:00,10
98,13.82,82,1013,overcast clouds,1715047200,1.03,0,Buje,2024-05-07 04:00:00,10
99,13.82,88,1012,broken clouds,1715050800,1.54,120,Buje,2024-05-07 05:00:00,10
100,13.82,88,1013,broken clouds,1715054400,0.0,0,Buje,2024-05-07 06:00:00,10
101,13.82,94,1013,overcast clouds,1715058000,0.51,130,Buje,2024-05-07 07:00:00,10
102,14.82,88,1013,broken clouds,1715061600,0.51,0,Buje,2024-05-07 08:00:00,10
103,14.82,88,1013,light rain,1715065200,1.03,0,Buje,2024-05-07 09:00:00,10
104,16.82,82,1013,broken clouds,1715068800,0.51,0,Buje,2024-05-07 10:00:00,10
105,16.82,82,1013,moderate rain,1715072400,1.54,290,Buje,2024-05-07 11:00:00,10
106,16.82,82,1013,moderate rain,1715076000,1.03,320,Buje,2024-05-07 12:00:00,10
107,15.82,88,1013,broken clouds,1715079600,3.6,310,Buje,2024-05-07 13:00:00,10
108,16.82,82,1013,light rain,1715083200,3.09,130,Buje,2024-05-07 14:00:00,10
109,16.82,88,1013,broken clouds,1715086800,2.57,310,Buje,2024-05-07 15:00:00,10
110,18.82,68,1013,broken clouds,1715090400,3.6,220,Buje,2024-05-07 16:00:00,10
111,17.82,68,1013,broken clouds,1715094000,6.17,200,Buje,2024-05-07 17:00:00,10
112,16.82,63,1013,moderate rain,1715097600,3.6,180,Buje,2024-05-07 18:00:00,10
113,14.82,77,1014,moderate rain,1715101200,2.06,140,Buje,2024-05-07 19:00:00,10
114,13.82,82,1014,broken clouds,1715104800,1.54,80,Buje,2024-05-07 20:00:00,10
