,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,12.09,94,1010,light rain,1714694400,0.88,149,Buzet,2024-05-03 02:00:00,30
1,12.09,93,1009,overcast clouds,1714698000,1.11,127,Buzet,2024-05-03 03:00:00,30
2,11.54,93,1009,overcast clouds,1714701600,1.02,126,Buzet,2024-05-03 04:00:00,30
3,10.98,93,1009,overcast clouds,1714705200,1.22,131,Buzet,2024-05-03 05:00:00,30
4,10.98,94,1010,overcast clouds,1714708800,1.28,139,Buzet,2024-05-03 06:00:00,30
5,10.98,93,1010,overcast clouds,1714712400,1.07,140,Buzet,2024-05-03 07:00:00,30
6,10.98,89,1010,overcast clouds,1714716000,1.23,169,Buzet,2024-05-03 08:00:00,30
7,11.54,85,1010,overcast clouds,1714719600,1.42,184,Buzet,2024-05-03 09:00:00,30
8,12.65,80,1010,overcast clouds,1714723200,1.1,215,Buzet,2024-05-03 10:00:00,30
9,13.76,77,1010,overcast clouds,1714726800,0.98,250,Buzet,2024-05-03 11:00:00,30
10,14.32,80,1011,overcast clouds,1714730400,0.87,303,Buzet,2024-05-03 12:00:00,30
11,14.87,89,1011,overcast clouds,1714734000,1.21,340,Buzet,2024-05-03 13:00:00,30
12,14.32,89,1011,light rain,1714737600,1.25,339,Buzet,2024-05-03 14:00:00,30
13,13.76,89,1011,light rain,1714741200,1.57,351,Buzet,2024-05-03 15:00:00,30
14,13.2,91,1012,moderate rain,1714744800,1.64,3,Buzet,2024-05-03 16:00:00,30
15,12.65,91,1012,moderate rain,1714748400,1.79,11,Buzet,2024-05-03 17:00:00,30
16,12.09,91,1012,moderate rain,1714752000,1.72,21,Buzet,2024-05-03 18:00:00,30
17,12.09,93,1012,light rain,1714755600,1.5,38,Buzet,2024-05-03 19:00:00,30
18,12.09,95,1012,light rain,1714759200,1.26,43,Buzet,2024-05-03 20:00:00,30
19,11.54,96,1013,overcast clouds,1714762800,1.25,25,Buzet,2024-05-03 21:00:00,30
20,11.54,96,1013,light rain,1714766400,1.45,7,Buzet,2024-05-03 22:00:00,30
21,11.54,96,1013,overcast clouds,1714770000,1.4,359,Buzet,2024-05-03 23:00:00,30
22,11.54,95,1014,overcast clouds,1714773600,1.26,11,Buzet,2024-05-04 00:00:00,30
23,11.54,95,1014,light rain,1714777200,1.39,347,Buzet,2024-05-04 01:00:00,30
24,11.54,96,1013,overcast clouds,1714780800,1.38,4,Buzet,2024-05-04 02:00:00,30
25,11.54,97,1013,light rain,1714784400,1.45,357,Buzet,2024-05-04 03:00:00,30
26,11.54,97,1014,overcast clouds,1714788000,1.71,356,Buzet,2024-05-04 04:00:00,30
27,11.54,97,1014,overcast clouds,1714791600,1.98,350,Buzet,2024-05-04 05:00:00,30
28,11.54,97,1014,overcast clouds,1714795200,1.96,359,Buzet,2024-05-04 06:00:00,30
29,11.54,96,1015,overcast clouds,1714798800,1.7,26,Buzet,2024-05-04 07:00:00,30
30,12.09,92,1014,scattered clouds,1714802400,1.61,21,Buzet,2024-05-04 08:00:00,30
31,12.65,80,1015,scattered clouds,1714806000,1.44,32,Buzet,2024-05-04 09:00:00,30
32,16.4,68,1015,scattered clouds,1714809600,1.1,28,Buzet,2024-05-04 10:00:00,30
33,18.63,57,1015,few clouds,1714813200,0.87,358,Buzet,2024-05-04 11:00:00,30
34,19.18,56,1015,scattered clouds,1714816800,0.79,321,Buzet,2024-05-04 12:00:00,30
35,16.4,59,1015,scattered clouds,1714820400,0.83,290,Buzet,2024-05-04 13:00:00,30
36,16.4,57,1015,scattered clouds,1714824000,1.05,280,Buzet,2024-05-04 14:00:00,30
37,18.2,58,1014,scattered clouds,1714827600,1.57,279,Buzet,2024-05-04 15:00:00,30
38,19.87,58,1014,scattered clouds,1714831200,1.86,289,Buzet,2024-05-04 16:00:00,30
39,22.09,60,1014,scattered clouds,1714834800,1.93,298,Buzet,2024-05-04 17:00:00,30
40,22.09,67,1014,scattered clouds,1714838400,2.04,304,Buzet,2024-05-04 18:00:00,30
41,20.43,80,1015,few clouds,1714842000,1.65,305,Buzet,2024-05-04 19:00:00,30
42,17.65,88,1015,clear sky,1714845600,1.31,303,Buzet,2024-05-04 20:00:00,30
43,15.98,91,1016,clear sky,1714849200,0.84,338,Buzet,2024-05-04 21:00:00,30
44,15.98,91,1016,clear sky,1714852800,0.86,357,Buzet,2024-05-04 22:00:00,30
45,15.43,89,1017,clear sky,1714856400,1.11,28,Buzet,2024-05-04 23:00:00,30
46,14.87,88,1017,clear sky,1714860000,1.31,39,Buzet,2024-05-05 00:00:00,30
47,14.87,87,1016,clear sky,1714863600,1.01,46,Buzet,2024-05-05 01:00:00,30
48,14.87,87,1016,overcast clouds,1714867200,0.85,51,Buzet,2024-05-05 02:00:00,30
49,9.4,87,1016,overcast clouds,1714870800,0.62,58,Buzet,2024-05-05 03:00:00,30
50,14.32,87,1016,overcast clouds,1714874400,0.91,73,Buzet,2024-05-05 04:00:00,30
51,14.32,88,1016,broken clouds,1714878000,0.83,85,Buzet,2024-05-05 05:00:00,30
52,9.4,88,1016,broken clouds,1714881600,0.96,97,Buzet,2024-05-05 06:00:00,30
53,14.32,84,1016,broken clouds,1714885200,1.05,113,Buzet,2024-05-05 07:00:00,30
54,14.87,75,1016,scattered clouds,1714888800,0.82,165,Buzet,2024-05-05 08:00:00,30
55,15.43,69,1016,broken clouds,1714892400,1.18,206,Buzet,2024-05-05 09:00:00,30
56,15.98,64,1016,broken clouds,1714896000,1.79,226,Buzet,2024-05-05 10:00:00,30
57,17.09,61,1015,broken clouds,1714899600,2.74,235,Buzet,2024-05-05 11:00:00,30
58,17.65,60,1015,broken clouds,1714903200,3.23,240,Buzet,2024-05-05 12:00:00,30
59,17.65,66,1015,broken clouds,1714906800,2.82,238,Buzet,2024-05-05 13:00:00,30
60,17.65,59,1015,broken clouds,1714910400,3.4,231,Buzet,2024-05-05 14:00:00,30
61,18.2,62,1015,broken clouds,1714914000,3.18,222,Buzet,2024-05-05 15:00:00,30
62,19.32,59,1015,broken clouds,1714917600,3.73,226,Buzet,2024-05-05 16:00:00,30
63,20.98,62,1015,broken clouds,1714921200,3.41,219,Buzet,2024-05-05 17:00:00,30
64,19.87,66,1014,broken clouds,1714924800,2.88,208,Buzet,2024-05-05 18:00:00,30
65,19.87,76,1014,broken clouds,1714928400,1.8,184,Buzet,2024-05-05 19:00:00,30
66,17.65,90,1015,scattered clouds,1714932000,1.92,150,Buzet,2024-05-05 20:00:00,30
67,16.4,96,1015,scattered clouds,1714935600,2.14,135,Buzet,2024-05-05 21:00:00,30
68,14.4,96,1016,scattered clouds,1714939200,1.94,138,Buzet,2024-05-05 22:00:00,30
69,15.43,96,1016,broken clouds,1714942800,1.88,132,Buzet,2024-05-05 23:00:00,30
70,15.43,96,1016,broken clouds,1714946400,2.05,120,Buzet,2024-05-06 00:00:00,30
71,14.87,95,1015,broken clouds,1714950000,2.13,120,Buzet,2024-05-06 01:00:00,30
72,14.87,95,1015,overcast clouds,1714953600,2.18,118,Buzet,2024-05-06 02:00:00,30
73,14.32,96,1015,overcast clouds,1714957200,2.23,118,Buzet,2024-05-06 03:00:00,30
74,14.32,97,1014,overcast clouds,1714960800,2.28,116,Buzet,2024-05-06 04:00:00,30
75,14.87,97,1014,overcast clouds,1714964400,2.43,116,Buzet,2024-05-06 05:00:00,30
76,14.32,98,1014,overcast clouds,1714968000,2.54,117,Buzet,2024-05-06 06:00:00,30
77,14.32,95,1014,overcast clouds,1714971600,2.47,123,Buzet,2024-05-06 07:00:00,30
78,14.87,87,1014,overcast clouds,1714975200,2.85,137,Buzet,2024-05-06 08:00:00,30
79,15.98,78,1014,overcast clouds,1714978800,3.31,155,Buzet,2024-05-06 09:00:00,30
80,17.09,67,1014,overcast clouds,1714982400,3.39,178,Buzet,2024-05-06 10:00:00,30
81,18.76,60,1014,overcast clouds,1714986000,3.72,188,Buzet,2024-05-06 11:00:00,30
82,19.32,57,1014,overcast clouds,1714989600,4.25,191,Buzet,2024-05-06 12:00:00,30
83,18.76,55,1013,overcast clouds,1714993200,4.93,192,Buzet,2024-05-06 13:00:00,30
84,19.87,50,1013,overcast clouds,1714996800,4.68,202,Buzet,2024-05-06 14:00:00,30
85,19.87,51,1013,overcast clouds,1715000400,4.68,204,Buzet,2024-05-06 15:00:00,30
86,20.98,52,1013,overcast clouds,1715004000,4.94,210,Buzet,2024-05-06 16:00:00,30
87,18.2,54,1014,overcast clouds,1715007600,4.43,212,Buzet,2024-05-06 17:00:00,30
88,18.07,59,1014,light rain,1715011200,3.08,212,Buzet,2024-05-06 18:00:00,30
89,17.03,70,1013,light rain,1715014800,1.44,178,Buzet,2024-05-06 19:00:00,30
90,14.87,81,1013,scattered clouds,1715018400,1.97,179,Buzet,2024-05-06 20:00:00,30
91,14.87,93,1014,scattered clouds,1715022000,2.01,138,Buzet,2024-05-06 21:00:00,30
92,14.87,97,1014,scattered clouds,1715025600,2.07,136,Buzet,2024-05-06 22:00:00,30
93,15.43,96,1015,scattered clouds,1715029200,1.99,132,Buzet,2024-05-06 23:00:00,30
94,15.43,96,1015,broken clouds,1715032800,2.02,128,Buzet,2024-05-07 00:00:00,30
95,15.43,97,1014,broken clouds,1715036400,1.97,125,Buzet,2024-05-07 01:00:00,30
96,15.43,97,1014,overcast clouds,1715040000,1.86,119,Buzet,2024-05-07 02:00:00,30
97,14.87,97,1014,overcast clouds,1715043600,1.88,116,Buzet,2024-05-07 03:00:00,30
98,14.87,97,1013,overcast clouds,1715047200,2.0,122,Buzet,2024-05-07 04:00:00,30
99,14.87,96,1013,overcast clouds,1715050800,2.09,119,Buzet,2024-05-07 05:00:00,30
100,14.87,97,1013,overcast clouds,1715054400,2.05,120,Buzet,2024-05-07 06:00:00,30
101,14.87,96,1013,overcast clouds,1715058000,2.06,129,Buzet,2024-05-07 07:00:00,30
102,14.87,92,1013,moderate rain,1715061600,2.67,153,Buzet,2024-05-07 08:00:00,30
103,15.98,96,1013,overcast clouds,1715065200,1.92,133,Buzet,2024-05-07 09:00:00,30
104,16.54,94,1014,light rain,1715068800,1.85,157,Buzet,2024-05-07 10:00:00,30
105,16.54,93,1014,light rain,1715072400,0.98,165,Buzet,2024-05-07 11:00:00,30
106,17.09,92,1014,moderate rain,1715076000,1.38,111,Buzet,2024-05-07 12:00:00,30
107,16.54,92,1014,light rain,1715079600,2.16,135,Buzet,2024-05-07 13:00:00,30
108,16.54,95,1014,overcast clouds,1715083200,2.77,152,Buzet,2024-05-07 14:00:00,30
109,16.54,96,1014,overcast clouds,1715086800,1.67,148,Buzet,2024-05-07 15:00:00,30
110,17.09,94,1014,overcast clouds,1715090400,1.76,138,Buzet,2024-05-07 16:00:00,30
111,15.98,93,1014,overcast clouds,1715094000,1.97,132,Buzet,2024-05-07 17:00:00,30
112,14.87,92,1014,moderate rain,1715097600,2.28,142,Buzet,2024-05-07 18:00:00,30
113,14.59,94,1014,moderate rain,1715101200,1.47,122,Buzet,2024-05-07 19:00:00,30
114,14.59,96,1014,overcast clouds,1715104800,1.38,103,Buzet,2024-05-07 20:00:00,30
