,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,11.0,86,1009,overcast clouds,1714694400,1.13,352,Labin,2024-05-03 02:00:00,1
1,11.0,84,1009,overcast clouds,1714698000,0.6,9,Labin,2024-05-03 03:00:00,1
2,10.44,83,1009,overcast clouds,1714701600,0.3,108,Labin,2024-05-03 04:00:00,1
3,10.44,84,1010,overcast clouds,1714705200,0.4,144,Labin,2024-05-03 05:00:00,1
4,9.89,84,1010,overcast clouds,1714708800,0.52,221,Labin,2024-05-03 06:00:00,1
5,11.0,84,1010,overcast clouds,1714712400,0.6,260,Labin,2024-05-03 07:00:00,1
6,12.11,83,1010,overcast clouds,1714716000,1.35,253,Labin,2024-05-03 08:00:00,1
7,13.77,80,1011,overcast clouds,1714719600,1.69,257,Labin,2024-05-03 09:00:00,1
8,14.88,77,1011,overcast clouds,1714723200,1.76,249,Labin,2024-05-03 10:00:00,1
9,13.88,74,1011,overcast clouds,1714726800,1.96,241,Labin,2024-05-03 11:00:00,1
10,14.88,72,1011,overcast clouds,1714730400,2.15,232,Labin,2024-05-03 12:00:00,1
11,16.0,74,1011,overcast clouds,1714734000,1.75,239,Labin,2024-05-03 13:00:00,1
12,15.44,75,1011,overcast clouds,1714737600,1.96,248,Labin,2024-05-03 14:00:00,1
13,14.33,75,1011,light rain,1714741200,1.43,256,Labin,2024-05-03 15:00:00,1
14,13.22,77,1011,light rain,1714744800,0.93,284,Labin,2024-05-03 16:00:00,1
15,12.66,80,1011,overcast clouds,1714748400,0.98,327,Labin,2024-05-03 17:00:00,1
16,12.66,83,1012,light rain,1714752000,1.62,9,Labin,2024-05-03 18:00:00,1
17,12.11,84,1012,overcast clouds,1714755600,1.95,40,Labin,2024-05-03 19:00:00,1
18,12.11,87,1012,overcast clouds,1714759200,2.53,39,Labin,2024-05-03 20:00:00,1
19,11.0,89,1013,overcast clouds,1714762800,2.28,22,Labin,2024-05-03 21:00:00,1
20,11.0,90,1013,overcast clouds,1714766400,2.14,5,Labin,2024-05-03 22:00:00,1
21,11.55,88,1013,overcast clouds,1714770000,1.79,341,Labin,2024-05-03 23:00:00,1
22,11.55,88,1013,overcast clouds,1714773600,1.82,331,Labin,2024-05-04 00:00:00,1
23,11.55,88,1013,overcast clouds,1714777200,1.73,324,Labin,2024-05-04 01:00:00,1
24,11.0,91,1013,overcast clouds,1714780800,1.93,348,Labin,2024-05-04 02:00:00,1
25,11.55,90,1013,overcast clouds,1714784400,2.56,343,Labin,2024-05-04 03:00:00,1
26,11.55,89,1013,overcast clouds,1714788000,2.82,344,Labin,2024-05-04 04:00:00,1
27,11.55,88,1013,overcast clouds,1714791600,3.28,341,Labin,2024-05-04 05:00:00,1
28,11.55,89,1014,overcast clouds,1714795200,3.33,355,Labin,2024-05-04 06:00:00,1
29,12.11,87,1014,overcast clouds,1714798800,3.53,357,Labin,2024-05-04 07:00:00,1
