,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,9.6,94,1009,light rain,1714694400,1.48,122,Motovun,2024-05-03 02:00:00,18
1,9.6,92,1009,overcast clouds,1714698000,1.64,120,Motovun,2024-05-03 03:00:00,18
2,9.6,92,1009,overcast clouds,1714701600,1.49,127,Motovun,2024-05-03 04:00:00,18
3,9.6,92,1009,overcast clouds,1714705200,1.59,126,Motovun,2024-05-03 05:00:00,18
4,8.6,93,1010,overcast clouds,1714708800,1.54,136,Motovun,2024-05-03 06:00:00,18
5,9.6,92,1010,overcast clouds,1714712400,1.26,145,Motovun,2024-05-03 07:00:00,18
6,11.6,88,1010,overcast clouds,1714716000,1.31,168,Motovun,2024-05-03 08:00:00,18
7,13.6,84,1010,overcast clouds,1714719600,1.75,193,Motovun,2024-05-03 09:00:00,18
8,14.6,77,1010,overcast clouds,1714723200,1.57,220,Motovun,2024-05-03 10:00:00,18
9,15.6,74,1010,overcast clouds,1714726800,1.45,240,Motovun,2024-05-03 11:00:00,18
10,15.6,78,1011,overcast clouds,1714730400,1.28,265,Motovun,2024-05-03 12:00:00,18
11,15.6,84,1011,overcast clouds,1714734000,1.16,316,Motovun,2024-05-03 13:00:00,18
12,14.6,85,1011,light rain,1714737600,1.14,330,Motovun,2024-05-03 14:00:00,18
13,14.6,85,1011,light rain,1714741200,1.68,352,Motovun,2024-05-03 15:00:00,18
14,13.6,85,1011,moderate rain,1714744800,2.27,359,Motovun,2024-05-03 16:00:00,18
15,13.6,85,1012,light rain,1714748400,2.34,1,Motovun,2024-05-03 17:00:00,18
16,13.6,85,1012,light rain,1714752000,2.27,9,Motovun,2024-05-03 18:00:00,18
17,13.6,89,1012,light rain,1714755600,1.9,18,Motovun,2024-05-03 19:00:00,18
18,12.6,93,1012,light rain,1714759200,1.55,25,Motovun,2024-05-03 20:00:00,18
19,11.6,95,1013,light rain,1714762800,1.38,31,Motovun,2024-05-03 21:00:00,18
20,10.6,94,1013,overcast clouds,1714766400,1.41,11,Motovun,2024-05-03 22:00:00,18
21,10.6,94,1013,light rain,1714770000,1.3,354,Motovun,2024-05-03 23:00:00,18
22,10.6,94,1014,overcast clouds,1714773600,1.18,356,Motovun,2024-05-04 00:00:00,18
23,10.6,95,1014,light rain,1714777200,1.34,340,Motovun,2024-05-04 01:00:00,18
24,10.6,97,1013,overcast clouds,1714780800,1.39,344,Motovun,2024-05-04 02:00:00,18
25,10.6,97,1013,overcast clouds,1714784400,1.56,353,Motovun,2024-05-04 03:00:00,18
26,10.6,97,1014,overcast clouds,1714788000,1.78,353,Motovun,2024-05-04 04:00:00,18
27,10.6,98,1014,overcast clouds,1714791600,2.16,347,Motovun,2024-05-04 05:00:00,18
28,10.6,97,1014,overcast clouds,1714795200,2.24,356,Motovun,2024-05-04 06:00:00,18
29,11.6,96,1014,overcast clouds,1714798800,1.93,21,Motovun,2024-05-04 07:00:00,18
30,12.6,93,1014,broken clouds,1714802400,1.65,20,Motovun,2024-05-04 08:00:00,18
31,13.6,80,1015,broken clouds,1714806000,1.44,12,Motovun,2024-05-04 09:00:00,18
32,15.6,69,1015,scattered clouds,1714809600,1.35,357,Motovun,2024-05-04 10:00:00,18
33,15.6,60,1015,scattered clouds,1714813200,1.57,330,Motovun,2024-05-04 11:00:00,18
34,14.6,58,1015,scattered clouds,1714816800,1.82,306,Motovun,2024-05-04 12:00:00,18
35,15.6,59,1015,scattered clouds,1714820400,1.87,293,Motovun,2024-05-04 13:00:00,18
36,15.6,58,1015,scattered clouds,1714824000,1.9,287,Motovun,2024-05-04 14:00:00,18
37,16.6,56,1015,scattered clouds,1714827600,2.39,288,Motovun,2024-05-04 15:00:00,18
38,17.6,56,1014,scattered clouds,1714831200,2.54,293,Motovun,2024-05-04 16:00:00,18
39,18.6,58,1014,scattered clouds,1714834800,2.58,295,Motovun,2024-05-04 17:00:00,18
40,18.6,64,1015,few clouds,1714838400,2.49,297,Motovun,2024-05-04 18:00:00,18
41,17.6,77,1015,few clouds,1714842000,1.69,288,Motovun,2024-05-04 19:00:00,18
42,16.6,85,1015,clear sky,1714845600,1.18,285,Motovun,2024-05-04 20:00:00,18
43,13.6,87,1016,clear sky,1714849200,0.48,348,Motovun,2024-05-04 21:00:00,18
44,11.6,86,1016,clear sky,1714852800,0.75,39,Motovun,2024-05-04 22:00:00,18
45,10.6,85,1016,clear sky,1714856400,1.23,53,Motovun,2024-05-04 23:00:00,18
46,10.6,84,1016,clear sky,1714860000,1.42,57,Motovun,2024-05-05 00:00:00,18
47,9.6,83,1016,few clouds,1714863600,0.97,57,Motovun,2024-05-05 01:00:00,18
