,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,9.19,94,1009,overcast clouds,1714694400,0.9,123,Pazin,2024-05-03 02:00:00,27
1,9.04,92,1009,overcast clouds,1714698000,1.07,120,Pazin,2024-05-03 03:00:00,27
2,8.81,92,1009,overcast clouds,1714701600,1.15,137,Pazin,2024-05-03 04:00:00,27
3,8.74,93,1009,overcast clouds,1714705200,1.38,133,Pazin,2024-05-03 05:00:00,27
4,8.73,94,1010,overcast clouds,1714708800,1.21,139,Pazin,2024-05-03 06:00:00,27
5,9.6,93,1010,overcast clouds,1714712400,0.75,148,Pazin,2024-05-03 07:00:00,27
6,11.12,89,1010,overcast clouds,1714716000,1.06,189,Pazin,2024-05-03 08:00:00,27
7,12.24,85,1010,overcast clouds,1714719600,1.73,211,Pazin,2024-05-03 09:00:00,27
8,13.24,79,1010,overcast clouds,1714723200,1.74,230,Pazin,2024-05-03 10:00:00,27
9,13.6,76,1010,overcast clouds,1714726800,1.79,233,Pazin,2024-05-03 11:00:00,27
10,13.6,77,1011,overcast clouds,1714730400,1.72,244,Pazin,2024-05-03 12:00:00,27
11,13.3,80,1011,overcast clouds,1714734000,1.33,286,Pazin,2024-05-03 13:00:00,27
12,13.01,83,1011,light rain,1714737600,1.37,296,Pazin,2024-05-03 14:00:00,27
13,13.26,83,1011,light rain,1714741200,1.44,328,Pazin,2024-05-03 15:00:00,27
14,13.03,83,1011,overcast clouds,1714744800,2.12,350,Pazin,2024-05-03 16:00:00,27
15,12.88,82,1012,overcast clouds,1714748400,2.1,354,Pazin,2024-05-03 17:00:00,27
16,12.67,83,1012,light rain,1714752000,2.04,5,Pazin,2024-05-03 18:00:00,27
17,12.02,87,1012,moderate rain,1714755600,1.6,25,Pazin,2024-05-03 19:00:00,27
18,10.64,92,1012,overcast clouds,1714759200,1.41,39,Pazin,2024-05-03 20:00:00,27
19,9.77,94,1013,overcast clouds,1714762800,1.21,25,Pazin,2024-05-03 21:00:00,27
20,9.83,94,1013,overcast clouds,1714766400,1.53,352,Pazin,2024-05-03 22:00:00,27
21,9.99,94,1013,overcast clouds,1714770000,1.32,336,Pazin,2024-05-03 23:00:00,27
22,10.11,94,1013,overcast clouds,1714773600,1.04,347,Pazin,2024-05-04 00:00:00,27
23,10.15,95,1013,overcast clouds,1714777200,1.5,327,Pazin,2024-05-04 01:00:00,27
24,10.21,96,1013,overcast clouds,1714780800,1.45,343,Pazin,2024-05-04 02:00:00,27
25,10.25,97,1013,overcast clouds,1714784400,1.75,345,Pazin,2024-05-04 03:00:00,27
26,10.22,97,1014,overcast clouds,1714788000,2.02,344,Pazin,2024-05-04 04:00:00,27
27,10.28,97,1014,overcast clouds,1714791600,2.54,339,Pazin,2024-05-04 05:00:00,27
28,10.21,97,1014,overcast clouds,1714795200,2.71,348,Pazin,2024-05-04 06:00:00,27
29,10.31,96,1014,overcast clouds,1714798800,2.34,5,Pazin,2024-05-04 07:00:00,27
30,11.64,91,1014,broken clouds,1714802400,1.89,5,Pazin,2024-05-04 08:00:00,27
31,14.18,79,1014,broken clouds,1714806000,1.25,22,Pazin,2024-05-04 09:00:00,27
32,16.42,67,1015,scattered clouds,1714809600,0.85,8,Pazin,2024-05-04 10:00:00,27
33,18.04,58,1015,scattered clouds,1714813200,1.37,337,Pazin,2024-05-04 11:00:00,27
34,18.96,56,1015,scattered clouds,1714816800,0.87,309,Pazin,2024-05-04 12:00:00,27
35,19.17,55,1015,scattered clouds,1714820400,0.79,274,Pazin,2024-05-04 13:00:00,27
36,19.52,54,1015,few clouds,1714824000,1.2,257,Pazin,2024-05-04 14:00:00,27
37,19.79,53,1014,scattered clouds,1714827600,1.89,274,Pazin,2024-05-04 15:00:00,27
38,19.65,53,1014,scattered clouds,1714831200,2.27,282,Pazin,2024-05-04 16:00:00,27
39,19.09,57,1014,scattered clouds,1714834800,2.48,290,Pazin,2024-05-04 17:00:00,27
40,18.0,65,1014,scattered clouds,1714838400,2.66,296,Pazin,2024-05-04 18:00:00,27
41,16.02,78,1014,scattered clouds,1714842000,2.03,293,Pazin,2024-05-04 19:00:00,27
42,12.99,87,1015,clear sky,1714845600,1.51,292,Pazin,2024-05-04 20:00:00,27
43,11.73,90,1016,clear sky,1714849200,1.13,329,Pazin,2024-05-04 21:00:00,27
44,11.35,89,1016,clear sky,1714852800,1.31,350,Pazin,2024-05-04 22:00:00,27
45,11.25,88,1016,clear sky,1714856400,1.55,11,Pazin,2024-05-04 23:00:00,27
46,11.12,86,1016,clear sky,1714860000,1.68,15,Pazin,2024-05-05 00:00:00,27
