,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,11.27,93,1009,few clouds,1714694400,0.51,0,Pula,2024-05-03 02:00:00,0
1,11.27,93,1009,scattered clouds,1714698000,0.0,0,Pula,2024-05-03 03:00:00,0
2,10.27,93,1009,scattered clouds,1714701600,0.0,0,Pula,2024-05-03 04:00:00,0
3,10.27,93,1009,few clouds,1714705200,0.51,0,Pula,2024-05-03 05:00:00,0
4,9.27,100,1009,few clouds,1714708800,0.0,0,Pula,2024-05-03 06:00:00,0
5,11.27,87,1009,clear sky,1714712400,2.06,350,Pula,2024-05-03 07:00:00,0
6,14.27,77,1010,clear sky,1714716000,2.06,310,Pula,2024-05-03 08:00:00,0
7,14.27,72,1010,few clouds,1714719600,3.6,270,Pula,2024-05-03 09:00:00,0
8,16.27,67,1011,few clouds,1714723200,3.6,260,Pula,2024-05-03 10:00:00,0
9,15.27,72,1011,few clouds,1714726800,4.12,260,Pula,2024-05-03 11:00:00,0
10,16.27,63,1011,few clouds,1714730400,3.6,260,Pula,2024-05-03 12:00:00,0
11,16.27,67,1011,few clouds,1714734000,3.6,250,Pula,2024-05-03 13:00:00,0
12,16.27,72,1011,few clouds,1714737600,4.12,260,Pula,2024-05-03 14:00:00,0
13,16.27,77,1011,scattered clouds,1714741200,4.12,270,Pula,2024-05-03 15:00:00,0
14,15.27,77,1011,scattered clouds,1714744800,4.12,270,Pula,2024-05-03 16:00:00,0
15,15.27,77,1011,few clouds,1714748400,3.09,280,Pula,2024-05-03 17:00:00,0
16,15.27,82,1011,few clouds,1714752000,2.57,290,Pula,2024-05-03 18:00:00,0
17,15.27,82,1011,few clouds,1714755600,0.51,0,Pula,2024-05-03 19:00:00,0
18,14.27,88,1012,few clouds,1714759200,0.0,0,Pula,2024-05-03 20:00:00,0
19,12.27,94,1012,few clouds,1714762800,0.0,0,Pula,2024-05-03 21:00:00,0
20,12.27,94,1012,few clouds,1714766400,1.03,0,Pula,2024-05-03 22:00:00,0
21,13.27,76,1012,broken clouds,1714770000,1.54,360,Pula,2024-05-03 23:00:00,0
22,13.27,76,1013,overcast clouds,1714773600,1.54,10,Pula,2024-05-04 00:00:00,0
23,12.27,82,1012,overcast clouds,1714777200,2.06,280,Pula,2024-05-04 01:00:00,0
24,12.27,87,1013,overcast clouds,1714780800,2.57,300,Pula,2024-05-04 02:00:00,0
25,12.27,94,1013,broken clouds,1714784400,2.57,320,Pula,2024-05-04 03:00:00,0
26,12.27,94,1013,broken clouds,1714788000,2.06,310,Pula,2024-05-04 04:00:00,0
27,12.27,94,1013,scattered clouds,1714791600,1.54,310,Pula,2024-05-04 05:00:00,0
28,11.27,93,1013,few clouds,1714795200,0.51,0,Pula,2024-05-04 06:00:00,0
29,13.27,82,1013,few clouds,1714798800,3.09,40,Pula,2024-05-04 07:00:00,0
30,14.27,82,1013,scattered clouds,1714802400,4.12,40,Pula,2024-05-04 08:00:00,0
31,17.27,67,1014,few clouds,1714806000,2.57,40,Pula,2024-05-04 09:00:00,0
32,18.27,59,1015,few clouds,1714809600,2.57,10,Pula,2024-05-04 10:00:00,0
