,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,9.57,92,1009,overcast clouds,1714694400,2.35,121,Visnjan,2024-05-03 02:00:00,10
1,9.57,90,1009,overcast clouds,1714698000,2.34,127,Visnjan,2024-05-03 03:00:00,10
2,9.57,90,1009,overcast clouds,1714701600,2.08,133,Visnjan,2024-05-03 04:00:00,10
3,9.57,90,1009,overcast clouds,1714705200,2.09,133,Visnjan,2024-05-03 05:00:00,10
4,8.57,91,1009,overcast clouds,1714708800,1.81,146,Visnjan,2024-05-03 06:00:00,10
5,9.57,90,1010,overcast clouds,1714712400,1.49,164,Visnjan,2024-05-03 07:00:00,10
6,11.57,86,1010,overcast clouds,1714716000,1.5,183,Visnjan,2024-05-03 08:00:00,10
7,13.57,82,1010,overcast clouds,1714719600,2.24,206,Visnjan,2024-05-03 09:00:00,10
8,14.57,76,1010,overcast clouds,1714723200,2.23,230,Visnjan,2024-05-03 10:00:00,10
9,15.57,72,1010,overcast clouds,1714726800,2.26,238,Visnjan,2024-05-03 11:00:00,10
10,15.57,76,1011,overcast clouds,1714730400,2.16,250,Visnjan,2024-05-03 12:00:00,10
11,15.57,80,1011,light rain,1714734000,1.48,296,Visnjan,2024-05-03 13:00:00,10
12,14.57,82,1011,light rain,1714737600,1.33,330,Visnjan,2024-05-03 14:00:00,10
13,14.57,80,1011,light rain,1714741200,2.13,357,Visnjan,2024-05-03 15:00:00,10
14,13.57,80,1011,light rain,1714744800,3.21,358,Visnjan,2024-05-03 16:00:00,10
15,13.57,80,1012,overcast clouds,1714748400,3.27,358,Visnjan,2024-05-03 17:00:00,10
16,13.57,80,1012,light rain,1714752000,3.22,4,Visnjan,2024-05-03 18:00:00,10
17,13.57,85,1012,light rain,1714755600,2.8,10,Visnjan,2024-05-03 19:00:00,10
18,12.57,90,1012,overcast clouds,1714759200,2.2,15,Visnjan,2024-05-03 20:00:00,10
19,11.57,92,1013,overcast clouds,1714762800,1.96,32,Visnjan,2024-05-03 21:00:00,10
20,10.57,90,1013,overcast clouds,1714766400,1.82,18,Visnjan,2024-05-03 22:00:00,10
21,10.57,91,1013,light rain,1714770000,1.6,358,Visnjan,2024-05-03 23:00:00,10
22,10.57,91,1014,overcast clouds,1714773600,1.5,353,Visnjan,2024-05-04 00:00:00,10
23,10.57,93,1014,overcast clouds,1714777200,1.68,344,Visnjan,2024-05-04 01:00:00,10
24,10.57,96,1013,overcast clouds,1714780800,1.88,338,Visnjan,2024-05-04 02:00:00,10
25,10.57,96,1013,overcast clouds,1714784400,2.1,354,Visnjan,2024-05-04 03:00:00,10
26,10.57,96,1014,overcast clouds,1714788000,2.32,355,Visnjan,2024-05-04 04:00:00,10
27,10.57,97,1014,overcast clouds,1714791600,2.74,351,Visnjan,2024-05-04 05:00:00,10
28,10.57,97,1014,overcast clouds,1714795200,2.9,359,Visnjan,2024-05-04 06:00:00,10
29,11.57,95,1014,overcast clouds,1714798800,2.52,17,Visnjan,2024-05-04 07:00:00,10
30,12.57,92,1014,overcast clouds,1714802400,2.06,16,Visnjan,2024-05-04 08:00:00,10
31,13.57,81,1015,overcast clouds,1714806000,1.95,358,Visnjan,2024-05-04 09:00:00,10
32,15.57,71,1015,broken clouds,1714809600,2.05,344,Visnjan,2024-05-04 10:00:00,10
33,15.57,64,1015,scattered clouds,1714813200,2.37,322,Visnjan,2024-05-04 11:00:00,10
34,14.57,63,1015,scattered clouds,1714816800,2.65,304,Visnjan,2024-05-04 12:00:00,10
35,15.57,62,1015,scattered clouds,1714820400,2.7,295,Visnjan,2024-05-04 13:00:00,10
36,15.57,62,1015,few clouds,1714824000,2.74,289,Visnjan,2024-05-04 14:00:00,10
37,16.57,59,1015,scattered clouds,1714827600,3.18,291,Visnjan,2024-05-04 15:00:00,10
38,17.57,58,1015,scattered clouds,1714831200,3.15,294,Visnjan,2024-05-04 16:00:00,10
39,18.57,60,1015,few clouds,1714834800,3.22,291,Visnjan,2024-05-04 17:00:00,10
40,18.57,65,1015,few clouds,1714838400,2.97,290,Visnjan,2024-05-04 18:00:00,10
41,17.57,75,1015,few clouds,1714842000,1.95,279,Visnjan,2024-05-04 19:00:00,10
42,16.57,82,1015,clear sky,1714845600,1.32,278,Visnjan,2024-05-04 20:00:00,10
43,13.57,83,1016,clear sky,1714849200,0.41,337,Visnjan,2024-05-04 21:00:00,10
44,11.57,82,1016,clear sky,1714852800,0.8,49,Visnjan,2024-05-04 22:00:00,10
45,10.57,82,1016,clear sky,1714856400,1.3,61,Visnjan,2024-05-04 23:00:00,10
46,10.57,81,1016,clear sky,1714860000,1.56,66,Visnjan,2024-05-05 00:00:00,10
47,9.57,80,1016,few clouds,1714863600,1.06,67,Visnjan,2024-05-05 01:00:00,10
48,9.57,79,1016,overcast clouds,1714867200,1.08,83,Visnjan,2024-05-05 02:00:00,10
49,8.57,79,1016,overcast clouds,1714870800,1.25,92,Visnjan,2024-05-05 03:00:00,10
50,8.57,79,1015,broken clouds,1714874400,1.44,103,Visnjan,2024-05-05 04:00:00,10
51,8.57,80,1015,scattered clouds,1714878000,1.42,108,Visnjan,2024-05-05 05:00:00,10
52,8.57,81,1015,scattered clouds,1714881600,1.65,108,Visnjan,2024-05-05 06:00:00,10
53,10.57,79,1016,scattered clouds,1714885200,1.57,118,Visnjan,2024-05-05 07:00:00,10
54,13.57,73,1016,scattered clouds,1714888800,1.17,151,Visnjan,2024-05-05 08:00:00,10
55,17.57,70,1016,scattered clouds,1714892400,1.53,199,Visnjan,2024-05-05 09:00:00,10
56,18.57,68,1016,scattered clouds,1714896000,2.38,226,Visnjan,2024-05-05 10:00:00,10
57,19.57,67,1016,scattered clouds,1714899600,3.15,238,Visnjan,2024-05-05 11:00:00,10
58,18.57,65,1016,scattered clouds,1714903200,3.5,240,Visnjan,2024-05-05 12:00:00,10
59,19.57,64,1016,scattered clouds,1714906800,3.86,238,Visnjan,2024-05-05 13:00:00,10
60,19.57,63,1016,clear sky,1714910400,3.87,228,Visnjan,2024-05-05 14:00:00,10
61,19.57,63,1015,few clouds,1714914000,3.98,222,Visnjan,2024-05-05 15:00:00,10
62,20.57,63,1015,few clouds,1714917600,3.9,217,Visnjan,2024-05-05 16:00:00,10
63,20.57,64,1015,few clouds,1714921200,3.53,207,Visnjan,2024-05-05 17:00:00,10
64,19.57,66,1014,few clouds,1714924800,3.12,192,Visnjan,2024-05-05 18:00:00,10
65,19.57,75,1014,scattered clouds,1714928400,2.52,173,Visnjan,2024-05-05 19:00:00,10
66,17.57,85,1014,few clouds,1714932000,2.67,153,Visnjan,2024-05-05 20:00:00,10
67,15.57,91,1015,few clouds,1714935600,2.78,142,Visnjan,2024-05-05 21:00:00,10
68,13.57,91,1015,few clouds,1714939200,2.79,129,Visnjan,2024-05-05 22:00:00,10
69,12.57,90,1015,scattered clouds,1714942800,2.78,121,Visnjan,2024-05-05 23:00:00,10
70,12.57,90,1015,broken clouds,1714946400,2.76,117,Visnjan,2024-05-06 00:00:00,10
71,11.57,90,1015,broken clouds,1714950000,2.77,113,Visnjan,2024-05-06 01:00:00,10
72,11.57,91,1014,overcast clouds,1714953600,2.76,114,Visnjan,2024-05-06 02:00:00,10
73,10.57,93,1014,overcast clouds,1714957200,2.85,113,Visnjan,2024-05-06 03:00:00,10
74,10.57,94,1014,overcast clouds,1714960800,2.81,113,Visnjan,2024-05-06 04:00:00,10
75,11.57,94,1014,overcast clouds,1714964400,2.92,111,Visnjan,2024-05-06 05:00:00,10
76,10.57,95,1014,overcast clouds,1714968000,2.82,113,Visnjan,2024-05-06 06:00:00,10
77,12.57,91,1014,overcast clouds,1714971600,2.77,119,Visnjan,2024-05-06 07:00:00,10
78,16.57,83,1014,overcast clouds,1714975200,3.47,131,Visnjan,2024-05-06 08:00:00,10
79,18.57,72,1014,overcast clouds,1714978800,4.13,156,Visnjan,2024-05-06 09:00:00,10
80,19.57,61,1014,overcast clouds,1714982400,4.33,181,Visnjan,2024-05-06 10:00:00,10
81,19.57,57,1014,overcast clouds,1714986000,4.21,195,Visnjan,2024-05-06 11:00:00,10
82,20.57,57,1014,overcast clouds,1714989600,4.64,200,Visnjan,2024-05-06 12:00:00,10
83,20.57,54,1014,overcast clouds,1714993200,4.92,197,Visnjan,2024-05-06 13:00:00,10
84,20.57,53,1014,overcast clouds,1714996800,4.72,200,Visnjan,2024-05-06 14:00:00,10
85,19.57,53,1014,overcast clouds,1715000400,4.8,204,Visnjan,2024-05-06 15:00:00,10
86,18.57,56,1014,overcast clouds,1715004000,4.59,200,Visnjan,2024-05-06 16:00:00,10
