,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,10.49,93,1009,few clouds,1714694400,0.51,0,Vodnjan,2024-05-03 02:00:00,5
1,10.49,93,1009,scattered clouds,1714698000,0.0,0,Vodnjan,2024-05-03 03:00:00,5
2,9.49,93,1009,scattered clouds,1714701600,0.0,0,Vodnjan,2024-05-03 04:00:00,5
3,9.49,93,1009,few clouds,1714705200,0.51,0,Vodnjan,2024-05-03 05:00:00,5
4,8.49,100,1009,few clouds,1714708800,0.0,0,Vodnjan,2024-05-03 06:00:00,5
5,10.49,87,1009,clear sky,1714712400,2.06,350,Vodnjan,2024-05-03 07:00:00,5
6,13.49,77,1010,clear sky,1714716000,2.06,310,Vodnjan,2024-05-03 08:00:00,5
7,13.49,72,1010,few clouds,1714719600,3.6,270,Vodnjan,2024-05-03 09:00:00,5
8,15.49,67,1011,few clouds,1714723200,3.6,260,Vodnjan,2024-05-03 10:00:00,5
9,14.49,72,1011,few clouds,1714726800,4.12,260,Vodnjan,2024-05-03 11:00:00,5
10,15.49,63,1011,few clouds,1714730400,3.6,260,Vodnjan,2024-05-03 12:00:00,5
11,15.49,67,1011,few clouds,1714734000,3.6,250,Vodnjan,2024-05-03 13:00:00,5
12,15.49,72,1011,few clouds,1714737600,4.12,260,Vodnjan,2024-05-03 14:00:00,5
13,15.49,77,1011,scattered clouds,1714741200,4.12,270,Vodnjan,2024-05-03 15:00:00,5
14,14.49,77,1011,light rain,1714744800,4.12,270,Vodnjan,2024-05-03 16:00:00,5
15,14.49,77,1011,light rain,1714748400,3.09,280,Vodnjan,2024-05-03 17:00:00,5
16,14.49,82,1011,light rain,1714752000,2.57,290,Vodnjan,2024-05-03 18:00:00,5
17,14.49,82,1011,few clouds,1714755600,0.51,0,Vodnjan,2024-05-03 19:00:00,5
18,13.49,88,1012,few clouds,1714759200,0.0,0,Vodnjan,2024-05-03 20:00:00,5
19,11.49,94,1012,few clouds,1714762800,0.0,0,Vodnjan,2024-05-03 21:00:00,5
20,11.49,94,1012,few clouds,1714766400,1.03,0,Vodnjan,2024-05-03 22:00:00,5
21,12.49,76,1012,broken clouds,1714770000,1.54,360,Vodnjan,2024-05-03 23:00:00,5
22,12.49,76,1013,overcast clouds,1714773600,1.54,10,Vodnjan,2024-05-04 00:00:00,5
23,11.49,82,1012,overcast clouds,1714777200,2.06,280,Vodnjan,2024-05-04 01:00:00,5
24,11.49,87,1013,overcast clouds,1714780800,2.57,300,Vodnjan,2024-05-04 02:00:00,5
25,11.49,94,1013,broken clouds,1714784400,2.57,320,Vodnjan,2024-05-04 03:00:00,5
26,11.49,94,1013,broken clouds,1714788000,2.06,310,Vodnjan,2024-05-04 04:00:00,5
27,11.49,94,1013,scattered clouds,1714791600,1.54,310,Vodnjan,2024-05-04 05:00:00,5
