,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,8.98,91,1009,overcast clouds,1714694400,0.82,107,Zminj,2024-05-03 02:00:00,20
1,8.98,89,1009,overcast clouds,1714698000,0.88,136,Zminj,2024-05-03 03:00:00,20
2,7.98,89,1009,overcast clouds,1714701600,0.91,156,Zminj,2024-05-03 04:00:00,20
3,7.98,90,1009,overcast clouds,1714705200,0.94,154,Zminj,2024-05-03 05:00:00,20
4,6.98,91,1010,overcast clouds,1714708800,0.79,179,Zminj,2024-05-03 06:00:00,20
5,8.98,90,1010,overcast clouds,1714712400,0.81,226,Zminj,2024-05-03 07:00:00,20
6,11.98,87,1010,overcast clouds,1714716000,1.45,235,Zminj,2024-05-03 08:00:00,20
7,11.98,83,1010,overcast clouds,1714719600,2.08,240,Zminj,2024-05-03 09:00:00,20
8,13.98,78,1010,overcast clouds,1714723200,2.32,245,Zminj,2024-05-03 10:00:00,20
9,12.98,75,1011,overcast clouds,1714726800,2.45,246,Zminj,2024-05-03 11:00:00,20
10,13.98,74,1011,overcast clouds,1714730400,2.56,247,Zminj,2024-05-03 12:00:00,20
11,13.98,77,1011,overcast clouds,1714734000,2.09,270,Zminj,2024-05-03 13:00:00,20
12,13.98,79,1011,overcast clouds,1714737600,1.89,277,Zminj,2024-05-03 14:00:00,20
13,13.98,78,1011,overcast clouds,1714741200,1.63,300,Zminj,2024-05-03 15:00:00,20
14,12.98,79,1011,overcast clouds,1714744800,1.9,329,Zminj,2024-05-03 16:00:00,20
15,12.98,81,1012,overcast clouds,1714748400,2.19,345,Zminj,2024-05-03 17:00:00,20
16,12.98,82,1012,light rain,1714752000,2.41,360,Zminj,2024-05-03 18:00:00,20
17,12.98,86,1012,light rain,1714755600,1.98,17,Zminj,2024-05-03 19:00:00,20
18,11.98,90,1012,light rain,1714759200,1.77,34,Zminj,2024-05-03 20:00:00,20
19,9.98,92,1013,overcast clouds,1714762800,1.56,35,Zminj,2024-05-03 21:00:00,20
20,9.98,92,1013,overcast clouds,1714766400,1.41,9,Zminj,2024-05-03 22:00:00,20
21,10.98,92,1013,overcast clouds,1714770000,1.39,347,Zminj,2024-05-03 23:00:00,20
22,10.98,91,1013,overcast clouds,1714773600,1.43,345,Zminj,2024-05-04 00:00:00,20
23,9.98,92,1013,overcast clouds,1714777200,1.83,328,Zminj,2024-05-04 01:00:00,20
24,9.98,95,1013,overcast clouds,1714780800,1.99,344,Zminj,2024-05-04 02:00:00,20
25,9.98,95,1013,overcast clouds,1714784400,2.3,346,Zminj,2024-05-04 03:00:00,20
26,9.98,95,1013,overcast clouds,1714788000,2.55,346,Zminj,2024-05-04 04:00:00,20
27,9.98,95,1013,overcast clouds,1714791600,3.02,343,Zminj,2024-05-04 05:00:00,20
28,8.98,95,1014,overcast clouds,1714795200,3.2,352,Zminj,2024-05-04 06:00:00,20
29,10.98,93,1014,overcast clouds,1714798800,2.88,7,Zminj,2024-05-04 07:00:00,20
30,11.98,90,1014,broken clouds,1714802400,2.28,8,Zminj,2024-05-04 08:00:00,20
31,14.98,78,1014,overcast clouds,1714806000,1.65,18,Zminj,2024-05-04 09:00:00,20
32,15.98,67,1015,broken clouds,1714809600,1.34,18,Zminj,2024-05-04 10:00:00,20
33,15.98,60,1015,scattered clouds,1714813200,1.35,350,Zminj,2024-05-04 11:00:00,20
34,16.98,59,1015,scattered clouds,1714816800,0.88,317,Zminj,2024-05-04 12:00:00,20
35,14.98,58,1015,scattered clouds,1714820400,0.9,281,Zminj,2024-05-04 13:00:00,20
36,15.98,57,1015,few clouds,1714824000,1.18,269,Zminj,2024-05-04 14:00:00,20
37,17.98,56,1014,few clouds,1714827600,1.9,274,Zminj,2024-05-04 15:00:00,20
38,16.98,57,1014,few clouds,1714831200,2.48,277,Zminj,2024-05-04 16:00:00,20
39,15.98,60,1014,few clouds,1714834800,2.87,283,Zminj,2024-05-04 17:00:00,20
40,15.98,67,1014,few clouds,1714838400,3.11,291,Zminj,2024-05-04 18:00:00,20
41,13.98,77,1015,few clouds,1714842000,2.49,294,Zminj,2024-05-04 19:00:00,20
42,12.98,84,1015,clear sky,1714845600,1.93,299,Zminj,2024-05-04 20:00:00,20
43,10.98,85,1016,clear sky,1714849200,1.65,326,Zminj,2024-05-04 21:00:00,20
44,8.98,84,1016,clear sky,1714852800,1.8,341,Zminj,2024-05-04 22:00:00,20
45,8.98,83,1016,clear sky,1714856400,1.85,1,Zminj,2024-05-04 23:00:00,20
46,8.98,82,1016,clear sky,1714860000,1.85,8,Zminj,2024-05-05 00:00:00,20
