country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100,
Afghanistan,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4,,,,,,,,81.1,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,101,,
UAE,85.9,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,104,,,,,
Argentina,,,,,,101,,,,,,,,,,,101,,,,,,,,,,100,,,,,,,,100,
Armenia,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,,,,,,,,100,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,,,
Burundi,,,,,52.5,,,,,,,,,,,80.7,,,,,,,,,,91.7,,,,,,,,,99.2,
Benin,,,,,39.9,,,,,,,,,,,,,48.4,,,,,,,,,,56.1,,,,,,,66.9,
Burkina Faso,29.8,,,,,,,,,,,,,,,,52.9,,,,,54.9,,,,,,,64.6,,65.6,,70.9,,,
Bangladesh,,,,,,,61.2,,,,,,,,,,73.4,,,,,,,,,,89.7,,,,,,,,104,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,99.9,
Bahrain,,,,,,,91.5,,,,,,,,,,99.3,,,,,,,,,,100,,,,,,,,100,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100,
Belarus,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,100,
Belize,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,
Bolivia,,82.9,,,,,,,,,,,,,,,,95.1,,,,,,,,,97.5,,,,,,99.4,99.5,,
Brazil,,,,,,103,,,,,,,,,,,,,,,,,,,,103,,,,102,,102,102,101,,
Brunei,,,,,,,99.1,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,99.9,
