country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Angola,,,,,,,,,,,,−137,−154,−183,−187,−177,−174,−167,−130,−146,−148,−124,−130,−177,−204,−215,−263,−332,−403,−394,−387,−397,−441,−387,−418,−472,−507,−520,−542,−519,−504,−475,−551,−501,−556,−736,−760,−858,−885,−765,−704,−619,−590,−595,−541,
Albania,,,,,,,,,,,,−41.7,−53.6,−72.5,−49.2,−47.2,−41.4,−37.4,−34.9,−50.5,−12.3,−0.0764,1.13,0.852,−2.26,−3.82,−3.31,−2.52,0.421,−0.657,7.97,−2.78,−3.38,−0.0978,9.33,6.64,6.29,8.7,18.4,40.2,45,51.7,53,49,46,47.8,42.4,48,45.2,41.7,23.7,33.3,16.3,12.3,13.8,
UAE,,,,,,,,,,,,−5120,−5590,−5730,−6110,−4260,−3840,−2370,−1880,−1610,−1150,−830,−635,−611,−432,−362,−370,−363,−372,−393,−440,−442,−499,−458,−413,−395,−379,−377,−377,−341,−388,−286,−272,−314,−306,−294,−301,−266,−213,−180,−181,−191,−183,−188,−184,
Argentina,,,,,,,,,,,,9.18,9.45,14.2,15,14.7,16.5,14.4,12.8,11.6,7.17,3.37,2.65,−0.408,0.895,−2.92,2.27,6.38,3.32,−1.58,−5.11,−5.75,−8.78,−14.1,−17.2,−24.2,−29.5,−32.8,−33,−32.3,−34.7,−45.5,−45.6,−41.4,−29.8,−26.5,−18.2,−12.7,−6.23,−7.35,−1.07,3.22,6.14,12.7,13,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,98.2,93.3,82.5,77.1,84.3,57.7,70.4,70.5,64.1,68.1,69.6,60.2,64.5,63.8,65.4,66.5,70.8,73.2,68.1,64.7,67.3,72.7,72,71.3,
Australia,32.3,31,32.8,34.5,32.2,28.3,28.4,28.3,22,16.8,6.15,−4.34,−17.4,−19.2,−14.5,−24.2,−21.7,−24.1,−22.8,−27.3,−22.7,−38.7,−34.9,−53.5,−63.7,−76.6,−84.3,−91.8,−75.9,−72.1,−82.4,−96.1,−98.4,−92.4,−90.9,−102,−92.1,−98.5,−108,−101,−116,−136,−132,−128,−126,−134,−128,−134,−126,−132,−154,−144,−153,−172,−192,−190
Austria,32.5,35.3,39,40.8,42.6,40.6,41.5,45,50.2,54.7,56,60.9,63,63.1,62.3,61.2,66.6,63.8,64.2,66.2,67,66.2,65.1,66,67.1,67.2,66.9,66.5,62.2,64,67.3,68.4,66.2,65.8,67.1,67.3,69.5,69.2,69.1,66,65.8,67.6,67.7,70.2,69.7,70.6,70.2,67.5,66.7,63.9,64.8,65.4,62,63.4,62.4,63.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,15.6,2.81,1.34,−1.06,−6.03,−22.6,−24.7,−37.8,−72.8,−66.5,−71.2,−71,−63.2,−56.9,−103,−185,−331,−340,−441,−465,−377,−329,−328,−310,
Belgium,39.3,43.1,48.9,52.8,53.1,58.1,62.4,66.3,73.2,77.9,82.2,82.7,84.9,85.8,86.4,81.2,80.9,79.9,82.6,84.5,82.7,81.2,78.1,73.3,71.6,68.4,67.9,69,71.6,72.8,72.7,74.1,74.9,75.5,77.8,77.6,78,76.2,77.1,75.8,76.4,77,75.8,76.4,76.4,76.1,76.1,74.4,75.6,73.4,74.3,71.4,73.7,73.2,76.3,80.1
Benin,,,,,,,,,,,,9.3,11.7,11.8,12,12.7,8.14,9.43,10.9,10.4,10.4,−8.05,−7.65,7.61,8.74,−10.4,−14.3,−11.7,−6.64,−5.5,−6.76,−6.93,−3.01,−3.89,−2.39,−0.258,10.6,15.4,16,22.2,27.1,29.3,31.7,33.9,34.8,33.1,38,41.2,40.8,42,43.8,43.7,44.2,45.1,46.6,
Bangladesh,,,,,,,,,,,,14.7,14.3,15.9,16.6,18.9,19.2,17.8,18.5,18.7,19.7,19.8,19.1,16.1,15.3,15.4,16,16.3,14.8,15.5,15.5,13.6,14.2,14.6,14.8,19.7,19,21.6,21.3,18.2,17,18.8,18.1,18.5,16,15,13.7,13.6,12.8,12.4,14.5,16.9,17.8,15,16.8,
Bulgaria,,,,,,,,,,,,70,71.2,73.3,75.9,73.6,73.9,74.8,75.2,74.1,72.7,69.9,68.3,68,67.2,68.9,68.1,67.2,66.5,66.7,65.9,61.2,56.9,57.7,55.7,55.4,53.5,51,49.3,50.1,46.8,46.6,43.9,47.4,45.5,46.5,46.1,50.4,48.3,43.8,40.7,35.7,35.9,37.1,36.6,
Bahrain,,,,,,,,,,,,−657,−637,−432,−405,−367,−280,−383,−361,−300,−327,−317,−203,−194,−210,−167,−204,−219,−186,−187,−173,−174,−162,−154,−136,−136,−139,−122,−117,−118,−110,−105,−102,−94.2,−92,−75.7,−67,−63.2,−55.8,−60.7,−59.5,−63.2,−58.3,−60.9,−61.6,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,31.6,18.1,15.6,47.2,45.3,36.4,20.4,23.1,21.1,29.2,26.3,24.9,20.8,25.4,27.7,26.3,30.6,29,28.9,32.6,35.4,32.4,28.5,22.7,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,92.2,90.5,89.8,87.1,86.6,86.9,86.9,87.1,85.5,86.2,85.8,85.8,86.6,86.8,86.2,86.8,86.2,86.3,85.6,85.6,85.9,86.5,85.4,86.8,
Bolivia,,,,,,,,,,,,−125,−236,−283,−249,−188,−169,−140,−115,−91.3,−78.6,−75.9,−74.9,−87.9,−86,−87.5,−95.3,−101,−101,−93.5,−88.6,−87.7,−77.4,−70.5,−67.5,−54.6,−40.3,−25.6,−25.3,−14.1,−36.8,−87.1,−77,−91.7,−150,−168,−126,−192,−181,−137,−148,−152,−149,−181,−178,
Brazil,,,,,,,,,,,,29.6,32.6,37.5,38.6,40.8,43.3,43.5,45.6,45.8,43.5,39.1,36,29.6,22.4,20.8,24.7,25,26.5,25.9,25.7,26.7,27.5,28.6,29,30.4,30.1,29.2,26.9,24.3,21.2,20.5,14.5,10.4,13.1,9.58,7.4,8.08,8.21,4.1,7.24,7.71,10.6,13.9,11.9,
Brunei,,,,,,,,,,,,−3650,−5230,−3720,−2190,−1830,−1710,−1690,−1820,−1880,−1470,−1190,−1120,−1070,−865,−801,−899,−867,−1030,−886,−806,−738,−734,−750,−839,−712,−681,−651,−629,−683,−726,−799,−839,−746,−803,−850,−608,−543,−496,−522,−473,−383,−384,−458,−357,
Botswana,,,,,,,,,,,,,,,,,,,,,,22.6,22.2,22.7,22.7,22.3,24.3,25.3,24.2,25.4,28.7,27.9,30.6,30,27.8,30.1,33.9,35.8,36.3,37.7,40,41.2,42.1,46.4,46.3,45.8,47.9,52.9,52.9,53.9,50.9,53.8,42.5,44.6,44.5,
Canada,25,18.4,10.5,11.4,10,11.5,8.39,8.26,7.02,2,−4.82,−10.2,−15.9,−24.4,−18.7,−13,−6.49,−7.71,−5.44,−10.4,−7.93,−6.87,−12.3,−15.4,−21.2,−25,−22.1,−24.6,−29.1,−26.1,−30.8,−36.6,−37.5,−42.9,−47.8,−50.5,−51.3,−52.4,−53.5,−48.7,−47.8,−51.7,−54.1,−47,−48.2,−49,−53.8,−53.3,−50.4,−50.2,−51.4,−53,−59.1,−64.4,−67.9,−72.5
Switzerland,71.7,72.2,74.8,78.2,78.3,77.8,76.6,76.3,78.4,80.6,78.7,82.3,80.5,77.4,74.9,70.3,74.7,70.2,71.7,67.4,64.9,61.1,59.5,61.7,61.2,57.4,58.6,56.3,56.5,57.8,57.7,57.7,57.3,55,53.4,53.3,55.8,54.9,54.9,52.3,51.9,52.6,53,52.7,53.7,57.6,54.7,50.8,52.2,52.6,51.8,51.4,50.3,51.5,47.1,50.1
Chile,,,,,,,,,,,,38.6,38.8,40.2,39.6,34.7,35.9,37.1,38.7,45.3,38.8,35.5,28,28.9,29.7,29,30,31.5,38,43.2,43.4,41.7,44.3,48.2,51.3,54.7,59,63.2,65.6,68.2,65.9,63.2,64.5,66.9,68.9,67.1,67.4,69.4,67.9,65.5,70.1,70.6,65,61.3,64.2,65.2
