,country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n,eco_s
0,Afghanistan,1430,,11.5,-25.9,0.9030048264051066,,18.860439956725568,43.11490978157645,15.719588641176781
1,Angola,5910,16.3,26.5,10.7,4.777968066151158,7.707722566519464,45.90695997115038,77.87274453941122,34.06634878580805
2,Albania,15500,9.87,23.0,-14.5,13.07281125123255,5.321557130663895,39.59610530111792,53.941120607787276,27.982898572700414
3,UAE,74300,13.2,22.8,25.3,63.931703772899475,6.557316213307602,39.23548503425892,91.73789173789174,50.36559918958944
4,Argentina,22400,69.5,14.4,3.01,19.04094659816285,27.450179982929452,24.089433826181033,70.56980056980058,35.28759024426848
5,Armenia,16000,7.99,19.7,-9.96,13.505284827097064,4.623891342264445,33.64587089794446,58.25261158594492,27.50691466331272
6,Australia,51000,7.12,22.3,3.79,43.778435137613094,4.30103536571789,38.33393436711143,71.31054131054131,39.43098654524593
7,Austria,56300,5.3,25.6,3.46,48.36265504177695,3.6256355067354433,44.284168770284886,70.997150997151,41.81740257898707
8,Azerbaijan,15000,37.2,23.7,-0.771,12.640337675368036,15.463687980109102,40.858276235124414,66.97910731244065,33.98535230076055
9,Burundi,708,18.3,11.4,-17.7,0.27851298285674747,8.449920213752922,18.68012982329607,50.90218423551756,19.577686813855827
10,Belgium,53200,5.89,24.2,2.0,45.681318871416956,3.8445838126693133,41.759826902271904,69.61063627730294,40.22409146591528
11,Benin,3440,4.14,25.6,-5.09,2.6415486013804554,3.1951608713400375,44.284168770284886,62.87749287749287,28.249592780124562
12,Burkina Faso,2160,5.89,16.8,2.85,1.5344162471672982,3.8445838126693133,28.416877028489004,70.41785375118708,26.053432709878173
13,Bangladesh,6260,5.05,31.3,-5.39,5.080699569256319,3.532860800831261,54.561846375766315,62.592592592592595,31.44199983461162
14,Bulgaria,26800,16.2,20.3,1.93,22.84671406577058,7.67061268415779,34.72773169852146,69.54415954415954,33.69730449815235
15,Bahrain,51900,7.73,35.1,5.64,44.55688757416922,4.527405648124095,61.41363144608727,73.06742640075974,45.89133776728508
16,Bahamas,34200,-2.17,24.5,-9.75,29.247322988565397,0.8535272943184768,42.300757302560406,58.45204178537512,32.71341234270485
17,Bosnia and Herzegovina,16700,11.8,23.1,-13.7,14.110747833307386,6.037777860244183,39.776415434547424,54.70085470085469,28.65644895723842
18,Belarus,19100,13.5,27.5,3.09,16.186620997457055,6.668645860392622,47.710061305445365,70.64577397910732,35.30277553560059
19,Belize,9700,7.36,18.5,-6.37,8.05611777120418,4.3900990833859055,31.482149296790478,61.66191832858499,26.39757111999139
20,Bolivia,8200,5.12,15.8,-4.96,6.758697043610636,3.558837718484432,26.61377569419402,63.00094966761634,24.983065030976356
21,Brazil,15100,8.28,16.1,0.605,12.726832390540938,4.731510001113296,27.154706094482513,68.28584995251663,28.224724609663344
22,Barbados,15100,3.99,17.9,-6.39,12.726832390540938,3.1394960477975284,30.400288496213488,61.642924976258314,26.97738547770257
23,Brunei,58700,24.2,40.6,4.42,50.438528205926616,10.639403273091624,71.3306887847097,71.90883190883191,51.07936304313996
24,Bhutan,11300,,39.1,-15.7,9.440033213970626,,68.62603678326722,52.80151946818613,32.716897366355994
25,Botswana,15500,14.6,32.7,-15.1,13.07281125123255,7.076854566371024,57.086188243779304,53.371320037986706,32.6517935248424
26,Central African Republic,819,5.97,26.0,-19.2,0.3745221166986697,3.874271718558652,45.00540930400288,49.47768281101614,24.682971487569084
27,Canada,49000,7.19,22.3,-2.24,42.048540834155034,4.327012283371062,38.33393436711143,65.58404558404558,37.573383267170776
28,Switzerland,71000,2.5,29.6,6.41,61.077378172193676,2.5865588006086018,51.49657410746484,73.79867046533712,47.239795386401056
29,Chile,25900,6.64,21.1,4.47,22.068261629214454,4.12290793038186,36.17021276595745,71.95631528964863,33.5794244038006
30,China,18200,2.25,43.4,2.42,15.40816856090093,2.4937840947044196,76.37937252073566,70.00949667616335,41.072705463126084
31,Cote d'Ivoire,5540,2.75,19.8,0.908,4.457937620011418,2.679333506512784,33.82618103137397,68.5735992402659,27.38426284954102
32,Cameroon,3730,5.34,17.7,-3.27,2.8923832753818743,3.640479459680112,30.03966822935449,64.60588793922128,25.294604725909437
33,"Congo, Dem. Rep.",1130,8.45,24.6,-1.28,0.6435206808863978,4.794596801128139,42.4810674359899,66.4957264957265,28.603727853432733
34,"Congo, Rep.",3210,18.3,23.7,12.1,2.442610756482779,8.449920213752922,40.858276235124414,79.2022792022792,32.73827160190983
35,Colombia,15700,14.3,19.1,-7.07,13.245800681578356,6.965524919286005,32.56401009736748,60.99715099715099,28.44312167384571
36,Comoros,3250,5.16,11.8,-22.4,2.47720864255194,3.573681671429101,19.401370357014066,46.43874643874644,17.972751777435388
37,Cape Verde,7690,7.74,29.0,-27.8,6.31757399622883,4.531116636360262,50.41471330688785,41.31054131054131,25.643486312504564
38,Costa Rica,22000,6.28,16.2,3.67,18.69496773747124,3.989312353879838,27.335016227912007,71.19658119658119,30.30396937896107
39,Cuba,10600,14.2,9.88,0.654,8.834570207760306,6.928415036924331,15.939415795167688,68.332383665717,25.008696176392334
40,Cyprus,43600,6.07,21.0,-1.37,37.37782621481828,3.9113816009203246,35.98990263252795,66.41025641025641,35.92234171463074
41,Czech Republic,41700,8.53,26.2,6.75,35.73442662653312,4.824284707017478,45.36602957086188,74.12155745489079,40.01157458982582
42,Germany,53600,5.27,22.0,5.81,46.027297732108565,3.614502542026941,37.79300396682294,73.22886989553656,40.16591853412375
43,Djibouti,4990,0.674,1.04,8.42,3.9822166865604514,1.9089323486844545,0.0,75.70750237416904,20.399662852353487
44,Dominica,11500,3.55,,,9.613022644316432,2.9762125654061675,,,3.1473088024306497
45,Denmark,59700,8.07,22.5,6.48,51.30347535765565,4.6535792481537825,38.69455463397043,73.86514719848053,42.1291891095651
46,Dominican Republic,19300,10.7,25.4,-7.7,16.35961042780286,5.62956915426578,43.92354850342589,60.39886039886039,31.577897121088732
47,Algeria,11200,21.5,43.8,-10.4,9.353538498797723,9.637436449326454,77.10061305445366,57.83475783475784,38.48158645933392
48,Ecuador,10900,5.26,22.0,2.34,9.094054353279015,3.610791553790774,37.79300396682294,69.9335232668566,30.10784328518733
49,Egypt,12800,10.4,16.0,-7.18,10.737453941564171,5.518239507180762,26.97439596105301,60.89268755935423,26.030694242288043
50,Eritrea,1950,,,,1.352777345304202,,,,0.3381943363260505
51,Spain,39800,4.14,20.5,1.44,34.091027038247965,3.1951608713400375,35.088351965380454,69.07882241215574,35.36334057178105
52,Estonia,37800,16.6,31.3,0.0814,32.361132734789905,7.819052213604482,54.561846375766315,67.788603988604,40.632658828191175
53,Ethiopia,2380,34.7,30.6,-9.75,1.7247046205476846,14.53594092106728,53.299675441759824,58.45204178537512,32.00309069218748
54,Finland,49600,5.37,24.5,0.0765,42.56750912519245,3.651612424388614,42.300757302560406,67.78395061728395,39.07595736735635
55,Fiji,12000,2.47,16.3,-16.7,10.045496220180947,2.5754258359001,27.51532636134151,51.85185185185185,22.997025067318603
56,France,46000,2.95,24.1,-2.13,39.45369937896795,2.7535532712361297,41.57951676884241,65.68850902184235,37.36881961022221
57,"Micronesia, Fed. Sts.",3260,5.3,,-42.9,2.4858581140692304,3.6256355067354433,,26.970560303893638,8.270513481174579
58,Gabon,13900,13.9,19.9,24.9,11.688895808466103,6.817085389839313,34.006491164803464,91.35802469135801,35.96762426361673
59,UK,46800,5.15,17.6,0.609,40.145657100351166,3.5699706831929343,29.859358095924996,68.28964862298196,35.46615862561276
60,Georgia,17000,9.1,23.9,-19.3,14.370231978826094,5.035811036479014,41.21889650198341,49.382716049382715,27.501913891667808
61,Ghana,5500,28.2,18.2,-3.52,4.423339733942256,12.12379856755854,30.941218896501983,64.3684710351377,27.96420705828512
62,Guinea,2700,11.0,31.3,-21.7,2.001487709100974,5.7408988013507996,54.561846375766315,47.10351377018043,27.35193666409963
63,Gambia,2130,10.4,27.5,-28.3,1.5084678326154273,5.518239507180762,47.710061305445365,40.83570750237417,23.893119036903933
64,Guinea-Bissau,1860,8.35,16.7,-14.9,1.2749321016485893,4.7574869187664675,28.236566895059504,53.561253561253565,21.95755986918203
65,Equatorial Guinea,14700,7.71,,3.76,12.380853529849325,4.519983671651761,,71.28205128205128,22.045722120888094
66,Greece,31500,7.85,14.4,-7.71,26.91196567889702,4.571937506958102,24.089433826181033,60.389363722697055,28.9906751836833
67,Guatemala,9160,6.22,13.5,-8.45,7.589046309270503,3.967046424462834,22.466642625315544,59.68660968660968,23.427336261414638
68,Guyana,34400,12.0,,,29.420312418911205,6.111997624967528,,,8.883077510969683
69,"Hong Kong, China",58500,1.81,19.0,1.93,50.265538775580815,2.3305006123130583,32.38369996393797,69.54415954415954,38.63097472399785
70,Honduras,5710,9.15,18.8,-15.4,4.604978635805352,5.054365977659851,32.02307969707898,53.086419753086425,23.692211015907652
71,Croatia,34000,9.46,23.2,-7.0,29.074333558219593,5.169406612981036,39.95672556797692,61.0636277302944,33.81602336736799
72,Haiti,2800,30.2,22.8,-20.5,2.0879824242738767,12.865996214791998,39.23548503425892,48.243114909781575,25.60814464577659
73,Hungary,35300,14.5,27.3,1.93,30.19876485546733,7.039744684009351,47.34944103858637,69.54415954415954,38.53302753055564
74,Indonesia,12400,9.57,32.3,1.69,10.391475080872558,5.210227483578876,56.3649477100613,69.3162393162393,35.32072239768801
75,India,7100,8.23,28.8,-0.394,5.807255176708703,4.71295505993246,50.054093040028846,67.33713200379867,31.97785882011717
76,Ireland,114000,6.58,43.1,18.8,98.27010569654195,4.100642000964856,75.83844212044717,85.5650522317189,65.94356051241822
77,Iran,15300,50.6,42.2,-4.96,12.899821820886745,20.43641221657327,74.21565091958168,63.00094966761634,42.63820865616451
78,Iraq,9200,18.9,22.3,-2.24,7.623644195339665,8.672579507922958,38.33393436711143,65.58404558404558,30.05355091360491
79,Iceland,55000,8.92,21.4,-1.52,47.23822374452921,4.969013248228003,36.71114316624594,66.26780626780626,38.79654660670235
80,Israel,44300,4.62,24.1,4.07,37.98328922102859,3.3732883066760677,41.57951676884241,71.57644824311491,38.628135634915495
81,Italy,43800,2.98,17.7,3.6,37.55081564516408,2.764686235944631,30.03966822935449,71.13010446343779,35.37131864347525
82,Jamaica,10000,12.8,,,8.315601916722889,6.408876683860911,,,3.68111965014595
83,Jordan,9320,2.6,,,7.727437853547149,2.623668682970275,,,2.587776634129356
84,Japan,41600,0.269,25.3,-0.269,35.64793191136022,1.7586373251196792,43.74323836999639,67.45584045584046,37.15141201557918
85,Kazakhstan,26100,19.8,28.8,4.03,22.241251059560263,9.006568449178015,50.054093040028846,71.53846153846155,38.21009352180717
86,Kenya,4880,6.01,19.7,-7.96,3.887072499870258,3.889115671503321,33.64587089794446,60.15194681861349,25.39350147198288
87,Kyrgyz Republic,5190,16.7,,,4.155206116906257,7.856162095966155,,,3.002842053218103
88,Cambodia,4530,4.07,24.9,0.71,3.5843409967650977,3.1691839536868662,43.021997836278395,68.38556505223171,29.540271959740515
89,Kiribati,2000,4.64,18.2,-71.3,1.3960247028906534,3.380710283148402,30.941218896501983,0.0,8.92948847063526
90,South Korea,45500,1.28,31.9,3.69,39.021225803103434,2.133818235796192,55.64370717634331,71.21557454890788,42.0035814410377
91,Kuwait,49200,19.0,,,42.22153026450084,8.709689390284632,,,12.732804913696368
92,Lao,7950,15.8,,,6.542460255678378,7.522173154711099,,,3.516158352597369
93,Lebanon,13200,,8.1,-17.4,11.083432802255782,,12.729895420122611,51.187084520417855,18.75010318569906
94,Libya,19800,24.1,,,16.792084003667377,10.602293390729951,,,6.848594348599332
95,Sri Lanka,12200,48.8,33.0,-6.16,10.218485650526754,19.76843433406316,57.62711864406779,61.8613485280152,37.36884678916823
96,Lesotho,2280,4.23,26.1,-52.1,1.6382099053747816,3.2285597654655427,45.18571943743238,18.23361823361823,17.071526835472735
97,Lithuania,39600,16.5,14.6,9.28,33.91803760790216,7.781942331242809,24.450054093040023,76.52421652421653,35.66856263910038
98,Luxembourg,116000,5.68,17.3,34.0,100.0,3.7666530597098,29.318427695636498,100.0,58.271270188836574
99,Latvia,32700,12.8,21.4,1.31,27.949902260971854,6.408876683860911,36.71114316624594,68.95536562203229,35.006321933277746
100,Morocco,8060,3.05,28.8,-7.26,6.637604442368572,2.790663153597803,50.054093040028846,60.816714150047474,30.074768696510674
101,Moldova,12900,19.3,23.9,-23.4,10.823948656737073,8.82101903736965,41.21889650198341,45.489078822412154,26.588235754625572
102,Madagascar,1500,8.33,17.7,-8.73,0.9635511270261387,4.750064942294133,30.03966822935449,59.42070275403608,23.79349676317771
103,Mexico,19500,6.72,20.2,1.62,16.532599858148668,4.152595836271199,34.54742156509196,69.24976258309592,31.120594960651935
104,Marshall Islands,6120,1.07,20.3,-37.0,4.9596069680142545,2.0558874828366793,34.72773169852146,32.57359924026591,18.579206347409574
105,North Macedonia,17100,6.67,29.9,-12.7,14.456726693998997,4.134040895090362,52.03750450775333,55.65052231718898,31.569698603507916
106,Mali,2130,5.73,16.5,-5.68,1.5084678326154273,3.7852080008906364,27.875946628200506,62.31718898385565,23.871702861390553
107,Malta,48200,5.27,21.7,14.4,41.35658311277181,3.614502542026941,37.25207356653444,81.38651471984805,40.902418485295314
108,Montenegro,22100,12.4,31.2,-35.0,18.781462452644142,6.26043715441422,54.38153624233682,34.47293447293447,28.474092580582415
109,Mongolia,12100,17.7,22.4,2.48,10.13199093535385,8.227260919582884,38.51424450054093,70.0664767331434,31.73499327215527
110,Mauritania,5440,2.23,38.7,-3.96,4.371442904838514,2.4863621182320848,67.90479624954924,63.95061728395062,34.67830463914261
111,Mauritius,22800,9.74,18.2,-7.13,19.386925458854463,5.27331428359372,30.941218896501983,60.940170940170944,29.135407394780277
112,Malaysia,28300,6.45,19.7,6.37,24.144134793364124,4.052399153894681,33.64587089794446,73.76068376068376,33.900772151471756
113,Namibia,9490,6.76,13.9,-9.57,7.874478869341083,4.167439789215868,23.187883159033536,58.62298195631529,23.463195943476443
114,Niger,1270,3.78,28.5,-16.0,0.7646132821284619,3.061565294838015,49.51316263974035,52.516619183285854,26.46399009999817
115,Nicaragua,5820,8.92,19.4,-5.12,4.700122822495546,4.969013248228003,33.10494049765597,62.849002849002844,26.40576985434559
116,Netherlands,58600,5.54,21.8,10.1,50.35203349075371,3.7146992244034585,37.432383699963935,77.30294396961062,42.20051509618293
117,Norway,67500,28.1,31.4,-0.933,58.050063141142076,12.086688685196867,54.742156509195816,66.82526115859449,47.92604237353231
118,Nepal,4000,7.33,30.4,-27.3,3.125919006348712,4.378966118677403,52.93905517490083,41.78537511870845,25.55732885465885
119,New Zealand,44900,5.3,23.0,-0.494,38.50225751206601,3.6256355067354433,39.59610530111792,67.24216524216524,37.24154089052115
120,Oman,35300,24.6,27.6,2.24,30.19876485546733,10.787842802538314,47.890371438874865,69.83855650522317,39.67888390052592
121,Pakistan,5450,14.0,14.8,-8.12,4.380092376355805,6.854195272200986,24.81067435989903,60.0,24.011240502113957
122,Panama,33300,2.45,,,28.46887055200927,2.5680038594277654,,,7.759218602859259
123,Peru,12700,4.38,18.4,1.59,10.650959226391267,3.2842245890080526,31.30183916336098,69.22127255460589,28.61457388334155
124,Philippines,8580,5.48,17.4,-7.76,7.087376961267666,3.6924332949864542,29.498737829065995,60.34188034188034,25.155107106800113
125,Papua New Guinea,3770,15.4,,,2.9269811614510353,7.373733625264407,,,2.5751786966788606
126,Poland,36800,10.8,18.8,5.66,31.496185583060875,5.666679036627453,32.02307969707898,73.08641975308642,35.56809101746343
127,Portugal,35700,5.0,19.1,-2.14,30.544743716158944,3.514305859650424,32.56401009736748,65.67901234567901,33.07551800471396
128,Paraguay,13500,7.57,20.0,3.78,11.34291694777449,4.468029836345418,34.18680129823296,71.30104463437797,30.32469817918271
129,Palestine,5720,1.54,24.3,-36.6,4.613628107322643,2.2303039299365417,41.940137035701404,32.95346628679962,20.434383839940054
130,Qatar,97100,26.1,43.8,8.22,83.65249883232134,11.344491037963408,77.10061305445366,75.51756885090218,61.90379294391015
131,Romania,32700,13.4,24.5,-4.31,27.949902260971854,6.631535978030949,42.300757302560406,63.61823361823361,35.125107289949206
132,Russia,27600,15.8,23.5,5.08,23.538671787153806,7.522173154711099,40.49765596826541,72.53561253561254,36.023528361435716
133,Rwanda,2360,16.0,23.6,-16.5,1.707405677513104,7.596392919434445,40.67796610169491,52.04178537511871,25.505887518440293
134,Saudi Arabia,50000,16.7,27.7,0.0905,42.91348798588406,7.856162095966155,48.070681572304366,67.79724596391263,41.6593944045168
135,Sudan,3570,117.0,5.79,0.295,2.7539917311052293,45.077374104724086,8.56473133790119,67.99145299145299,31.096887541295875
136,Senegal,3560,8.45,35.6,-18.6,2.745342259587939,4.794596801128139,62.31518211323476,50.047483380816715,29.975651138691887
137,Singapore,108000,9.05,22.6,31.2,93.08042278616776,5.017256095298177,38.87486476739993,97.34093067426402,58.57836858078247
138,Solomon Islands,2250,6.99,16.7,-4.34,1.6122614908229107,4.252792518647715,28.236566895059504,63.589743589743584,24.42284112356843
139,Sierra Leone,1640,25.3,12.1,-21.4,1.0846437282682029,11.047611979070025,19.942300757302554,47.38841405508072,19.865742629930374
140,El Salvador,9400,7.52,17.1,-17.4,7.7966336256854705,4.449474895164581,28.9578074287775,51.187084520417855,23.097750117511353
141,San Marino,64500,,18.1,24.1,55.45522168595499,,30.76090876307249,90.5982905982906,44.20360526182952
142,Somalia,1160,6.54,,-50.4,0.6694690954382687,4.085798048020187,,19.848053181386515,6.150830081211243
143,Serbia,20500,10.4,24.2,-8.28,17.397547009877698,5.518239507180762,41.759826902271904,59.84805318138652,31.13091665017922
144,South Sudan,386,,,,0.0,,,,0.0
145,Suriname,14900,43.9,,,12.553842960195132,17.950050098341187,,,7.62597326463408
146,Slovak Republic,33200,7.48,19.9,1.62,28.38237583683637,4.434630942219913,34.006491164803464,69.24976258309592,34.018315131738916
147,Slovenia,42200,6.48,20.1,8.94,36.166900202397635,4.063532118603184,34.367111431662465,76.20132953466286,37.69971832183154
148,Sweden,54800,5.98,25.1,4.48,47.06523431418341,3.877982706794819,43.382618103137396,71.96581196581197,41.5729117724819
149,Eswatini,9130,8.79,12.3,2.95,7.5630978947186325,4.920770401157827,20.302921024161563,70.51282051282051,25.824902458214634
150,Seychelles,29800,-4.47,56.5,-23.8,25.44155552095767,0.0,100.0,45.10921177587844,42.63769182420903
151,Syria,3350,,,-18.8,2.563703357724843,,,49.857549857549856,13.105313303818674
152,Chad,1410,18.7,20.6,-15.3,0.885705883370526,8.598359743199612,35.268662098809955,53.18138651471985,24.483528560024986
153,Togo,2210,5.02,19.8,-8.93,1.5776636047537496,3.521727836122759,33.82618103137397,59.23076923076923,24.539085425754926
154,Thailand,17500,4.72,23.7,5.19,14.802705554690608,3.4103981890377404,40.858276235124414,72.6400759734093,32.92786398806551
155,Tajikistan,4140,6.02,33.5,-21.1,3.247011607590776,3.8928266597394874,58.52866931121529,47.673314339981005,28.33545547963164
156,Turkmenistan,14700,11.2,,-0.299,12.380853529849325,5.815118566074144,,67.42735042735042,21.40583063081847
