country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015
Aruba,,,100.0,
Afghanistan,39.0,,,10.2
Albania,96.8,99.5,,29.8
UAE,,105.0,,
Argentina,97.9,104.0,100.0,15.6
Armenia,99.6,102.0,100.0,11.0
Antigua and Barbuda,99.0,,,
Burundi,,49.2,99.2,
Benin,,60.3,66.9,10.3
Burkina Faso,,62.0,,16.1
Bangladesh,57.7,,104.0,
Bulgaria,98.3,91.2,99.9,
Bahrain,,,100.0,11.2
Belize,,105.0,,15.1
Brazil,,,,20.1
Brunei,95.5,100.0,99.9,
Bhutan,,82.7,,
Botswana,85.1,,103.0,
Central African Republic,56.6,,79.4,
Chile,,98.0,,15.2
China,,,99.8,
Cote d'Ivoire,56.9,75.6,84.5,13.8
Cameroon,,66.5,,
"Congo, Dem. Rep.",,78.7,84.8,
Colombia,93.6,99.6,101.0,17.4
Comoros,75.5,,98.7,
Cape Verde,84.9,,102.0,16.6
Costa Rica,96.3,96.8,101.0,26.7
Cuba,99.8,94.6,100.0,
Cayman Islands,,,,
Cyprus,98.7,100.0,100.0,32.2
Dominican Republic,90.1,96.3,,14.9
Algeria,,102.0,,
Ecuador,91.6,98.2,100.0,9.43
Egypt,73.0,96.6,,
Eritrea,68.9,,93.6,
Spain,,96.0,99.9,17.3
Estonia,99.8,95.8,100.0,20.0
Ethiopia,,64.1,,7.88
Gabon,89.0,,98.0,
Georgia,99.7,95.1,100.0,
Ghana,,,97.3,
Guinea,,60.8,79.1,
Gambia,51.1,71.7,84.5,8.47
Guinea-Bissau,55.3,,81.3,
Greece,97.3,99.8,99.9,20.2
Guatemala,75.9,81.3,95.0,10.1
Honduras,85.1,,,
Hungary,99.0,93.3,100.0,18.7
Indonesia,92.8,103.0,,13.3
Iran,,98.0,,7.55
Israel,,98.5,,21.3
Italy,99.0,98.7,100.0,21.7
Jamaica,87.0,79.8,107.0,22.2
Jordan,95.9,,,
Kazakhstan,,101.0,100.0,
Kenya,,,102.0,11.0
Cambodia,,94.9,,
Kuwait,,,,
Lao,,91.0,,
Liberia,,,115.0,3.94
Sri Lanka,,96.6,,7.44
Lesotho,,,114.0,
Lithuania,99.7,104.0,100.0,18.6
Latvia,99.8,98.3,100.0,26.8
"Macao, China",95.6,91.7,,
Morocco,67.1,96.9,83.2,
Moldova,99.0,104.0,100.0,34.8
Madagascar,,59.2,,
Maldives,,,,18.7
Mexico,93.5,103.0,99.7,14.4
Mali,33.4,,,13.4
Malta,,97.8,,22.8
Myanmar,92.7,,99.2,
Mongolia,97.4,97.0,103.0,13.2
Mozambique,,61.5,81.5,
Mauritania,58.6,,90.8,9.6
Mauritius,88.8,95.9,102.0,12.5
Malawi,,,99.0,9.55
Malaysia,,100.0,100.0,16.1
Namibia,,,104.0,
Niger,,,,22.5
Nicaragua,,,,
Nepal,57.4,,88.3,12.4
Oman,,92.1,,
Pakistan,,,,8.1
Panama,,87.0,99.6,
Peru,,,,12.6
Philippines,,98.1,,
Poland,99.7,,100.0,23.8
Puerto Rico,90.3,,101.0,
Portugal,95.4,103.0,100.0,22.5
Paraguay,,83.0,,
Qatar,,103.0,100.0,
Romania,97.7,86.4,100.0,8.65
Rwanda,,,101.0,5.54
Saudi Arabia,87.2,,97.8,
Senegal,,61.5,75.7,13.7
Singapore,,101.0,100.0,
Sierra Leone,43.3,85.3,71.0,
El Salvador,,,101.0,13.6
Serbia,98.0,98.2,,43.7
Sao Tome and Principe,,,101.0,
Slovenia,99.7,96.8,100.0,24.6
Eswatini,87.8,,103.0,
Seychelles,91.8,97.9,,
Syria,84.1,55.7,97.1,
Chad,35.4,,72.8,
Togo,60.4,87.5,,16.1
Thailand,,99.4,,
Tonga,,113.0,,
Trinidad and Tobago,98.8,,100.0,
Tunisia,,97.7,,
Turkey,94.1,101.0,97.5,14.4
Tanzania,,67.1,97.3,
Uganda,,,,
Ukraine,99.7,89.8,100.0,
Uruguay,,101.0,102.0,
Venezuela,,,,17.9
Vietnam,93.4,,99.1,
Vanuatu,83.2,96.7,100.0,13.5
Samoa,98.8,102.0,100.0,
Yemen,65.3,,75.5,
South Africa,93.0,95.5,,
Zambia,,,82.3,14.3
Zimbabwe,83.6,91.9,101.0,
