country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015,edu_adulit_2011_n,edu_prim_2020_n,edu_femalit_2009_n,edu_exp_2015_n
Aruba,,,100.0,,,,68.81496881496881,
Afghanistan,39.0,,,10.2,8.433734939759038,,,15.744466800804826
Albania,96.8,99.5,,29.8,95.48192771084337,78.84012539184954,,65.04024144869214
UAE,,105.0,,,,87.46081504702195,,
Argentina,97.9,104.0,100.0,15.6,97.13855421686746,85.8934169278997,68.81496881496881,29.325955734406435
Armenia,99.6,102.0,100.0,11.0,99.69879518072287,82.75862068965517,68.81496881496881,17.756539235412472
Antigua and Barbuda,99.0,,,,98.79518072289154,,,
Burundi,,49.2,99.2,,,0.0,67.15176715176715,
Benin,,60.3,66.9,10.3,,17.398119122257047,0.0,15.995975855130785
Burkina Faso,,62.0,,16.1,,20.06269592476489,,30.58350100603622
Bangladesh,57.7,,104.0,,36.596385542168676,,77.13097713097713,
Bulgaria,98.3,91.2,99.9,,97.7409638554217,65.8307210031348,68.60706860706861,
Bahrain,,,100.0,11.2,,,68.81496881496881,18.259557344064383
Belize,,105.0,,15.1,,87.46081504702195,,28.068410462776658
Brazil,,,,20.1,,,,40.643863179074444
Brunei,95.5,100.0,99.9,,93.52409638554217,79.62382445141066,68.60706860706861,
Bhutan,,82.7,,,,52.507836990595614,,
Botswana,85.1,,103.0,,77.86144578313252,,75.05197505197505,
Central African Republic,56.6,,79.4,,34.93975903614458,,25.98752598752599,
Chile,,98.0,,15.2,,76.48902821316615,,28.319919517102612
China,,,99.8,,,,68.39916839916839,
Cote d'Ivoire,56.9,75.6,84.5,13.8,35.39156626506024,41.37931034482757,36.59043659043658,24.798792756539235
Cameroon,,66.5,,,,27.115987460815045,,
"Congo, Dem. Rep.",,78.7,84.8,,,46.23824451410658,37.2141372141372,
Colombia,93.6,99.6,101.0,17.4,90.66265060240963,78.99686520376174,70.89397089397089,33.853118712273634
Comoros,75.5,,98.7,,63.40361445783132,,66.11226611226611,
