,country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017,gov_dem_2011_n,gov_cli_2022_n,gov_pri_2022_n,gov_cpi_2017_n
0,Afghanistan,,7,7,15.0,,0.0,0.0,7.5
1,Angola,-2.0,5,6,19.0,40.0,33.33333333333333,16.66666666666667,12.5
2,Albania,9.0,3,3,38.0,95.0,66.66666666666666,66.66666666666666,36.25
3,UAE,-8.0,6,7,71.0,10.0,16.66666666666667,0.0,77.5
4,Argentina,8.0,2,2,39.0,90.0,83.33333333333333,83.33333333333333,37.5
5,Armenia,5.0,4,4,35.0,75.0,50.0,50.0,32.5
6,Australia,10.0,1,1,77.0,100.0,100.0,100.0,85.0
7,Austria,10.0,1,1,75.0,100.0,100.0,100.0,82.5
8,Azerbaijan,-7.0,7,7,31.0,15.0,0.0,0.0,27.5
9,Burundi,6.0,6,7,22.0,80.0,16.66666666666667,0.0,16.25
10,Belgium,8.0,1,1,75.0,90.0,100.0,100.0,82.5
11,Benin,7.0,3,5,39.0,85.0,66.66666666666666,33.33333333333333,37.5
12,Burkina Faso,0.0,4,7,42.0,50.0,50.0,0.0,41.25
13,Bangladesh,5.0,5,5,28.0,75.0,33.33333333333333,33.33333333333333,23.75
14,Bulgaria,9.0,2,2,43.0,95.0,83.33333333333333,83.33333333333333,42.5
15,Bahrain,-8.0,6,7,36.0,10.0,16.66666666666667,0.0,33.75
16,Bosnia and Herzegovina,,4,4,38.0,,50.0,50.0,36.25
17,Belarus,-7.0,7,7,44.0,15.0,0.0,0.0,43.75
18,Bolivia,7.0,3,3,33.0,85.0,66.66666666666666,66.66666666666666,30.0
19,Brazil,8.0,3,2,37.0,90.0,66.66666666666666,83.33333333333333,35.0
20,Bhutan,3.0,4,3,67.0,65.0,50.0,66.66666666666666,72.5
21,Botswana,8.0,2,3,61.0,90.0,83.33333333333333,66.66666666666666,65.0
22,Central African Republic,-1.0,7,7,23.0,45.0,0.0,0.0,17.5
23,Canada,10.0,1,1,82.0,100.0,100.0,100.0,91.25
24,Switzerland,10.0,1,1,85.0,100.0,100.0,100.0,95.0
25,Chile,10.0,1,1,67.0,100.0,100.0,100.0,72.5
26,China,-7.0,6,7,41.0,15.0,16.66666666666667,0.0,40.0
27,Cote d'Ivoire,0.0,4,4,36.0,50.0,50.0,50.0,33.75
28,Cameroon,-4.0,6,6,25.0,30.0,16.66666666666667,16.66666666666667,20.0
29,"Congo, Dem. Rep.",5.0,6,7,21.0,75.0,16.66666666666667,0.0,15.0
30,"Congo, Rep.",-4.0,6,7,21.0,30.0,16.66666666666667,0.0,15.0
31,Colombia,7.0,3,2,37.0,85.0,66.66666666666666,83.33333333333333,35.0
32,Comoros,9.0,4,5,27.0,95.0,50.0,33.33333333333333,22.5
33,Cape Verde,10.0,1,1,55.0,100.0,100.0,100.0,57.5
34,Costa Rica,10.0,1,1,59.0,100.0,100.0,100.0,62.5
35,Cuba,-7.0,6,7,47.0,15.0,16.66666666666667,0.0,47.5
36,Cyprus,10.0,1,1,57.0,100.0,100.0,100.0,60.0
37,Czech Republic,8.0,1,1,57.0,90.0,100.0,100.0,60.0
38,Germany,10.0,1,1,81.0,100.0,100.0,100.0,90.0
39,Djibouti,2.0,5,7,31.0,60.0,33.33333333333333,0.0,27.5
40,Denmark,10.0,1,1,88.0,100.0,100.0,100.0,98.75
41,Dominican Republic,8.0,3,3,29.0,90.0,66.66666666666666,66.66666666666666,25.0
42,Algeria,2.0,5,6,33.0,60.0,33.33333333333333,16.66666666666667,30.0
43,Ecuador,5.0,3,2,32.0,75.0,66.66666666666666,83.33333333333333,28.75
44,Egypt,-2.0,6,6,32.0,40.0,16.66666666666667,16.66666666666667,28.75
45,Eritrea,-7.0,7,7,20.0,15.0,0.0,0.0,13.75
46,Spain,10.0,1,1,57.0,100.0,100.0,100.0,60.0
47,Estonia,9.0,1,1,71.0,95.0,100.0,100.0,77.5
48,Ethiopia,1.0,6,6,35.0,55.0,16.66666666666667,16.66666666666667,32.5
49,Finland,10.0,1,1,85.0,100.0,100.0,100.0,95.0
50,France,9.0,2,1,70.0,95.0,83.33333333333333,100.0,76.25
51,Gabon,3.0,5,7,32.0,65.0,33.33333333333333,0.0,28.75
52,UK,10.0,1,1,82.0,100.0,100.0,100.0,91.25
53,Georgia,6.0,3,4,56.0,80.0,66.66666666666666,50.0,58.75
54,Ghana,8.0,2,2,40.0,90.0,83.33333333333333,83.33333333333333,38.75
55,Guinea,5.0,5,6,27.0,75.0,33.33333333333333,16.66666666666667,22.5
56,Gambia,-5.0,4,4,30.0,25.0,50.0,50.0,26.25
57,Guinea-Bissau,6.0,4,5,17.0,80.0,50.0,33.33333333333333,10.0
58,Equatorial Guinea,-5.0,7,7,17.0,25.0,0.0,0.0,10.0
59,Greece,10.0,2,2,48.0,100.0,83.33333333333333,83.33333333333333,48.75
60,Guatemala,8.0,4,4,28.0,90.0,50.0,50.0,23.75
61,Guyana,6.0,3,2,38.0,80.0,66.66666666666666,83.33333333333333,36.25
62,Honduras,7.0,4,4,29.0,85.0,50.0,50.0,25.0
63,Croatia,9.0,2,2,49.0,95.0,83.33333333333333,83.33333333333333,50.0
64,Haiti,0.0,5,6,22.0,50.0,33.33333333333333,16.66666666666667,16.25
65,Hungary,10.0,3,3,45.0,100.0,66.66666666666666,66.66666666666666,45.0
66,Indonesia,8.0,4,2,37.0,90.0,50.0,83.33333333333333,35.0
67,India,9.0,4,2,40.0,95.0,50.0,83.33333333333333,38.75
68,Ireland,10.0,1,1,74.0,100.0,100.0,100.0,81.25
69,Iran,-7.0,6,7,30.0,15.0,16.66666666666667,0.0,26.25
70,Iraq,3.0,6,5,18.0,65.0,16.66666666666667,33.33333333333333,11.25
71,Israel,10.0,3,2,62.0,100.0,66.66666666666666,83.33333333333333,66.25
72,Italy,10.0,1,1,50.0,100.0,100.0,100.0,51.25
73,Jamaica,9.0,2,2,44.0,95.0,83.33333333333333,83.33333333333333,43.75
74,Jordan,-3.0,5,6,48.0,35.0,33.33333333333333,16.66666666666667,48.75
75,Japan,10.0,1,1,73.0,100.0,100.0,100.0,80.0
76,Kazakhstan,-6.0,5,7,31.0,20.0,33.33333333333333,0.0,27.5
77,Kenya,8.0,4,4,28.0,90.0,50.0,50.0,23.75
78,Kyrgyz Republic,7.0,5,7,29.0,85.0,33.33333333333333,0.0,25.0
79,Cambodia,2.0,5,7,21.0,60.0,33.33333333333333,0.0,15.0
80,South Korea,8.0,2,2,54.0,90.0,83.33333333333333,83.33333333333333,56.25
81,Kuwait,-7.0,5,5,39.0,15.0,33.33333333333333,33.33333333333333,37.5
82,Lao,-7.0,6,7,29.0,15.0,16.66666666666667,0.0,25.0
83,Lebanon,7.0,4,5,28.0,85.0,50.0,33.33333333333333,23.75
84,Liberia,6.0,4,3,31.0,80.0,50.0,66.66666666666666,27.5
85,Libya,0.0,6,7,17.0,50.0,16.66666666666667,0.0,10.0
86,Sri Lanka,4.0,4,4,38.0,70.0,50.0,50.0,36.25
87,Lesotho,8.0,3,2,42.0,90.0,66.66666666666666,83.33333333333333,41.25
