country,health_life_2022,health_doc_2017,health_spending_2010,health_uhc_2021,health_life_2022_n,health_doc_2017_n,health_spending_2010_n,health_uhc_2021_n,health_s
Afghanistan,62.6,0.245,7.58,41,34.4927536231884,2.6938874124184586,35.420503376304474,21.875,23.62053610297783
Angola,64.5,0.212,2.85,37,39.99999999999999,2.2952403962309735,6.38428483732351,15.625,16.076131308388618
Albania,76.1,,6.55,64,73.62318840579708,,29.097605893186,57.8125,40.13332357474577
Andorra,82.7,,7.52,79,92.7536231884058,,35.052179251074264,81.25,52.263950609870015
UAE,73.4,2.55,3.66,82,65.79710144927537,30.53877748248369,11.356660527931245,85.9375,48.407509864922574
Argentina,75.4,3.98,8.1,79,71.59420289855073,47.8134815172747,38.61264579496623,81.25,59.817582552697914
Armenia,73.7,4.55,4.4,68,66.66666666666667,54.699202705967615,15.899324739103745,64.0625,50.33192352793451
Antigua and Barbuda,76.8,2.9,6.03,76,75.65217391304347,34.76685189659338,25.905463474524247,76.5625,53.221747321040276
Australia,83.4,3.68,8.73,87,94.78260869565219,44.189417733752116,42.48004910988336,93.75,68.80051888482191
Austria,82.7,5.18,11.0,85,92.7536231884058,62.30973665136506,56.41497851442602,90.625,75.52583458854922
Azerbaijan,71.4,3.16,5.88,66,60.000000000000014,37.90770717564629,24.984653161448737,60.9375,45.95746508427376
Burundi,63.5,0.097,11.6,41,37.10144927536231,0.9060159458806476,60.098219766728036,21.875,29.995171246992747
Belgium,81.9,3.08,10.7,86,90.43478260869567,36.941290166706935,54.573357888275,92.1875,68.5342326659194
Benin,64.0,,4.1,38,38.55072463768115,,14.057704112952727,17.1875,17.44898218765847
Burkina Faso,61.4,0.082,6.74,40,31.014492753623177,0.7248127567045181,30.26396562308164,20.3125,20.578942783352332
Bangladesh,75.5,0.536,3.52,52,71.88405797101449,6.209229282435371,10.497237569060772,39.0625,31.913256205627658
Bulgaria,69.9,,6.87,73,55.652173913043484,,31.062001227747082,71.875,39.64729378519764
Bahrain,76.3,,4.97,76,74.20289855072463,,19.398403928790664,76.5625,42.54095061987882
Bahamas,76.6,1.85,7.89,77,75.07246376811591,22.082628654264315,37.323511356660525,78.125,53.15090094476019
Bosnia and Herzegovina,75.0,,11.1,66,70.43478260869564,,57.028852056476346,60.9375,47.100283666292995
Belarus,73.0,4.33,5.61,79,64.63768115942028,52.04155593138439,23.327194597912825,81.25,55.314107922179375
Belize,71.5,1.13,5.2,68,60.28985507246375,13.384875573810096,20.810313075506443,64.0625,39.636885930445075
Bolivia,68.9,1.01,4.84,65,52.753623188405804,11.935250060401062,18.600368324125228,59.375,35.666060393233025
Brazil,73.9,2.16,9.01,80,67.24637681159422,25.827494563904327,44.198895027624296,82.8125,55.02131660078071
Barbados,76.6,2.55,7.97,77,75.07246376811591,30.53877748248369,37.81461019030079,78.125,55.3877128602251
Brunei,74.2,1.59,2.84,78,68.1159420289855,18.941773375211405,6.322897483118476,79.6875,43.267028221828845
Bhutan,74.0,0.31,5.2,60,67.53623188405795,3.479101232181686,20.810313075506443,51.5625,35.847036547936526
Botswana,62.7,,8.3,55,34.78260869565217,,39.840392879066904,43.75,29.593250393679767
Central African Republic,51.8,,3.98,32,3.188405797101433,,13.321055862492324,7.8125,6.080490414898439
Canada,82.7,2.61,11.3,91,92.7536231884058,31.263590239188208,58.25659914057703,100.0,70.56845314204276
Switzerland,84.5,4.3,11.5,86,97.97101449275361,51.679149553032126,59.48434622467771,92.1875,75.33050256761587
Chile,79.3,2.46,7.96,82,82.89855072463767,29.451558347426914,37.75322283609576,85.9375,59.01020797704008
China,78.2,2.01,5.07,81,79.71014492753623,24.015462672143027,20.012277470841003,84.375,52.028221267630066
Cote d'Ivoire,63.8,,5.3,43,37.97101449275361,,21.42418661755678,25.0,21.0988002775776
Cameroon,62.7,,5.13,44,34.78260869565217,,20.380601596071205,26.5625,20.431427572930843
"Congo, Dem. Rep.",64.5,,7.91,42,39.99999999999999,,37.44628606507059,23.4375,25.220946516267645
"Congo, Rep.",65.8,,2.46,41,43.76811594202897,,3.990178023327193,21.875,17.40832349133904
Colombia,77.0,2.13,7.59,80,76.231884057971,25.465088185552066,35.481890730509505,82.8125,54.99784074350814
Comoros,68.3,,4.51,48,51.01449275362317,,16.574585635359114,32.8125,25.10039459724557
Cape Verde,72.5,,4.09,71,63.18840579710144,,13.996316758747694,68.75,36.483680638962284
Costa Rica,78.0,3.0,10.9,81,79.13043478260869,35.974873157767576,55.80110497237568,84.375,63.82035322818798
Cuba,79.2,8.3,10.6,83,82.6086956521739,100.0,53.95948434622466,87.5,81.01704499959965
Cyprus,81.3,2.75,5.97,81,88.69565217391303,32.95482000483209,25.53713934929404,84.375,57.89065288200979
Czech Republic,78.3,4.07,7.88,84,79.99999999999999,48.90070065233148,37.26212400245549,89.0625,63.80633116369674
Germany,80.6,4.25,11.6,88,86.66666666666664,51.07513892244503,60.098219766728036,95.3125,73.28813133895993
Djibouti,66.6,,7.24,44,46.086956521739104,,33.33333333333333,26.5625,26.49569746376811
Dominica,71.8,1.14,7.42,49,61.159420289855056,13.505677699927515,34.438305709023936,34.375,35.86960092470163
Denmark,81.6,4.13,11.4,82,89.56521739130432,49.62551340903599,58.870472682627366,85.9375,70.99967587074192
Dominican Republic,73.8,,6.22,77,66.95652173913042,,27.071823204419886,78.125,43.03833623588758
Algeria,76.8,,4.17,74,75.65217391304347,,14.487415592387965,73.4375,40.89427237635786
Ecuador,77.0,2.23,8.06,77,76.231884057971,26.67310944672626,38.367096378146094,78.125,54.84927247071084
Egypt,69.8,0.757,4.66,70,55.3623188405797,8.878956269630345,17.49539594843462,67.1875,37.23104276466117
Eritrea,63.1,0.066,2.66,45,35.94202898550724,0.5315293549166465,5.21792510742787,28.125,17.45412086196294
Spain,83.5,3.88,9.54,85,95.07246376811592,46.60546025610051,47.45242480049109,90.625,69.93883720617688
Estonia,78.5,3.47,6.03,79,80.57971014492752,41.652573085286306,25.905463474524247,81.25,57.34693667618452
Ethiopia,68.6,,4.9,35,51.884057971014464,,18.968692449355434,12.5,20.838187605092475
Finland,82.3,3.46,8.95,86,91.5942028985507,41.53177095916888,43.83057090239409,92.1875,67.28601119002843
Fiji,68.8,,4.86,58,52.46376811594202,,18.723143032535294,48.4375,29.906102787119327
France,83.4,3.27,11.9,85,94.78260869565219,39.23653056293791,61.939840392879056,90.625,71.64599491286728
"Micronesia, Fed. Sts.",64.0,,14.2,48,38.55072463768115,,76.05893186003681,32.8125,36.85553912442949
Gabon,66.9,0.658,3.5,49,46.956521739130444,7.68301522106789,10.374462860650704,34.375,24.84724995521226
UK,81.5,2.81,9.64,88,89.27536231884056,33.6796327615366,48.06629834254143,95.3125,66.58344835572964
Georgia,71.5,6.51,10.1,68,60.28985507246375,78.37641942498188,50.89011663597297,64.0625,63.40472278335464
Ghana,65.5,0.089,5.22,48,42.89855072463767,0.8093742449867117,20.933087783916505,32.8125,24.363378188385223
Guinea,60.5,,4.93,40,28.40579710144927,,19.152854511970528,20.3125,16.96778790335495
Gambia,65.8,0.097,5.69,46,43.76811594202897,0.9060159458806476,23.818293431553098,29.6875,24.544981329865678
Guinea-Bissau,59.9,,8.5,37,26.666666666666654,,41.06813996316758,15.625,20.83995165745856
Equatorial Guinea,65.5,0.35,4.48,46,42.89855072463767,3.9623097366513647,16.390423572744016,29.6875,23.234696008508262
Greece,80.3,6.1,10.3,77,85.79710144927535,73.42353225416767,52.11786372007366,78.125,72.36587435587917
Grenada,73.8,1.29,5.86,70,66.95652173913042,15.317709591688812,24.861878453038674,67.1875,43.580902445964476
Guatemala,68.2,0.286,6.85,59,50.72463768115942,3.1891761294998786,30.939226519337005,50.0,33.713260082499076
Guyana,64.3,,5.38,76,39.420289855072454,,21.91528545119705,76.5625,34.474518826567376
Honduras,69.9,0.303,,64,55.652173913043484,3.394539743899492,,57.8125,29.214803414235746
Croatia,79.2,3.31,7.76,80,82.6086956521739,39.71973906740759,36.525475751995074,82.8125,60.41660261789414
Haiti,63.3,,6.91,54,36.52173913043477,,31.30755064456721,42.1875,27.504197443750495
Hungary,75.1,3.33,7.33,79,70.7246376811594,39.961343319642424,33.88581952117863,81.25,56.45545013049511
Indonesia,69.1,0.377,2.61,55,53.33333333333331,4.288475477168398,4.910988336402699,43.75,26.5706992867261
India,67.6,,4.05,63,48.985507246376784,,13.75076734192756,56.25,29.746568647076085
Ireland,82.5,3.28,9.19,83,92.17391304347825,39.357332689055326,45.303867403314904,87.5,66.08377828396212
Iran,76.2,1.08,5.6,74,73.91304347826087,12.780864943223001,23.26580724370779,73.4375,45.84930391629792
Iraq,73.0,0.794,8.41,59,64.63768115942028,9.325924136264797,40.51565377532228,50.0,41.11981476775184
Iceland,84.5,3.87,9.4,89,97.97101449275361,46.48465812998309,46.59300184162062,96.875,71.98091861608933
Israel,82.8,3.45,7.63,85,93.04347826086955,41.41096883305146,35.727440147329645,90.625,65.20172181031266
Italy,83.6,4.03,9.53,84,95.36231884057969,48.4174921478618,47.39103744628605,89.0625,70.05833710868188
Jamaica,75.0,,4.81,74,70.43478260869564,,18.416206261510123,73.4375,40.57212221755144
Jordan,76.3,2.23,8.04,65,74.20289855072463,26.67310944672626,38.244321669736024,59.375,49.62383241679673
Japan,85.2,,9.49,83,100.0,,47.14548802946592,87.5,58.66137200736648
Kazakhstan,69.8,3.94,4.29,80,55.3623188405797,47.33027301280502,15.22406384284837,82.8125,50.18228892405827
Kenya,65.6,,4.75,53,43.188405797101424,,18.047882136279924,40.625,25.465321983345337
Kyrgyz Republic,72.7,,6.18,69,63.768115942028984,,26.826273787599746,65.625,39.054847432407186
Cambodia,69.1,,5.68,58,53.33333333333331,,23.75690607734806,48.4375,31.38193485267034
Kiribati,61.2,,11.3,48,30.434782608695652,,58.25659914057703,32.8125,30.37597043731817
St. Kitts and Nevis,72.6,,6.66,79,63.47826086956519,,29.772866789441366,81.25,43.62528191475164
South Korea,83.3,2.34,6.93,89,94.49275362318839,28.00193283401788,31.430325352977277,96.875,62.70000295254589
Kuwait,82.1,,2.63,78,91.01449275362316,,5.033763044812767,79.6875,43.93393894960899
Lao,69.8,0.441,4.47,52,55.3623188405797,5.061609084319883,16.329036218538974,39.0625,28.95386603585964
