country,infra_vehicles_2007,infra_elec_2021,infra_sanit_2016,infra_water_2016,infra_vehicles_2007_n,infra_elec_2021_n,infra_sanit_2016_n,infra_water_2016_n
Afghanistan,22.8,97.7,45.7,65.2,2.581722027520778,97.43875278396438,41.14459137220897,45.45454545454545
Angola,39.6,48.2,48.6,55.1,4.508979528624936,42.3162583518931,44.287882072404074,29.623824451410655
Albania,102.0,100.0,98.1,93.8,11.667364532726094,100.0,97.94060264469975,90.282131661442
UAE,313.0,100.0,99.1,100.0,35.872801004927126,100.0,99.02449598959461,100.0
Argentina,314.0,100.0,94.8,99.0,35.98751871332618,100.0,94.3637546065467,98.43260188087774
Armenia,105.0,100.0,93.2,99.5,12.011517657923266,100.0,92.62952525471493,99.21630094043887
Australia,653.0,100.0,100.0,100.0,74.87682186060651,100.0,100.0,100.0
Austria,557.0,100.0,100.0,100.0,63.86392185429705,100.0,100.0,100.0
Azerbaijan,,100.0,96.1,93.4,,100.0,95.77281595491003,89.65517241379311
Burundi,5.67,10.2,45.9,60.2,0.6166076826449315,0.0,41.36137004118794,37.61755485893417
Belgium,539.0,100.0,99.5,100.0,61.79900310311402,100.0,99.45805332755256,100.0
Benin,20.6,42.0,16.8,66.0,2.3293430690428525,35.41202672605791,9.820073704747452,46.70846394984326
Burkina Faso,10.8,19.0,21.2,50.4,1.205109526732094,9.79955456570156,14.589204422284846,22.257053291536042
Bangladesh,2.26,99.0,50.3,97.4,0.22542029700414704,98.88641425389756,46.130500758725326,95.92476489028213
Bulgaria,295.0,99.8,86.0,99.2,33.8078822537441,99.77728285077951,84.82549317147193,98.7460815047022
Bahrain,482.0,100.0,100.0,99.9,55.260093724367756,100.0,100.0,99.84326018808778
Bahamas,81.7,100.0,94.9,98.9,9.338595052225235,100.0,94.47214394103622,98.27586206896552
Bosnia and Herzegovina,170.0,100.0,95.3,96.2,19.46816870386197,100.0,94.90570127899414,94.04388714733543
Belarus,282.0,100.0,97.9,98.3,32.31655204455635,100.0,97.7238239757208,97.33542319749215
Belize,178.0,97.7,87.5,97.6,20.385910371054425,97.43875278396438,86.45133318881423,96.23824451410657
Bolivia,68.4,98.6,58.4,90.9,7.812849530517778,98.44097995545657,54.91003685237372,85.73667711598746
Brazil,198.0,99.5,86.9,98.0,22.680264539035566,99.44320712694878,85.8009971818773,96.8652037617555
Barbados,406.0,100.0,96.9,98.5,46.541547886039424,100.0,96.63993063082594,97.64890282131663
Brunei,696.0,100.0,92.2,99.9,79.80968332176596,100.0,91.54563190982007,99.84326018808778
Bhutan,38.3,100.0,71.4,98.2,4.359846507706162,100.0,69.00065033600693,97.17868338557994
Botswana,114.0,73.7,76.0,89.5,13.043977033514778,70.71269487750557,73.98655972252331,83.5423197492163
Central African Republic,0.295,15.7,15.6,41.3,0.0,6.124721603563475,8.519401690873618,7.993730407523502
Canada,597.0,100.0,99.0,99.2,68.45263019025933,100.0,98.91610665510514,98.7460815047022
Switzerland,569.0,100.0,99.9,100.0,65.24053435508573,100.0,99.89161066551053,100.0
Chile,164.0,100.0,99.7,99.7,18.77986245346763,100.0,99.67483199653154,99.52978056426333
China,32.2,100.0,86.4,93.4,3.660068486471914,100.0,85.25905050942988,89.65517241379311
"Congo, Dem. Rep.",5.0,20.8,17.4,36.2,0.5397468180175633,11.804008908685972,10.470409711684368,0.0
"Congo, Rep.",25.8,49.7,19.5,72.2,2.925875152717949,43.98663697104677,12.746585735963581,56.426332288401255
Colombia,65.6,100.0,89.6,96.3,7.491639947000417,100.0,88.72750921309343,94.20062695924764
Comoros,33.5,87.9,35.8,80.1,3.809201507390688,86.52561247216036,30.414047257749832,68.80877742946707
Cape Verde,94.0,95.5,72.5,86.2,10.749622865533638,94.98886414253897,70.19293301539129,78.36990595611286
Costa Rica,152.0,100.0,97.3,99.5,17.403249952678948,100.0,97.07348796878387,99.21630094043887
Cuba,38.0,100.0,89.2,93.8,4.325431195186445,100.0,88.29395187513549,90.282131661442
Cyprus,622.0,100.0,99.4,99.8,71.32057290023575,100.0,99.3496639930631,99.68652037617554
Czech Republic,470.0,100.0,99.1,99.9,53.883481223579075,100.0,99.02449598959461,99.84326018808778
Germany,623.0,100.0,99.2,100.0,71.4352906086348,100.0,99.1328853240841,100.0
Denmark,466.0,100.0,99.6,100.0,53.424610389982846,100.0,99.56644266204205,100.0
Dominican Republic,123.0,98.1,85.7,95.6,14.076436409106291,97.88418708240535,84.50032516800347,93.10344827586206
Algeria,,99.8,86.6,93.6,,99.77728285077951,85.47582917840884,89.96865203761755
Ecuador,63.1,100.0,87.0,93.8,7.204845676002776,100.0,85.9093865163668,90.282131661442
Eritrea,11.3,52.5,11.9,51.8,1.2624683809316224,47.10467706013363,4.508996314762627,24.451410658307204
Spain,601.0,100.0,99.9,99.9,68.91150102385555,100.0,99.89161066551053,99.84326018808778
Estonia,444.0,100.0,99.1,99.9,50.900820805203594,100.0,99.02449598959461,99.84326018808778
Ethiopia,3.0,54.2,7.74,43.0,0.3103114012194492,48.9977728285078,0.0,10.658307210031344
Finland,559.0,100.0,99.4,100.0,64.09335727109516,100.0,99.3496639930631,100.0
Fiji,173.0,92.1,93.0,95.3,19.81232182905914,91.20267260579064,92.41274658573596,92.63322884012538
France,601.0,100.0,98.7,100.0,68.91150102385555,100.0,98.59093865163668,100.0
"Micronesia, Fed. Sts.",36.5,83.6,90.5,90.1,4.15335463258786,81.73719376391982,89.7030132234988,84.48275862068965
UK,527.0,100.0,99.1,100.0,60.422390602325336,100.0,99.02449598959461,100.0
Georgia,116.0,100.0,86.9,93.7,13.273412450312891,100.0,85.8009971818773,90.12539184952979
Ghana,33.0,86.3,21.5,82.0,3.7518426531911597,84.74387527839643,14.914372425753305,71.78683385579937
Gambia,7.28,63.7,46.8,82.1,0.8013031931674133,59.57683741648107,42.33687405159331,71.94357366771159
Guinea-Bissau,32.9,35.8,21.0,60.8,3.7403708823512534,28.50779510022272,14.372425753305874,38.55799373040752
Greece,112.0,100.0,99.0,100.0,12.814541616716664,100.0,98.91610665510514,100.0
Guatemala,117.0,97.9,67.3,92.4,13.388130158711949,97.66146993318486,64.55668762193798,88.08777429467085
Guyana,95.4,92.9,87.3,93.9,10.910227657292317,92.09354120267261,86.23455451983524,90.43887147335424
"Hong Kong, China",72.4,100.0,96.6,100.0,8.271720364114007,100.0,96.31476262735747,100.0
