country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Albania,0.73,2.99,2.8000000000000003,14.025,7.5,6.015,2.68,2.015,9.299999999999999,6.609999999999999
UAE,1.94,1.095,5.04,3.945,8.370000000000001,7.26,1.64,3.415,12.525,2.6
Argentina,1.095,3.515,3.53,13.424999999999999,8.22,8.969999999999999,0.97,2.18,9.465,7.3500000000000005
Armenia,0.97,3.365,2.75,14.205,7.6000000000000005,7.544999999999999,1.7000000000000002,1.8800000000000001,9.434999999999999,5.19
Benin,0.22999999999999998,0.41500000000000004,2.8200000000000003,13.485000000000001,2.3600000000000003,2.61,1.36,2.44,4.8,5.5600000000000005
Bangladesh,0.435,1.42,3.14,13.95,6.03,4.784999999999999,0.9400000000000001,1.695,7.53,4.14
Bulgaria,1.1050000000000002,2.9000000000000004,3.3700000000000006,13.005,7.93,5.94,2.3000000000000003,2.1,8.73,7.6000000000000005
Bahrain,0.9900000000000001,1.09,4.59,9.885,8.88,6.375,1.7000000000000002,2.92,10.41,1.51
Brazil,1.0,0.51,2.8200000000000003,13.424999999999999,7.620000000000001,8.25,2.22,2.025,7.994999999999999,6.88
Botswana,0.6150000000000001,1.9100000000000001,3.2700000000000005,11.19,6.03,4.44,0.9800000000000001,2.025,5.04,7.620000000000001
Chile,1.1199999999999999,1.31,3.3600000000000003,13.23,7.95,8.85,1.31,2.04,9.42,9.31
China,1.2750000000000001,0.8550000000000001,4.11,11.37,6.96,7.8,1.1,2.8800000000000003,10.02,1.79
"Congo, Dem. Rep.",0.08000000000000002,1.045,2.8600000000000003,13.275,0.5700000000000001,3.78,2.8800000000000003,1.9350000000000003,4.154999999999999,2.67
Colombia,0.9050000000000001,3.4299999999999997,2.84,14.04,7.26,8.25,2.17,2.3649999999999998,7.395,6.75
Costa Rica,1.2750000000000001,3.7200000000000006,3.0300000000000002,14.055,7.840000000000001,9.569999999999999,1.9000000000000001,2.145,8.895,9.06
Cyprus,2.0500000000000003,3.975,3.59,10.110000000000001,9.26,8.684999999999999,0.8800000000000001,2.39,11.01,9.0
Dominican Republic,0.55,2.3350000000000004,3.16,13.889999999999999,7.240000000000001,6.45,0.67,2.195,8.355,6.210000000000001
Algeria,0.5950000000000001,1.035,3.85,13.62,6.88,6.135,0.77,1.045,9.315,3.5
Ecuador,0.73,3.09,3.0100000000000002,13.964999999999998,7.08,8.219999999999999,1.4100000000000001,2.12,7.185,6.34
Spain,1.895,2.195,3.54,11.714999999999998,9.22,10.485000000000001,1.97,2.1,12.51,9.0
Estonia,2.09,3.53,4.0600000000000005,8.775,8.74,8.594999999999999,1.85,2.6950000000000003,11.4,9.31
Ethiopia,0.07500000000000001,0.41500000000000004,3.2,13.35,1.5,3.12,2.6500000000000004,2.805,5.355,3.02
Georgia,1.11,3.0100000000000002,2.75,13.98,7.23,9.51,1.6100000000000003,2.4050000000000002,9.375,6.390000000000001
Ghana,0.36000000000000004,0.79,2.8000000000000003,13.799999999999999,4.38,3.6599999999999997,1.6100000000000003,2.62,6.465,7.390000000000001
Greece,1.8,3.565,2.9000000000000004,11.069999999999999,7.790000000000001,10.860000000000001,1.1400000000000001,1.7100000000000002,11.4,7.890000000000001
Guatemala,0.555,2.355,2.34,13.844999999999999,6.590000000000001,5.055000000000001,2.08,2.0850000000000004,6.765,5.34
Honduras,0.32000000000000006,0.9750000000000001,2.37,13.815,6.790000000000001,4.38,1.64,1.955,6.3,5.25
Hungary,1.54,3.4250000000000003,3.85,12.885,8.55,8.475,1.7300000000000002,2.285,12.15,6.96
Indonesia,0.505,2.465,3.53,13.98,6.609999999999999,3.99,1.16,2.6350000000000002,8.145,6.46
Iran,1.0,1.07,4.260000000000001,12.135,7.120000000000001,6.869999999999999,0.73,1.235,7.919999999999999,1.4500000000000002
Israel,1.445,1.51,3.8600000000000003,10.275,8.370000000000001,9.78,0.82,2.5100000000000002,11.535,7.91
Italy,1.895,3.625,3.54,11.94,9.43,10.514999999999999,1.2000000000000002,1.9100000000000001,12.464999999999998,8.78
Jamaica,0.8250000000000001,3.225,0.37000000000000005,13.77,6.76,6.09,0.49000000000000005,2.465,7.905,7.640000000000001
Jordan,0.395,1.175,0.26,13.815,7.78,7.4399999999999995,0.51,1.0650000000000002,7.83,3.34
Kenya,0.365,1.135,2.54,13.71,3.5100000000000002,3.8249999999999997,2.2399999999999998,3.0,5.835,5.34
Kuwait,0.925,0.0,1.27,1.4549999999999998,8.940000000000001,6.585,2.19,2.625,7.08,2.9800000000000004
Sri Lanka,0.73,1.04,3.74,14.46,6.9,5.97,1.62,1.9000000000000001,8.055,5.16
Lithuania,1.35,3.6450000000000005,3.5700000000000003,9.54,8.55,8.58,1.37,2.6,10.739999999999998,8.65
Latvia,1.32,3.79,3.5,11.085,8.540000000000001,8.145,1.87,2.535,10.71,8.36
Morocco,0.5900000000000001,1.995,3.0100000000000002,13.844999999999999,6.51,6.09,0.45,1.5750000000000002,7.77,3.39
Moldova,1.2750000000000001,4.14,2.66,14.475,6.91,9.0,0.82,1.545,10.08,6.2700000000000005
Mexico,1.035,3.365,3.1100000000000003,13.65,7.82,6.675,0.9300000000000002,2.35,9.059999999999999,5.79
Mongolia,0.8500000000000001,3.3700000000000006,3.17,12.014999999999999,5.890000000000001,5.04,0.9199999999999999,2.31,9.09,7.93
Malaysia,1.1300000000000001,2.2399999999999998,3.39,11.25,7.2700000000000005,6.975,0.81,2.805,9.33,5.69
Namibia,0.61,0.9650000000000001,2.35,13.065,4.14,4.529999999999999,1.87,1.5750000000000002,4.2,7.48
Niger,0.13,0.585,2.6500000000000004,12.735000000000001,0.78,2.4299999999999997,2.37,2.8550000000000004,5.04,5.25
Nicaragua,0.405,0.0,2.64,13.964999999999998,5.79,5.7,1.72,2.355,6.69,3.3200000000000003
Nepal,0.48,1.2750000000000001,2.5600000000000005,13.65,5.760000000000001,5.085,2.43,2.1100000000000003,7.68,5.6000000000000005
Oman,0.845,0.8400000000000001,3.9700000000000006,11.4,7.76,5.744999999999999,1.42,2.6100000000000003,6.869999999999999,2.59
Pakistan,0.22000000000000003,0.13,2.4000000000000004,13.38,5.91,3.1799999999999997,1.6300000000000001,1.7149999999999999,6.930000000000001,4.39
