country,total
Albania,54.665
UAE,47.83
Argentina,58.71999999999999
Armenia,54.64
Benin,36.080000000000005
Bangladesh,44.065000000000005
Bulgaria,54.98
Bahrain,48.35
Brazil,52.745
Botswana,43.120000000000005
Chile,57.900000000000006
China,48.160000000000004
"Congo, Dem. Rep.",33.25
Colombia,55.405
Costa Rica,61.49000000000001
Cyprus,60.95
Dominican Republic,51.055
Algeria,46.745000000000005
Ecuador,53.14999999999999
Spain,64.63
Estonia,61.045
Ethiopia,35.49
Georgia,57.370000000000005
Ghana,43.875
Greece,60.125
Guatemala,47.010000000000005
Honduras,43.795
Hungary,61.849999999999994
Indonesia,49.48
Iran,43.79
Israel,58.015
Italy,65.3
Jamaica,49.53999999999999
Jordan,43.61
Kenya,41.5
Kuwait,34.05
Sri Lanka,49.57499999999999
Lithuania,58.59499999999999
Latvia,59.855
Morocco,45.224999999999994
Moldova,57.175
Mexico,53.785000000000004
Mongolia,50.585
Malaysia,50.88999999999999
Namibia,40.785
Niger,34.825
Nicaragua,42.584999999999994
Nepal,46.63
Oman,44.05
Pakistan,39.885000000000005
Panama,51.66
Peru,49.86
Philippines,46.61
Poland,58.98499999999999
Portugal,65.01
Paraguay,50.505
Qatar,49.31
Romania,57.949999999999996
Senegal,40.650000000000006
Singapore,53.53999999999999
El Salvador,49.36
Serbia,54.0
Slovenia,65.53
Syria,34.825
Togo,37.925
Tunisia,46.660000000000004
Turkey,53.065
Tanzania,38.515
Ukraine,52.92999999999999
Uruguay,59.989999999999995
Venezuela,39.69
Vietnam,46.535
South Africa,45.87
Zambia,38.655
Zimbabwe,38.69500000000001
