country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Albania,14.6,59.8,28.0,93.5,75.0,40.1,26.8,40.3,62.0,66.1
UAE,38.8,21.9,50.4,26.3,83.7,48.4,16.4,68.3,83.5,26.0
Argentina,21.9,70.3,35.3,89.5,82.2,59.8,9.7,43.6,63.1,73.5
Armenia,19.4,67.3,27.5,94.7,76.0,50.3,17.0,37.6,62.9,51.9
Benin,4.6,8.3,28.2,89.9,23.6,17.4,13.6,48.8,32.0,55.6
Bangladesh,8.7,28.4,31.4,93.0,60.3,31.9,9.4,33.9,50.2,41.4
Bulgaria,22.1,58.0,33.7,86.7,79.3,39.6,23.0,42.0,58.2,76.0
Bahrain,19.8,21.8,45.9,65.9,88.8,42.5,17.0,58.4,69.4,15.1
Brazil,20.0,10.2,28.2,89.5,76.2,55.0,22.2,40.5,53.3,68.8
Botswana,12.3,38.2,32.7,74.6,60.3,29.6,9.8,40.5,33.6,76.2
Chile,22.4,26.2,33.6,88.2,79.5,59.0,13.1,40.8,62.8,93.1
China,25.5,17.1,41.1,75.8,69.6,52.0,11.0,57.6,66.8,17.9
"Congo, Dem. Rep.",1.6,20.9,28.6,88.5,5.7,25.2,28.8,38.7,27.7,26.7
Colombia,18.1,68.6,28.4,93.6,72.6,55.0,21.7,47.3,49.3,67.5
Costa Rica,25.5,74.4,30.3,93.7,78.4,63.8,19.0,42.9,59.3,90.6
Cyprus,41.0,79.5,35.9,67.4,92.6,57.9,8.8,47.8,73.4,90.0
Dominican Republic,11.0,46.7,31.6,92.6,72.4,43.0,6.7,43.9,55.7,62.1
Algeria,11.9,20.7,38.5,90.8,68.8,40.9,7.7,20.9,62.1,35.0
Ecuador,14.6,61.8,30.1,93.1,70.8,54.8,14.1,42.4,47.9,63.4
Spain,37.9,43.9,35.4,78.1,92.2,69.9,19.7,42.0,83.4,90.0
Estonia,41.8,70.6,40.6,58.5,87.4,57.3,18.5,53.9,76.0,93.1
Ethiopia,1.5,8.3,32.0,89.0,15.0,20.8,26.5,56.1,35.7,30.2
Georgia,22.2,60.2,27.5,93.2,72.3,63.4,16.1,48.1,62.5,63.9
Ghana,7.2,15.8,28.0,92.0,43.8,24.4,16.1,52.4,43.1,73.9
Greece,36.0,71.3,29.0,73.8,77.9,72.4,11.4,34.2,76.0,78.9
Guatemala,11.1,47.1,23.4,92.3,65.9,33.7,20.8,41.7,45.1,53.4
Honduras,6.4,19.5,23.7,92.1,67.9,29.2,16.4,39.1,42.0,52.5
Hungary,30.8,68.5,38.5,85.9,85.5,56.5,17.3,45.7,81.0,69.6
Indonesia,10.1,49.3,35.3,93.2,66.1,26.6,11.6,52.7,54.3,64.6
Iran,20.0,21.4,42.6,80.9,71.2,45.8,7.3,24.7,52.8,14.5
Israel,28.9,30.2,38.6,68.5,83.7,65.2,8.2,50.2,76.9,79.1
Italy,37.9,72.5,35.4,79.6,94.3,70.1,12.0,38.2,83.1,87.8
Jamaica,16.5,64.5,3.7,91.8,67.6,40.6,4.9,49.3,52.7,76.4
Jordan,7.9,23.5,2.6,92.1,77.8,49.6,5.1,21.3,52.2,33.4
Kenya,7.3,22.7,25.4,91.4,35.1,25.5,22.4,60.0,38.9,53.4
Kuwait,18.5,0.0,12.7,9.7,89.4,43.9,21.9,52.5,47.2,29.8
Sri Lanka,14.6,20.8,37.4,96.4,69.0,39.8,16.2,38.0,53.7,51.6
Lithuania,27.0,72.9,35.7,63.6,85.5,57.2,13.7,52.0,71.6,86.5
Latvia,26.4,75.8,35.0,73.9,85.4,54.3,18.7,50.7,71.4,83.6
Morocco,11.8,39.9,30.1,92.3,65.1,40.6,4.5,31.5,51.8,33.9
Moldova,25.5,82.8,26.6,96.5,69.1,60.0,8.2,30.9,67.2,62.7
Mexico,20.7,67.3,31.1,91.0,78.2,44.5,9.3,47.0,60.4,57.9
Mongolia,17.0,67.4,31.7,80.1,58.9,33.6,9.2,46.2,60.6,79.3
Malaysia,22.6,44.8,33.9,75.0,72.7,46.5,8.1,56.1,62.2,56.9
Namibia,12.2,19.3,23.5,87.1,41.4,30.2,18.7,31.5,28.0,74.8
Niger,2.6,11.7,26.5,84.9,7.8,16.2,23.7,57.1,33.6,52.5
Nicaragua,8.1,0.0,26.4,93.1,57.9,38.0,17.2,47.1,44.6,33.2
