country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019,work_employment_2020_n,work_emptopop_2020_n,work_business_2019_n,work_taxes_2019_n,work_s
Afghanistan,41.5,36.7,44.1,71.4,20.22900763358779,11.068702290076345,34.50920245398773,29.905660377358494,23.928143188752593
Angola,69.6,68.5,41.3,49.1,73.85496183206106,71.7557251908397,30.214723926380366,19.38679245283019,48.80305085052783
Albania,52.7,49.4,67.7,36.6,41.60305343511451,35.30534351145038,70.70552147239265,13.49056603773585,40.27612111417335
UAE,76.9,78.6,80.8,15.9,87.78625954198475,91.03053435114504,90.79754601226996,3.7264150943396226,68.33518874993484
Argentina,49.4,49.6,59.0,106.0,35.30534351145038,35.68702290076337,57.361963190184056,46.22641509433962,43.64518617418435
Armenia,40.0,54.4,74.5,22.6,17.36641221374046,44.84732824427481,81.13496932515339,6.88679245283019,37.55887555899971
Australia,60.6,60.8,81.2,47.4,56.67938931297711,57.06106870229008,91.4110429447853,18.58490566037736,55.93410165510746
Austria,56.5,57.5,78.7,51.4,48.85496183206107,50.76335877862596,87.57668711656443,20.471698113207548,51.91667646011474
Azerbaijan,59.2,62.7,78.5,40.7,54.00763358778627,60.68702290076337,87.26993865030677,15.424528301886795,54.3472808601858
Burundi,78.2,77.7,46.8,41.2,90.2671755725191,89.31297709923665,38.65030674846626,15.660377358490567,58.47270919467814
Belgium,50.1,50.8,75.0,55.4,36.641221374045806,37.977099236641216,81.90184049079755,22.358490566037737,44.71966291688058
Benin,68.2,61.0,52.4,48.9,71.18320610687024,57.44274809160306,47.239263803680984,19.29245283018868,48.789417708085736
Burkina Faso,62.1,61.5,51.4,41.3,59.54198473282444,58.396946564885496,45.70552147239264,15.707547169811319,44.83799998497847
Bangladesh,52.8,55.0,45.0,33.4,41.79389312977099,45.99236641221374,35.88957055214725,11.981132075471699,33.91424054240092
Bulgaria,51.7,52.7,72.0,28.3,39.694656488549626,41.60305343511451,77.30061349693253,9.575471698113208,42.04344877967747
Bahrain,69.7,69.4,76.0,13.8,74.04580152671757,73.47328244274811,83.4355828220859,2.735849056603774,58.422628962038836
Bahamas,61.4,60.9,59.9,33.8,58.20610687022901,57.25190839694657,58.742331288343564,12.169811320754715,46.59253946906846
Bosnia and Herzegovina,38.5,39.7,65.4,23.7,14.503816793893133,16.793893129771,67.17791411042946,7.40566037735849,26.470321102863018
Belarus,59.8,60.7,74.3,53.3,55.152671755725194,56.8702290076336,80.82822085889572,21.367924528301888,53.5547615376391
Belize,56.5,56.3,55.5,31.1,48.85496183206107,48.47328244274809,51.993865030674854,10.89622641509434,40.05458393014459
Bolivia,62.9,64.2,51.7,83.7,61.06870229007634,63.5496183206107,46.16564417177915,35.70754716981132,51.622877988069376
Brazil,51.1,51.3,59.1,65.1,38.54961832061069,38.93129770992366,57.51533742331289,26.93396226415094,40.48255392949955
Barbados,53.8,54.3,57.9,35.6,43.70229007633588,44.656488549618324,55.674846625766875,13.018867924528301,39.263123294062346
Brunei,58.6,59.1,70.1,8.0,52.86259541984734,53.816793893129784,74.38650306748467,0.0,45.266473095115444
Bhutan,62.9,57.7,66.0,35.3,61.06870229007634,51.14503816793894,68.09815950920246,12.877358490566035,48.297314614445945
