country,total
Albania,49.705000000000005
UAE,48.279999999999994
Argentina,54.53
Armenia,50.715
Benin,30.955000000000002
Bangladesh,38.275000000000006
Bulgaria,51.03499999999999
Bahrain,45.73000000000001
Brazil,42.625
Botswana,39.550000000000004
Chile,48.08
China,44.405
"Congo, Dem. Rep.",28.265000000000004
Colombia,51.699999999999996
Costa Rica,56.260000000000005
Cyprus,60.010000000000005
Dominican Republic,46.06
Algeria,38.225
Ecuador,48.625
Spain,56.459999999999994
Estonia,59.64000000000001
Ethiopia,30.93
Georgia,52.294999999999995
Ghana,37.72
Greece,55.03
Guatemala,43.05
Honduras,37.22500000000001
Hungary,58.010000000000005
Indonesia,46.84499999999999
Iran,38.045
Israel,50.790000000000006
Italy,60.025000000000006
Jamaica,47.22
Jordan,34.78
Kenya,37.645
Kuwait,31.330000000000005
Sri Lanka,42.040000000000006
Lithuania,56.295
Latvia,57.335
Morocco,40.36
Moldova,53.364999999999995
Mexico,51.905
Mongolia,48.825
Malaysia,48.48
Namibia,33.635
Niger,30.61
Nicaragua,34.900000000000006
Nepal,39.845
Oman,40.714999999999996
Pakistan,32.115
Panama,43.919999999999995
Peru,41.24
Philippines,39.98500000000001
Poland,53.69500000000001
Portugal,59.87000000000001
Paraguay,42.495000000000005
Qatar,50.254999999999995
Romania,52.81500000000001
Senegal,33.395
Singapore,52.93500000000001
El Salvador,42.0
Serbia,51.87500000000001
Slovenia,61.215
Syria,32.045
Togo,34.06499999999999
Tunisia,39.015
Turkey,50.04
Tanzania,35.940000000000005
Ukraine,49.025
Uruguay,51.224999999999994
Venezuela,32.114999999999995
Vietnam,45.98
South Africa,39.885
Zambia,33.22500000000001
Zimbabwe,39.695
