country,com_fixed_2020,com_cell_2020,com_broad_2020,com_pcs_2005,com_fixed_2020_n,com_cell_2020_n,com_broad_2020_n,com_pcs_2005_n,com_s
Aruba,32.8,132.0,17.8,7.97,27.796610169491522,28.571428571428573,31.504424778761063,8.964817320703652,24.2093202100962
Afghanistan,0.374,58.2,0.0682,0.28,0.3169491525423729,9.811896288764617,0.1207079646017699,0.29318899413622007,2.6356856000112447
Angola,0.356,43.8,0.364,0.59,0.3016949152542373,6.151499745805795,0.6442477876106194,0.6427604871447902,1.9350507339538605
Albania,7.79,91.4,17.8,1.73,6.601694915254237,18.251143873919677,31.504424778761063,1.9282814614343706,14.571386257342338
UAE,25.6,198.0,34.9,23.4,21.694915254237287,45.34824605998983,61.769911504424776,26.36445647271087,38.79438232284069
Argentina,16.3,122.0,21.3,9.03,13.813559322033898,26.02948652770717,37.69911504424779,10.160126296797474,21.925571797696584
Armenia,15.2,124.0,15.3,9.85,12.88135593220339,26.537874936451452,27.079646017699115,11.084799278304013,19.395919041164493
Antigua and Barbuda,29.1,199.0,8.63,14.8,24.661016949152543,45.602440264361974,15.274336283185843,16.666666666666664,25.551115040841758
Australia,21.3,105.0,35.4,,18.050847457627118,21.708185053380785,62.65486725663717,,25.603474941911266
Austria,42.5,120.0,29.3,61.0,36.016949152542374,25.52109811896289,51.85840707964602,68.76409562471808,45.540137493967336
Azerbaijan,16.1,101.0,19.4,2.31,13.644067796610171,20.691408235892226,34.336283185840706,2.582318448353631,17.813519416674186
Burundi,0.15,54.3,0.0346,0.73,0.1271186440677966,8.820538891713268,0.061238938053097346,0.8006314839873703,2.452381989455383
Belgium,31.4,99.7,40.9,38.0,26.610169491525422,20.360955770208438,72.38938053097345,42.82814614343707,40.54716298403609
Benin,0.256,88.1,0.237,0.38,0.2169491525423729,17.41230299949161,0.4194690265486726,0.40595399188092013,4.613668792615894
Burkina Faso,0.349,103.0,0.0649,0.6,0.2957627118644068,21.199796644636503,0.11486725663716814,0.6540369869192602,5.566115900014334
Bangladesh,0.83,105.0,6.0,1.59,0.7033898305084746,21.708185053380785,10.619469026548673,1.7704104645917906,8.70036359375743
Bulgaria,12.5,114.0,30.3,,10.59322033898305,23.995932892730046,53.6283185840708,,22.054367953945974
Bahrain,18.6,120.0,10.2,17.6,15.762711864406782,25.52109811896289,18.05309734513274,19.824086603518268,19.790248483005172
Bahamas,22.4,115.0,20.4,12.4,18.983050847457626,24.250127097102187,36.10619469026548,13.960306720793865,23.32491983890479
Bosnia and Herzegovina,21.3,106.0,23.2,5.43,18.050847457627118,21.962379257752925,41.06194690265487,6.100586377988272,21.793939999005794
Belarus,45.7,121.0,33.8,0.81,38.728813559322035,25.77529232333503,59.82300884955752,0.8908434821831303,31.304489553599424
Belize,4.81,66.8,9.12,15.2,4.076271186440677,11.997966446365023,16.14159292035398,17.117726657645466,12.333389302701285
Bermuda,39.0,106.0,35.9,,33.05084745762712,21.962379257752925,63.53982300884956,,29.6382624310574
Bolivia,5.01,98.9,7.81,2.4,4.245762711864407,20.15760040671073,13.823008849557523,2.6838069463238607,10.22754472861413
Brazil,14.4,96.5,17.0,16.1,12.203389830508474,19.547534316217593,30.088495575221238,18.132611637347768,19.99300783982377
Barbados,45.6,105.0,45.6,14.8,38.644067796610166,21.708185053380785,80.70796460176992,16.666666666666664,39.431721029606884
Brunei,23.5,121.0,16.1,8.83,19.915254237288135,25.77529232333503,28.49557522123894,9.934596301308073,21.030179520792544
Bhutan,2.98,96.5,0.413,0.6,2.5254237288135593,19.547534316217593,0.7309734513274336,0.6540369869192602,5.864492120819461
Botswana,5.5,150.0,3.33,4.87,4.661016949152542,33.1469242501271,5.893805309734513,5.469102390617953,12.292712224908026
Central African Republic,0.0374,34.3,,0.3,0.03169491525423729,3.7366548042704615,,0.31574199368516004,1.0210229283024648
Canada,35.2,85.4,41.1,87.7,29.830508474576273,16.725978647686837,72.7433628318584,98.872350022553,54.543049994168626
Switzerland,35.5,127.0,46.5,88.7,30.084745762711865,27.30045754956787,82.30088495575221,99.99999999999999,59.921522067007984
Chile,13.3,130.0,19.5,14.1,11.271186440677965,28.063040162684292,34.51327433628319,15.877311682453765,22.431203155524802
China,12.8,121.0,33.9,4.83,10.847457627118644,25.77529232333503,60.0,5.423996391520072,25.51168658549344
Cote d'Ivoire,0.984,150.0,0.975,1.78,0.8338983050847458,33.1469242501271,1.7256637168141593,1.9846639603067207,9.422787558083181
Cameroon,3.64,84.4,2.73,1.23,3.0847457627118646,16.471784443314696,4.831858407079646,1.3644564727108703,6.43821127145427
"Congo, Dem. Rep.",0.0,43.9,0.0334,0.02,0.0,6.1769191662430085,0.05911504424778761,0.0,1.559008552622699
"Congo, Rep.",0.298,98.5,,0.48,0.2525423728813559,20.055922724961874,,0.5187189896256201,5.206796021867212
Colombia,14.2,133.0,15.2,4.15,12.033898305084746,28.825622775800714,26.902654867256636,4.657194406856112,18.104842588749552
Comoros,0.939,97.0,0.147,0.68,0.7957627118644067,19.674631418403663,0.26017699115044246,0.7442489851150202,5.368705026633383
Cape Verde,9.9,93.5,4.26,10.8,8.389830508474576,18.78495170310117,7.539823008849558,12.156066756878664,11.717667994325993
Costa Rica,10.9,147.0,19.4,23.1,9.23728813559322,32.38434163701068,34.336283185840706,26.02616147947677,25.496018609480345
Cuba,13.3,59.0,2.05,3.35,11.271186440677965,10.015251652262329,3.628318584070796,3.755074424898511,7.1674577754774
Cyprus,35.1,140.0,37.4,33.4,29.74576271186441,30.604982206405694,66.19469026548673,37.64095624718087,41.046597857734426
Czech Republic,12.7,123.0,36.5,27.4,10.76271186440678,26.28368073207931,64.60176991150442,30.87505638249887,33.130804722622344
Germany,46.1,129.0,43.5,60.5,39.067796610169495,27.80884595831215,76.99115044247787,68.20027063599458,53.017015911738525
Djibouti,3.57,39.8,2.3,2.4,3.0254237288135593,5.134722928317234,4.07079646017699,2.6838069463238607,3.7286875159079114
Dominica,8.84,104.0,25.4,,7.491525423728813,21.453990849008644,44.95575221238938,,18.47531712128171
Denmark,12.6,124.0,44.5,69.5,10.677966101694915,26.537874936451452,78.76106194690266,78.34912043301759,48.58150585451665
Dominican Republic,10.5,81.7,9.38,2.31,8.898305084745763,15.785460091509915,16.601769911504427,2.582318448353631,10.966963384028434
Algeria,11.0,105.0,8.72,1.07,9.322033898305085,21.708185053380785,15.433628318584073,1.1840324763193504,11.911969936647322
Ecuador,11.7,88.0,13.5,6.55,9.915254237288135,17.386883579054402,23.893805309734514,7.3635543527289125,14.639874369701491
Egypt,9.17,88.7,8.69,3.65,7.771186440677966,17.564819522114895,15.380530973451327,4.093369418132611,11.2024765885942
Eritrea,1.86,50.6,0.141,0.57,1.576271186440678,7.88002033553635,0.24955752212389376,0.6202074875958501,2.581514132924193
Spain,41.1,117.0,34.2,27.9,34.83050847457627,24.758515505846468,60.53097345132744,31.43888137122237,37.889719700743136
Estonia,22.9,145.0,34.3,48.9,19.406779661016948,31.875953228266397,60.7079646017699,55.11953089760938,41.777557097165655
Ethiopia,0.853,38.0,0.181,0.39,0.7228813559322034,4.677173360447381,0.3203539823008849,0.4172304916553901,1.5344097975839648
Finland,4.07,129.0,33.4,50.0,3.4491525423728815,27.80884595831215,59.11504424778761,56.35994587280108,36.683247155318426
Fiji,5.27,108.0,2.51,5.9,4.466101694915254,22.470767666497206,4.442477876106194,6.630581867388363,9.502482276226756
France,58.6,113.0,47.5,57.9,49.66101694915254,23.741738688357906,84.070796460177,65.26838069463238,55.68548319807996
Faeroe Islands,29.3,113.0,35.2,,24.83050847457627,23.741738688357906,62.300884955752224,,27.7182830296716
"Micronesia, Fed. Sts.",6.24,19.6,5.35,5.43,5.288135593220339,0.0,9.469026548672566,6.100586377988272,5.214437129970294
Gabon,1.11,133.0,1.95,3.25,0.9406779661016951,28.825622775800714,3.4513274336283186,3.642309427153811,9.214984400671135
UK,48.8,118.0,40.8,76.5,41.355932203389834,25.01270971021861,72.21238938053096,86.2426702751466,56.2059253923215
Georgia,10.3,135.0,25.7,4.7,8.728813559322035,29.334011184544995,45.48672566371681,5.2774018944519625,22.20673807550895
Ghana,0.956,126.0,0.244,0.58,0.8101694915254237,27.04626334519573,0.431858407079646,0.6314839873703201,7.22994380779278
