country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Albania,2.19,2.99,4.2,14.025,7.5,4.010000000000001,1.335,4.03,6.2,3.3049999999999997
UAE,5.819999999999999,1.095,7.56,3.945,8.370000000000001,4.84,0.82,6.83,8.35,1.3
Argentina,3.2849999999999997,3.515,5.294999999999999,13.424999999999999,8.22,5.98,0.485,4.36,6.3100000000000005,3.6750000000000003
Armenia,2.9099999999999997,3.365,4.125,14.205,7.6000000000000005,5.03,0.8500000000000001,3.7600000000000002,6.29,2.595
Benin,0.69,0.41500000000000004,4.2299999999999995,13.485000000000001,2.3600000000000003,1.74,0.68,4.88,3.2,2.7800000000000002
Bangladesh,1.305,1.42,4.71,13.95,6.03,3.19,0.47000000000000003,3.39,5.0200000000000005,2.07
Bulgaria,3.315,2.9000000000000004,5.055000000000001,13.005,7.93,3.9600000000000004,1.145,4.2,5.82,3.8000000000000003
Bahrain,2.97,1.09,6.885,9.885,8.88,4.25,0.8500000000000001,5.84,6.940000000000001,0.755
Brazil,3.0,0.51,4.2299999999999995,13.424999999999999,7.620000000000001,5.5,1.1050000000000002,4.05,5.33,3.44
Botswana,1.845,1.9100000000000001,4.905,11.19,6.03,2.9600000000000004,0.485,4.05,3.3600000000000003,3.815
Chile,3.36,1.31,5.04,13.23,7.95,5.9,0.655,4.08,6.28,4.655
China,3.8249999999999997,0.8550000000000001,6.165,11.37,6.96,5.2,0.55,5.760000000000001,6.68,0.895
"Congo, Dem. Rep.",0.24,1.045,4.29,13.275,0.5700000000000001,2.52,1.435,3.8700000000000006,2.77,1.335
Colombia,2.7150000000000003,3.4299999999999997,4.26,14.04,7.26,5.5,1.085,4.7299999999999995,4.93,3.375
Costa Rica,3.8249999999999997,3.7200000000000006,4.545,14.055,7.840000000000001,6.38,0.945,4.29,5.93,4.53
Cyprus,6.1499999999999995,3.975,5.385,10.110000000000001,9.26,5.79,0.435,4.78,7.340000000000001,4.5
Dominican Republic,1.65,2.3350000000000004,4.74,13.889999999999999,7.240000000000001,4.3,0.335,4.39,5.57,3.1050000000000004
Algeria,1.785,1.035,5.7749999999999995,13.62,6.88,4.09,0.38,2.09,6.210000000000001,1.75
Ecuador,2.19,3.09,4.515,13.964999999999998,7.08,5.48,0.7000000000000001,4.24,4.79,3.17
Spain,5.685,2.195,5.31,11.714999999999998,9.22,6.990000000000001,0.9800000000000001,4.2,8.340000000000002,4.5
Estonia,6.27,3.53,6.09,8.775,8.74,5.73,0.925,5.390000000000001,7.6000000000000005,4.655
Ethiopia,0.22499999999999998,0.41500000000000004,4.8,13.35,1.5,2.08,1.32,5.61,3.5700000000000003,1.51
Georgia,3.3299999999999996,3.0100000000000002,4.125,13.98,7.23,6.34,0.8050000000000002,4.8100000000000005,6.25,3.1950000000000003
Ghana,1.08,0.79,4.2,13.799999999999999,4.38,2.44,0.8050000000000002,5.24,4.3100000000000005,3.6950000000000003
Greece,5.3999999999999995,3.565,4.35,11.069999999999999,7.790000000000001,7.240000000000001,0.5700000000000001,3.4200000000000004,7.6000000000000005,3.9450000000000003
Guatemala,1.6649999999999998,2.355,3.51,13.844999999999999,6.590000000000001,3.3700000000000006,1.04,4.170000000000001,4.510000000000001,2.67
Honduras,0.96,0.9750000000000001,3.5549999999999997,13.815,6.790000000000001,2.92,0.82,3.91,4.2,2.625
Hungary,4.62,3.4250000000000003,5.7749999999999995,12.885,8.55,5.65,0.86,4.57,8.1,3.48
Indonesia,1.515,2.465,5.294999999999999,13.98,6.609999999999999,2.66,0.5750000000000001,5.2700000000000005,5.43,3.23
Iran,3.0,1.07,6.39,12.135,7.120000000000001,4.58,0.365,2.47,5.28,0.7250000000000001
Israel,4.335,1.51,5.79,10.275,8.370000000000001,6.5200000000000005,0.41,5.0200000000000005,7.690000000000001,3.955
Italy,5.685,3.625,5.31,11.94,9.43,7.01,0.5950000000000001,3.8200000000000003,8.31,4.39
Jamaica,2.475,3.225,0.555,13.77,6.76,4.0600000000000005,0.24,4.93,5.2700000000000005,3.8200000000000003
Jordan,1.185,1.175,0.39,13.815,7.78,4.960000000000001,0.25,2.1300000000000003,5.220000000000001,1.67
Kenya,1.095,1.135,3.8099999999999996,13.71,3.5100000000000002,2.5500000000000003,1.115,6.0,3.89,2.67
Kuwait,2.775,0.0,1.9049999999999998,1.4549999999999998,8.940000000000001,4.39,1.095,5.25,4.720000000000001,1.4900000000000002
Sri Lanka,2.19,1.04,5.609999999999999,14.46,6.9,3.98,0.81,3.8000000000000003,5.370000000000001,2.58
Lithuania,4.05,3.6450000000000005,5.355,9.54,8.55,5.720000000000001,0.68,5.2,7.16,4.325
Latvia,3.9599999999999995,3.79,5.25,11.085,8.540000000000001,5.43,0.935,5.07,7.140000000000001,4.18
Morocco,1.77,1.995,4.515,13.844999999999999,6.51,4.0600000000000005,0.225,3.1500000000000004,5.18,1.695
Moldova,3.8249999999999997,4.14,3.99,14.475,6.91,6.0,0.405,3.09,6.720000000000001,3.1350000000000002
Mexico,3.105,3.365,4.665,13.65,7.82,4.45,0.45999999999999996,4.7,6.04,2.895
Mongolia,2.55,3.3700000000000006,4.755,12.014999999999999,5.890000000000001,3.3600000000000003,0.45999999999999996,4.62,6.0600000000000005,3.965
Malaysia,3.39,2.2399999999999998,5.085,11.25,7.2700000000000005,4.65,0.4,5.61,6.220000000000001,2.845
Namibia,1.8299999999999998,0.9650000000000001,3.525,13.065,4.14,3.02,0.9300000000000002,3.1500000000000004,2.8000000000000003,3.74
Niger,0.39,0.585,3.9749999999999996,12.735000000000001,0.78,1.62,1.185,5.710000000000001,3.3600000000000003,2.625
Nicaragua,1.2149999999999999,0.0,3.9599999999999995,13.964999999999998,5.79,3.8000000000000003,0.86,4.71,4.46,1.6600000000000001
Nepal,1.44,1.2750000000000001,3.84,13.65,5.760000000000001,3.39,1.215,4.220000000000001,5.120000000000001,2.8000000000000003
Oman,2.5349999999999997,0.8400000000000001,5.955,11.4,7.76,3.83,0.71,5.220000000000001,4.58,1.295
Pakistan,0.66,0.13,3.5999999999999996,13.38,5.91,2.12,0.81,3.4299999999999997,4.62,2.195
Panama,2.865,1.59,1.17,13.725,7.090000000000001,5.48,0.675,4.39,5.550000000000001,3.7100000000000004
Peru,2.1149999999999998,0.27,4.29,14.16,6.5,4.15,0.76,5.170000000000001,5.63,3.29
