country,total
Albania,49.785000000000004
UAE,48.92999999999999
Argentina,54.55
Armenia,50.73
Benin,34.459999999999994
Bangladesh,41.555
Bulgaria,51.13
Bahrain,48.345000000000006
Brazil,48.20999999999999
Botswana,40.55
Chile,52.46
China,48.26
"Congo, Dem. Rep.",31.35
Colombia,51.324999999999996
Costa Rica,56.06
Cyprus,57.72500000000001
Dominican Republic,47.55500000000001
Algeria,43.615
Ecuador,49.22
Spain,59.135
Estonia,57.705000000000005
Ethiopia,34.379999999999995
Georgia,53.075
Ghana,40.74
Greece,54.95
Guatemala,43.725
Honduras,40.57000000000001
Hungary,57.91499999999999
Indonesia,47.03
Iran,43.135000000000005
Israel,53.875
Italy,60.114999999999995
Jamaica,45.105000000000004
Jordan,38.575
Kenya,39.485
Kuwait,32.02
Sri Lanka,46.739999999999995
Lithuania,54.22500000000001
Latvia,55.38
Morocco,42.945
Moldova,52.690000000000005
Mexico,51.15000000000001
Mongolia,47.045
Malaysia,48.959999999999994
Namibia,37.165
Niger,32.965
Nicaragua,40.42
Nepal,42.709999999999994
Oman,44.125
Pakistan,36.855
Panama,46.245
Peru,46.335
Philippines,43.50000000000001
Poland,54.11500000000001
Portugal,59.91000000000001
Paraguay,46.67999999999999
Qatar,50.065
Romania,53.470000000000006
Senegal,37.52
Singapore,53.89500000000002
El Salvador,45.72
Serbia,50.62
Slovenia,60.235
Syria,34.160000000000004
Togo,35.6
Tunisia,43.589999999999996
Turkey,50.795
Tanzania,37.96
Ukraine,49.019999999999996
Uruguay,54.235
Venezuela,36.80499999999999
Vietnam,47.36
South Africa,42.03000000000001
Zambia,37.1
Zimbabwe,39.6
