country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n
Afghanistan,1430.0,,11.5,-25.9,0.9030048,,18.860441,43.11491
Angola,5910.0,16.3,26.5,10.7,4.777968,7.7077217,45.90696,77.87274
Albania,15500.0,9.87,23.0,-14.5,13.072811,5.321557,39.596107,53.941124
UAE,74300.0,13.2,22.8,25.3,63.931705,6.5573163,39.23548,91.7379
Argentina,22400.0,69.5,14.4,3.01,19.040947,27.45018,24.089434,70.5698
Armenia,16000.0,7.99,19.7,-9.96,13.505285,4.623891,33.64587,58.252613
Australia,51000.0,7.12,22.3,3.79,43.778435,4.3010354,38.33393,71.31055
Austria,56300.0,5.3,25.6,3.46,48.362656,3.6256356,44.284172,70.99715
Azerbaijan,15000.0,37.2,23.7,-0.771,12.640338,15.463688,40.858276,66.9791
Burundi,708.0,18.3,11.4,-17.7,0.27851298,8.44992,18.68013,50.902184
Belgium,53200.0,5.89,24.2,2.0,45.68132,3.8445837,41.759827,69.61064
Benin,3440.0,4.14,25.6,-5.09,2.6415486,3.1951606,44.284172,62.877495
Burkina Faso,2160.0,5.89,16.8,2.85,1.5344162,3.8445837,28.416876,70.417854
Bangladesh,6260.0,5.05,31.3,-5.39,5.0806994,3.532861,54.561844,62.592594
Bulgaria,26800.0,16.2,20.3,1.93,22.846714,7.670613,34.72773,69.54416
Bahrain,51900.0,7.73,35.1,5.64,44.55689,4.5274057,61.413628,73.06742
Bahamas,34200.0,-2.17,24.5,-9.75,29.247322,0.8535272,42.30076,58.452045
Bosnia and Herzegovina,16700.0,11.8,23.1,-13.7,14.110748,6.037778,39.77642,54.70085
Belarus,19100.0,13.5,27.5,3.09,16.18662,6.6686454,47.710064,70.645775
Belize,9700.0,7.36,18.5,-6.37,8.056118,4.390099,31.482147,61.661915
Bolivia,8200.0,5.12,15.8,-4.96,6.758697,3.5588377,26.613775,63.000954
Brazil,15100.0,8.28,16.1,0.605,12.726832,4.73151,27.154707,68.28585
Barbados,15100.0,3.99,17.9,-6.39,12.726832,3.139496,30.40029,61.64293
Brunei,58700.0,24.2,40.6,4.42,50.43853,10.639403,71.33069,71.90883
Bhutan,11300.0,,39.1,-15.7,9.440033,,68.62603,52.801517
Botswana,15500.0,14.6,32.7,-15.1,13.072811,7.0768547,57.08619,53.371323
Central African Republic,819.0,5.97,26.0,-19.2,0.37452212,3.8742716,45.00541,49.47768
Canada,49000.0,7.19,22.3,-2.24,42.048542,4.327012,38.33393,65.584045
Switzerland,71000.0,2.5,29.6,6.41,61.077377,2.5865588,51.49658,73.798676
Chile,25900.0,6.64,21.1,4.47,22.068262,4.122908,36.170216,71.956314
China,18200.0,2.25,43.4,2.42,15.408169,2.4937842,76.37937,70.00949
Cote d'Ivoire,5540.0,2.75,19.8,0.908,4.4579377,2.6793334,33.82618,68.57359
Cameroon,3730.0,5.34,17.7,-3.27,2.8923833,3.6404793,30.039669,64.60589
"Congo, Dem. Rep.",1130.0,8.45,24.6,-1.28,0.64352065,4.7945967,42.48107,66.49573
"Congo, Rep.",3210.0,18.3,23.7,12.1,2.4426107,8.44992,40.858276,79.20228
Colombia,15700.0,14.3,19.1,-7.07,13.245801,6.9655247,32.564014,60.997154
Comoros,3250.0,5.16,11.8,-22.4,2.4772086,3.5736814,19.401371,46.438744
Cape Verde,7690.0,7.74,29.0,-27.8,6.317574,4.531116,50.414715,41.310543
Costa Rica,22000.0,6.28,16.2,3.67,18.694967,3.9893124,27.335018,71.19658
Cuba,10600.0,14.2,9.88,0.654,8.83457,6.928415,15.939416,68.33238
Cyprus,43600.0,6.07,21.0,-1.37,37.377827,3.9113815,35.989902,66.410255
Czech Republic,41700.0,8.53,26.2,6.75,35.73443,4.8242846,45.36603,74.12156
Germany,53600.0,5.27,22.0,5.81,46.027298,3.6145024,37.793003,73.22887
