country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020
Angola,541,-541,2.55,61.0
Albania,808,13.8,24.5,44.6
UAE,7980,-184,0.0969,0.92
Argentina,2030,13,5.5,9.84
Armenia,1020,71.3,25.7,8.38
Australia,5330,-192,2.37,10.9
Austria,3760,62.4,13.2,35.8
Azerbaijan,1500,-310,0.572,1.23
Belgium,4710,76.3,18.6,12.3
Benin,404,46.6,0,46.2
Bangladesh,227,16.8,0.153,28.0
Bulgaria,2480,36.6,25.8,21.1
Bahrain,10.8k,-61.6,0,0.0
Bosnia and Herzegovina,2190,22.7,4.27,37.7
Belarus,2940,86.8,0.0539,8.39
Bolivia,763,-178,1.97,16.9
Brazil,1490,11.9,10.8,50.0
Brunei,8530,-357,0.00484,0.01
Botswana,1200,44.5,0.00317,27.2
Canada,7900,-67.9,19.7,23.9
Switzerland,3060,47.1,42.4,26.4
Chile,2040,64.2,5.65,26.7
China,2220,15,5.11,14.8
Cote d'Ivoire,603,7.08,0.795,63.3
Cameroon,341,-28.3,4.6,78.9
"Congo, Dem. Rep.",378,1.96,2.36,96.2
"Congo, Rep.",531,-497,1.43,71.9
Colombia,729,-274,9.2,31.3
Costa Rica,1010,49.8,14.2,36.4
Cuba,1030,49.8,0.0854,23.9
Cyprus,1680,94,5.23,15.0
Czech Republic,3920,29,20.8,17.0
Germany,3780,60.9,13,18.6
Denmark,2870,0.944,9.89,39.7
Dominican Republic,743,86.7,2.34,16.7
Algeria,1330,-177,0.0301,0.15
Ecuador,889,-115,6.21,20.1
Egypt,783,-7.39,1.5,6.51
Eritrea,245,22.3,0.0211,80.9
Spain,2460,69.4,21.6,19.4
Estonia,4590,3.4,0.618,40.0
Ethiopia,485,5.93,1.18,89.5
Finland,6210,46.2,23.2,47.5
France,3660,43.5,49.6,16.9
Gabon,2580,-213,1.21,90.1
UK,2780,39.7,11.6,13.5
Georgia,1180,68.8,15.7,23.4
Ghana,320,-8.19,5.87,40.3
Gibraltar,6040,100,0,0.0
Greece,2120,62,5.42,20.1
Guatemala,864,32.8,2.57,65.5
"Hong Kong, China",1970,98.7,0.0705,0.27
Honduras,587,53,3.33,50.1
Croatia,1900,45.9,11.9,32.4
