country,gov_dem_2011,gov_cli_2022,gov_pri_2022,gov_cpi_2017
Afghanistan,,7,7,15.0
Angola,-2,5,6,19.0
Albania,9,3,3,38.0
UAE,-8,6,7,71.0
Argentina,8,2,2,39.0
Armenia,5,4,4,35.0
Australia,10,1,1,77.0
Austria,10,1,1,75.0
Azerbaijan,-7,7,7,31.0
Burundi,6,6,7,22.0
Belgium,8,1,1,75.0
Benin,7,3,5,39.0
Burkina Faso,0,4,7,42.0
Bangladesh,5,5,5,28.0
Bulgaria,9,2,2,43.0
Bahrain,-8,6,7,36.0
Bosnia and Herzegovina,,4,4,38.0
Belarus,-7,7,7,44.0
Bolivia,7,3,3,33.0
Brazil,8,3,2,37.0
Bhutan,3,4,3,67.0
Botswana,8,2,3,61.0
Central African Republic,-1,7,7,23.0
Canada,10,1,1,82.0
Switzerland,10,1,1,85.0
Chile,10,1,1,67.0
China,-7,6,7,41.0
Cote d'Ivoire,0,4,4,36.0
Cameroon,-4,6,6,25.0
"Congo, Dem. Rep.",5,6,7,21.0
"Congo, Rep.",-4,6,7,21.0
Colombia,7,3,2,37.0
Comoros,9,4,5,27.0
Cape Verde,10,1,1,55.0
Costa Rica,10,1,1,59.0
Cuba,-7,6,7,47.0
Cyprus,10,1,1,57.0
Czech Republic,8,1,1,57.0
Germany,10,1,1,81.0
Djibouti,2,5,7,31.0
Denmark,10,1,1,88.0
Dominican Republic,8,3,3,29.0
Algeria,2,5,6,33.0
Ecuador,5,3,2,32.0
Egypt,-2,6,6,32.0
Eritrea,-7,7,7,20.0
Spain,10,1,1,57.0
Estonia,9,1,1,71.0
Ethiopia,1,6,6,35.0
Finland,10,1,1,85.0
France,9,2,1,70.0
Gabon,3,5,7,32.0
UK,10,1,1,82.0
Georgia,6,3,4,56.0
Ghana,8,2,2,40.0
Guinea,5,5,6,27.0
Gambia,-5,4,4,30.0
Guinea-Bissau,6,4,5,17.0
Equatorial Guinea,-5,7,7,17.0
Greece,10,2,2,48.0
Guatemala,8,4,4,28.0
Guyana,6,3,2,38.0
Honduras,7,4,4,29.0
Croatia,9,2,2,49.0
Haiti,0,5,6,22.0
Hungary,10,3,3,45.0
Indonesia,8,4,2,37.0
India,9,4,2,40.0
Ireland,10,1,1,74.0
Iran,-7,6,7,30.0
Iraq,3,6,5,18.0
Israel,10,3,2,62.0
Italy,10,1,1,50.0
Jamaica,9,2,2,44.0
Jordan,-3,5,6,48.0
Japan,10,1,1,73.0
Kazakhstan,-6,5,7,31.0
Kenya,8,4,4,28.0
Kyrgyz Republic,7,5,7,29.0
Cambodia,2,5,7,21.0
South Korea,8,2,2,54.0
Kuwait,-7,5,5,39.0
Lao,-7,6,7,29.0
Lebanon,7,4,5,28.0
Liberia,6,4,3,31.0
Libya,0,6,7,17.0
Sri Lanka,4,4,4,38.0
Lesotho,8,3,2,42.0
Lithuania,10,2,1,59.0
Latvia,8,2,1,58.0
Morocco,-4,5,5,40.0
Moldova,8,3,3,31.0
Madagascar,0,4,3,24.0
Mexico,8,4,3,29.0
North Macedonia,9,3,3,35.0
Mali,7,5,6,31.0
Myanmar,-3,6,7,30.0
Montenegro,9,3,3,46.0
Mongolia,10,2,1,36.0
Mozambique,5,4,5,25.0
Mauritania,-2,5,5,28.0
Mauritius,10,2,2,50.0
Malawi,6,3,3,31.0
Malaysia,6,4,4,47.0
Namibia,6,2,2,51.0
Niger,6,4,4,33.0
Nigeria,4,5,4,27.0
Nicaragua,9,6,7,26.0
Netherlands,10,1,1,82.0
Norway,10,1,1,85.0
Nepal,6,4,3,31.0
New Zealand,10,1,1,89.0
Oman,-8,5,6,44.0
Pakistan,6,5,5,32.0
Panama,9,2,2,37.0
Peru,9,3,3,37.0
Philippines,8,4,3,34.0
Papua New Guinea,4,3,4,29.0
Poland,10,2,2,60.0
North Korea,-10,7,7,17.0
Portugal,10,1,1,63.0
Paraguay,8,3,3,29.0
Qatar,-10,5,6,63.0
Romania,9,2,2,48.0
Russia,4,6,7,29.0
Rwanda,-4,6,6,55.0
Saudi Arabia,-10,7,7,49.0
Sudan,-2,6,7,16.0
Senegal,7,3,3,45.0
Singapore,-2,4,4,84.0
Solomon Islands,8,2,3,39.0
Sierra Leone,7,3,3,30.0
El Salvador,8,4,3,33.0
Somalia,0,7,7,9.0
Serbia,8,3,4,41.0
South Sudan,0,7,7,12.0
Suriname,5,2,2,41.0
Slovak Republic,10,1,1,50.0
Slovenia,10,1,1,61.0
Sweden,10,1,1,84.0
Eswatini,-9,6,7,39.0
Syria,-7,7,7,14.0
Chad,-2,6,7,20.0
Togo,-2,4,5,32.0
Thailand,7,5,6,37.0
Tajikistan,-3,7,7,21.0
Turkmenistan,-9,7,7,19.0
Timor-Leste,7,3,2,38.0
Trinidad and Tobago,10,2,2,41.0
Tunisia,,3,4,42.0
Turkey,9,6,5,40.0
Taiwan,10,1,1,63.0
Tanzania,-1,5,5,36.0
Uganda,-1,5,6,26.0
Ukraine,6,4,4,30.0
Uruguay,10,1,1,70.0
USA,10,2,2,75.0
Uzbekistan,-9,6,7,22.0
Venezuela,-3,6,7,18.0
Vietnam,-7,6,7,35.0
Yemen,-2,6,7,16.0
South Africa,9,2,2,43.0
Zambia,7,4,4,37.0
Zimbabwe,1,5,6,22.0
