country,health_life_2022,health_doc_2017,health_spending_2010,health_uhc_2021
Afghanistan,62.6,0.245,7.58,41
Angola,64.5,0.212,2.85,37
Albania,76.1,,6.55,64
Andorra,82.7,,7.52,79
UAE,73.4,2.55,3.66,82
Argentina,75.4,3.98,8.1,79
Armenia,73.7,4.55,4.4,68
Antigua and Barbuda,76.8,2.9,6.03,76
Australia,83.4,3.68,8.73,87
Austria,82.7,5.18,11.0,85
Azerbaijan,71.4,3.16,5.88,66
Burundi,63.5,0.097,11.6,41
Belgium,81.9,3.08,10.7,86
Benin,64.0,,4.1,38
Burkina Faso,61.4,0.082,6.74,40
Bangladesh,75.5,0.536,3.52,52
Bulgaria,69.9,,6.87,73
Bahrain,76.3,,4.97,76
Bahamas,76.6,1.85,7.89,77
Bosnia and Herzegovina,75.0,,11.1,66
Belarus,73.0,4.33,5.61,79
Belize,71.5,1.13,5.2,68
Bolivia,68.9,1.01,4.84,65
Brazil,73.9,2.16,9.01,80
Barbados,76.6,2.55,7.97,77
Brunei,74.2,1.59,2.84,78
Bhutan,74.0,0.31,5.2,60
Botswana,62.7,,8.3,55
Central African Republic,51.8,,3.98,32
Canada,82.7,2.61,11.3,91
Switzerland,84.5,4.3,11.5,86
Chile,79.3,2.46,7.96,82
China,78.2,2.01,5.07,81
Cote d'Ivoire,63.8,,5.3,43
Cameroon,62.7,,5.13,44
"Congo, Dem. Rep.",64.5,,7.91,42
"Congo, Rep.",65.8,,2.46,41
Colombia,77.0,2.13,7.59,80
Comoros,68.3,,4.51,48
Cape Verde,72.5,,4.09,71
Costa Rica,78.0,3.0,10.9,81
Cuba,79.2,8.3,10.6,83
Cyprus,81.3,2.75,5.97,81
Czech Republic,78.3,4.07,7.88,84
Germany,80.6,4.25,11.6,88
Djibouti,66.6,,7.24,44
Dominica,71.8,1.14,7.42,49
Denmark,81.6,4.13,11.4,82
Dominican Republic,73.8,,6.22,77
Algeria,76.8,,4.17,74
Ecuador,77.0,2.23,8.06,77
Egypt,69.8,0.757,4.66,70
Eritrea,63.1,0.066,2.66,45
Spain,83.5,3.88,9.54,85
Estonia,78.5,3.47,6.03,79
Ethiopia,68.6,,4.9,35
Finland,82.3,3.46,8.95,86
Fiji,68.8,,4.86,58
France,83.4,3.27,11.9,85
"Micronesia, Fed. Sts.",64.0,,14.2,48
Gabon,66.9,0.658,3.5,49
UK,81.5,2.81,9.64,88
Georgia,71.5,6.51,10.1,68
Ghana,65.5,0.089,5.22,48
Guinea,60.5,,4.93,40
Gambia,65.8,0.097,5.69,46
Guinea-Bissau,59.9,,8.5,37
Equatorial Guinea,65.5,0.35,4.48,46
Greece,80.3,6.1,10.3,77
Grenada,73.8,1.29,5.86,70
Guatemala,68.2,0.286,6.85,59
Guyana,64.3,,5.38,76
Honduras,69.9,0.303,,64
Croatia,79.2,3.31,7.76,80
Haiti,63.3,,6.91,54
Hungary,75.1,3.33,7.33,79
Indonesia,69.1,0.377,2.61,55
India,67.6,,4.05,63
Ireland,82.5,3.28,9.19,83
Iran,76.2,1.08,5.6,74
Iraq,73.0,0.794,8.41,59
Iceland,84.5,3.87,9.4,89
Israel,82.8,3.45,7.63,85
Italy,83.6,4.03,9.53,84
Jamaica,75.0,,4.81,74
Jordan,76.3,2.23,8.04,65
Japan,85.2,,9.49,83
Kazakhstan,69.8,3.94,4.29,80
Kenya,65.6,,4.75,53
Kyrgyz Republic,72.7,,6.18,69
Cambodia,69.1,,5.68,58
Kiribati,61.2,,11.3,48
St. Kitts and Nevis,72.6,,6.66,79
South Korea,83.3,2.34,6.93,89
Kuwait,82.1,,2.63,78
Lao,69.8,0.441,4.47,52
Lebanon,72.0,2.26,7.03,73
Liberia,66.1,,11.8,45
Libya,75.6,2.16,3.88,62
St. Lucia,72.9,0.655,8.7,77
Sri Lanka,77.9,0.911,2.94,67
Lesotho,50.7,,11.1,53
Lithuania,74.3,4.44,7.04,75
Luxembourg,83.4,2.98,7.77,83
Latvia,76.3,3.18,6.68,75
Morocco,74.0,0.732,5.2,69
Monaco,80.4,,4.3,86
Moldova,71.9,4.09,11.7,71
Madagascar,64.8,,3.77,35
Maldives,79.8,1.84,6.33,61
Mexico,76.3,2.42,,75
Marshall Islands,65.9,,18.1,59
North Macedonia,71.1,,7.09,74
Mali,61.6,0.116,4.98,41
Malta,83.1,,8.65,85
Myanmar,70.1,0.882,1.97,52
Montenegro,75.7,2.62,9.11,72
Mongolia,68.9,,5.44,65
Mozambique,56.9,0.076,5.21,44
Mauritania,69.7,0.19,4.41,40
Mauritius,74.3,2.26,6.0,66
Malawi,63.5,,6.59,48
Malaysia,75.5,1.81,4.39,76
Namibia,60.0,0.601,6.78,63
Niger,61.7,0.022,5.16,35
Nigeria,65.2,,5.07,38
Nicaragua,76.0,0.975,,70
Netherlands,82.2,3.59,11.9,85
Norway,83.3,4.74,9.48,87
Nepal,72.0,0.892,5.25,54
Nauru,63.9,,11.2,60
New Zealand,82.2,3.3,10.1,85
Oman,70.1,2.01,2.77,70
Pakistan,65.5,0.961,2.2,45
Panama,79.0,1.59,8.1,78
Peru,77.3,,5.08,71
Philippines,72.2,0.669,3.61,58
Palau,68.1,,10.3,65
Papua New Guinea,65.1,,3.58,30
Poland,77.2,2.34,7.46,82
Portugal,82.3,5.12,11.0,88
Paraguay,73.3,,5.87,72
Qatar,76.8,,1.81,76
Romania,73.2,2.97,5.58,78
Russia,69.2,4.08,5.08,79
Rwanda,69.4,0.135,10.5,49
Saudi Arabia,75.1,2.41,4.29,74
Sudan,70.2,0.263,6.32,44
Senegal,67.9,0.07,5.66,50
Singapore,85.2,2.32,3.96,89
Solomon Islands,59.5,,8.55,47
Sierra Leone,61.9,,13.1,41
El Salvador,74.6,,6.91,78
San Marino,82.6,,7.13,77
Somalia,57.5,,,27
Serbia,73.1,,10.4,72
Sao Tome and Principe,71.2,,7.17,59
Suriname,70.7,1.15,7.01,63
Slovak Republic,75.2,3.42,8.79,82
Slovenia,81.9,3.05,9.41,84
Sweden,83.3,4.27,9.63,85
Eswatini,54.2,0.181,6.61,56
Seychelles,71.2,,3.4,75
Syria,74.4,,3.41,64
Chad,60.1,0.043,4.53,29
Togo,65.8,0.074,7.65,44
Thailand,79.1,0.788,3.88,82
Tajikistan,70.0,,5.98,67
Turkmenistan,71.2,,2.5,75
Timor-Leste,71.4,0.751,9.12,52
Tonga,73.4,,5.07,57
Trinidad and Tobago,75.4,3.15,5.67,75
Tunisia,75.9,1.26,6.21,67
Turkey,79.0,1.83,6.74,76
Tuvalu,68.5,,17.5,52
Tanzania,67.0,,6.01,43
Uganda,66.9,0.172,9.01,49
Ukraine,67.9,,7.72,76
Uruguay,78.0,4.96,8.35,82
USA,78.0,,17.9,86
Uzbekistan,68.8,,5.81,75
St. Vincent and the Grenadines,69.1,,4.47,69
Venezuela,74.0,1.66,4.91,75
Vietnam,75.0,,6.84,68
Vanuatu,66.0,,5.25,47
Samoa,70.9,,6.47,55
Yemen,66.3,,5.18,42
South Africa,60.5,0.788,8.94,71
Zambia,62.2,,5.89,56
Zimbabwe,59.1,0.179,,55
