country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Albania,2.19,8.969999999999999,2.8000000000000003,9.35,7.5,2.0050000000000003,1.335,6.044999999999999,6.2,3.3049999999999997
UAE,5.819999999999999,3.2849999999999997,5.04,2.6300000000000003,8.370000000000001,2.42,0.82,10.245,8.35,1.3
Argentina,3.2849999999999997,10.545,3.53,8.950000000000001,8.22,2.99,0.485,6.54,6.3100000000000005,3.6750000000000003
Armenia,2.9099999999999997,10.094999999999999,2.75,9.47,7.6000000000000005,2.515,0.8500000000000001,5.64,6.29,2.595
Benin,0.69,1.245,2.8200000000000003,8.99,2.3600000000000003,0.87,0.68,7.319999999999999,3.2,2.7800000000000002
Bangladesh,1.305,4.26,3.14,9.3,6.03,1.595,0.47000000000000003,5.085,5.0200000000000005,2.07
Bulgaria,3.315,8.7,3.3700000000000006,8.67,7.93,1.9800000000000002,1.145,6.3,5.82,3.8000000000000003
Bahrain,2.97,3.27,4.59,6.590000000000001,8.88,2.125,0.8500000000000001,8.76,6.940000000000001,0.755
Brazil,3.0,1.5299999999999998,2.8200000000000003,8.950000000000001,7.620000000000001,2.75,1.1050000000000002,6.075,5.33,3.44
Botswana,1.845,5.73,3.2700000000000005,7.46,6.03,1.4800000000000002,0.485,6.075,3.3600000000000003,3.815
Chile,3.36,3.9299999999999997,3.3600000000000003,8.82,7.95,2.95,0.655,6.119999999999999,6.28,4.655
China,3.8249999999999997,2.565,4.11,7.58,6.96,2.6,0.55,8.64,6.68,0.895
"Congo, Dem. Rep.",0.24,3.135,2.8600000000000003,8.85,0.5700000000000001,1.26,1.435,5.805000000000001,2.77,1.335
Colombia,2.7150000000000003,10.29,2.84,9.36,7.26,2.75,1.085,7.095,4.93,3.375
Costa Rica,3.8249999999999997,11.16,3.0300000000000002,9.370000000000001,7.840000000000001,3.19,0.945,6.435,5.93,4.53
Cyprus,6.1499999999999995,11.924999999999999,3.59,6.740000000000001,9.26,2.895,0.435,7.169999999999999,7.340000000000001,4.5
Dominican Republic,1.65,7.005,3.16,9.26,7.240000000000001,2.15,0.335,6.585,5.57,3.1050000000000004
Algeria,1.785,3.105,3.85,9.08,6.88,2.045,0.38,3.135,6.210000000000001,1.75
Ecuador,2.19,9.27,3.0100000000000002,9.31,7.08,2.74,0.7000000000000001,6.359999999999999,4.79,3.17
Spain,5.685,6.585,3.54,7.81,9.22,3.4950000000000006,0.9800000000000001,6.3,8.340000000000002,4.5
Estonia,6.27,10.589999999999998,4.0600000000000005,5.8500000000000005,8.74,2.865,0.925,8.084999999999999,7.6000000000000005,4.655
Ethiopia,0.22499999999999998,1.245,3.2,8.9,1.5,1.04,1.32,8.415,3.5700000000000003,1.51
Georgia,3.3299999999999996,9.03,2.75,9.32,7.23,3.17,0.8050000000000002,7.215,6.25,3.1950000000000003
Ghana,1.08,2.37,2.8000000000000003,9.200000000000001,4.38,1.22,0.8050000000000002,7.859999999999999,4.3100000000000005,3.6950000000000003
Greece,5.3999999999999995,10.694999999999999,2.9000000000000004,7.38,7.790000000000001,3.6200000000000006,0.5700000000000001,5.13,7.6000000000000005,3.9450000000000003
Guatemala,1.6649999999999998,7.065,2.34,9.23,6.590000000000001,1.6850000000000003,1.04,6.255,4.510000000000001,2.67
Honduras,0.96,2.925,2.37,9.209999999999999,6.790000000000001,1.46,0.82,5.865,4.2,2.625
Hungary,4.62,10.275,3.85,8.590000000000002,8.55,2.825,0.86,6.855,8.1,3.48
Indonesia,1.515,7.395,3.53,9.32,6.609999999999999,1.33,0.5750000000000001,7.905,5.43,3.23
Iran,3.0,3.2099999999999995,4.260000000000001,8.090000000000002,7.120000000000001,2.29,0.365,3.7049999999999996,5.28,0.7250000000000001
Israel,4.335,4.529999999999999,3.8600000000000003,6.8500000000000005,8.370000000000001,3.2600000000000002,0.41,7.53,7.690000000000001,3.955
Italy,5.685,10.875,3.54,7.96,9.43,3.505,0.5950000000000001,5.73,8.31,4.39
Jamaica,2.475,9.674999999999999,0.37000000000000005,9.18,6.76,2.0300000000000002,0.24,7.395,5.2700000000000005,3.8200000000000003
Jordan,1.185,3.525,0.26,9.209999999999999,7.78,2.4800000000000004,0.25,3.195,5.220000000000001,1.67
Kenya,1.095,3.405,2.54,9.14,3.5100000000000002,1.2750000000000001,1.115,9.0,3.89,2.67
Kuwait,2.775,0.0,1.27,0.97,8.940000000000001,2.195,1.095,7.875,4.720000000000001,1.4900000000000002
Sri Lanka,2.19,3.12,3.74,9.64,6.9,1.99,0.81,5.7,5.370000000000001,2.58
Lithuania,4.05,10.935,3.5700000000000003,6.36,8.55,2.8600000000000003,0.68,7.8,7.16,4.325
Latvia,3.9599999999999995,11.37,3.5,7.390000000000001,8.540000000000001,2.715,0.935,7.605,7.140000000000001,4.18
Morocco,1.77,5.984999999999999,3.0100000000000002,9.23,6.51,2.0300000000000002,0.225,4.725,5.18,1.695
Moldova,3.8249999999999997,12.42,2.66,9.65,6.91,3.0,0.405,4.635,6.720000000000001,3.1350000000000002
Mexico,3.105,10.094999999999999,3.1100000000000003,9.1,7.82,2.225,0.45999999999999996,7.05,6.04,2.895
