country,com_fixed_2020,com_cell_2020,com_broad_2020,com_pcs_2005
Aruba,32.8,132.0,17.8,7.97
Afghanistan,0.374,58.2,0.0682,0.28
Angola,0.356,43.8,0.364,0.59
Albania,7.79,91.4,17.8,1.73
Andorra,62.6,103.0,48.5,
UAE,25.6,198.0,34.9,23.4
Argentina,16.3,122.0,21.3,9.03
Armenia,15.2,124.0,15.3,9.85
American Samoa,21.7,,,
Antigua and Barbuda,29.1,199.0,8.63,14.8
Australia,21.3,105.0,35.4,
Austria,42.5,120.0,29.3,61.0
Azerbaijan,16.1,101.0,19.4,2.31
Burundi,0.15,54.3,0.0346,0.73
Belgium,31.4,99.7,40.9,38.0
Benin,0.256,88.1,0.237,0.38
Burkina Faso,0.349,103.0,0.0649,0.6
Bangladesh,0.83,105.0,6.0,1.59
Bulgaria,12.5,114.0,30.3,
Bahrain,18.6,120.0,10.2,17.6
Bahamas,22.4,115.0,20.4,12.4
Bosnia and Herzegovina,21.3,106.0,23.2,5.43
Belarus,45.7,121.0,33.8,0.81
Belize,4.81,66.8,9.12,15.2
Bermuda,39.0,106.0,35.9,
Bolivia,5.01,98.9,7.81,2.4
Brazil,14.4,96.5,17.0,16.1
Barbados,45.6,105.0,45.6,14.8
Brunei,23.5,121.0,16.1,8.83
Bhutan,2.98,96.5,0.413,0.6
Botswana,5.5,150.0,3.33,4.87
Central African Republic,0.0374,34.3,,0.3
Canada,35.2,85.4,41.1,87.7
Switzerland,35.5,127.0,46.5,88.7
Chile,13.3,130.0,19.5,14.1
China,12.8,121.0,33.9,4.83
Cote d'Ivoire,0.984,150.0,0.975,1.78
Cameroon,3.64,84.4,2.73,1.23
"Congo, Dem. Rep.",0.0,43.9,0.0334,0.02
"Congo, Rep.",0.298,98.5,,0.48
Colombia,14.2,133.0,15.2,4.15
Comoros,0.939,97.0,0.147,0.68
Cape Verde,9.9,93.5,4.26,10.8
Costa Rica,10.9,147.0,19.4,23.1
Cuba,13.3,59.0,2.05,3.35
Cayman Islands,53.5,149.0,47.5,
Cyprus,35.1,140.0,37.4,33.4
Czech Republic,12.7,123.0,36.5,27.4
Germany,46.1,129.0,43.5,60.5
Djibouti,3.57,39.8,2.3,2.4
Dominica,8.84,104.0,25.4,
Denmark,12.6,124.0,44.5,69.5
Dominican Republic,10.5,81.7,9.38,2.31
Algeria,11.0,105.0,8.72,1.07
Ecuador,11.7,88.0,13.5,6.55
Egypt,9.17,88.7,8.69,3.65
Eritrea,1.86,50.6,0.141,0.57
