country,com_fixed_2020,com_cell_2020,com_broad_2020,com_pcs_2005,com_fixed_2020_n,com_cell_2020_n,com_broad_2020_n,com_pcs_2005_n,com_s
Aruba,32.8,132.0,17.8,7.97,27.796610169491522,29.802648013989508,27.725856697819314,8.964817320703652,23.572483050501
Afghanistan,0.374,58.2,0.0682,0.28,0.3169491525423729,11.366475143642267,0.10623052959501557,0.29318899413622007,3.0207109549789686
Angola,0.356,43.8,0.364,0.59,0.3016949152542373,7.76917312015988,0.5669781931464174,0.6427604871447902,2.320151678926331
Albania,7.79,91.4,17.8,1.73,6.601694915254237,19.66025480889333,27.725856697819314,1.9282814614343706,13.979021970850313
Andorra,62.6,103.0,48.5,,53.05084745762712,22.55808143892081,75.54517133956386,,37.78852505902795
UAE,25.6,198.0,34.9,23.4,21.694915254237287,46.290282288283784,54.3613707165109,26.36445647271087,37.17775618293571
Argentina,16.3,122.0,21.3,9.03,13.813559322033898,27.304521608793404,33.177570093457945,10.160126296797474,21.11394433027068
Armenia,15.2,124.0,15.3,9.85,12.88135593220339,27.804146889832626,23.83177570093458,11.084799278304013,18.900519450318654
American Samoa,21.7,,,,18.389830508474578,,,,4.5974576271186445
Antigua and Barbuda,29.1,199.0,8.63,14.8,24.661016949152543,46.5400949288034,13.442367601246108,16.666666666666664,25.32753653646718
Australia,21.3,105.0,35.4,,18.050847457627118,23.05770671996003,55.140186915887845,,24.062185273368748
Austria,42.5,120.0,29.3,61.0,36.016949152542374,26.804896327754182,45.638629283489095,68.76409562471808,44.306142597125934
Azerbaijan,16.1,101.0,19.4,2.31,13.644067796610171,22.058456157881587,30.21806853582554,2.582318448353631,17.125727734667734
Burundi,0.15,54.3,0.0346,0.73,0.1271186440677966,10.392205845615786,0.05389408099688473,0.8006314839873703,2.8434625136669593
Belgium,31.4,99.7,40.9,38.0,26.610169491525422,21.733699725206094,63.707165109034264,42.82814614343707,38.71979511730071
Benin,0.256,88.1,0.237,0.38,0.2169491525423729,18.835873095178613,0.3691588785046729,0.40595399188092013,4.956983779526645
Burkina Faso,0.349,103.0,0.0649,0.6,0.2957627118644068,22.55808143892081,0.10109034267912773,0.6540369869192602,5.9022428700959
Bangladesh,0.83,105.0,6.0,1.59,0.7033898305084746,23.05770671996003,9.345794392523365,1.7704104645917906,8.719325351895915
Bulgaria,12.5,114.0,30.3,,10.59322033898305,25.306020484636523,47.19626168224299,,20.77387562646564
Bahrain,18.6,120.0,10.2,17.6,15.762711864406782,26.804896327754182,15.887850467289717,19.824086603518268,19.569886315742238
Bahamas,22.4,115.0,20.4,12.4,18.983050847457626,25.55583312515613,31.775700934579433,13.960306720793865,22.568722906996765
Bosnia and Herzegovina,21.3,106.0,23.2,5.43,18.050847457627118,23.30751936047964,36.13707165109034,6.100586377988272,20.89900621179634
Belarus,45.7,121.0,33.8,0.81,38.728813559322035,27.054708968273793,52.64797507788161,0.8908434821831303,29.830585271915144
Belize,4.81,66.8,9.12,15.2,4.076271186440677,13.514863852110913,14.205607476635512,17.117726657645466,12.228617293208142
Bermuda,39.0,106.0,35.9,,33.05084745762712,23.30751936047964,55.91900311526479,,28.069342483342886
Bolivia,5.01,98.9,7.81,2.4,4.245762711864407,21.533849612790405,12.165109034267912,2.6838069463238607,10.157132076311647
Brazil,14.4,96.5,17.0,16.1,12.203389830508474,20.934299275543342,26.479750778816197,18.132611637347768,19.437512880553946
Barbados,45.6,105.0,45.6,14.8,38.644067796610166,23.05770671996003,71.02803738317756,16.666666666666664,37.3491196416036
Brunei,23.5,121.0,16.1,8.83,19.915254237288135,27.054708968273793,25.077881619937695,9.934596301308073,20.495610281701925
Bhutan,2.98,96.5,0.413,0.6,2.5254237288135593,20.934299275543342,0.6433021806853582,0.6540369869192602,6.18926554299038
Botswana,5.5,150.0,3.33,4.87,4.661016949152542,34.299275543342496,5.186915887850467,5.469102390617953,12.404077692740865
Central African Republic,0.0374,34.3,,0.3,0.03169491525423729,5.395953035223582,,0.31574199368516004,1.4358474860407449
Canada,35.2,85.4,41.1,87.7,29.830508474576273,18.16137896577567,64.01869158878505,98.872350022553,52.720732262922496
Switzerland,35.5,127.0,46.5,88.7,30.084745762711865,28.553584811391456,72.42990654205607,99.99999999999999,57.76705927903984
Chile,13.3,130.0,19.5,14.1,11.271186440677965,29.303022732950286,30.373831775700932,15.877311682453765,21.706338157945737
China,12.8,121.0,33.9,4.83,10.847457627118644,27.054708968273793,52.80373831775701,5.423996391520072,24.032475326167383
Cote d'Ivoire,0.984,150.0,0.975,1.78,0.8338983050847458,34.299275543342496,1.5186915887850467,1.9846639603067207,9.659132349379751
Cameroon,3.64,84.4,2.73,1.23,3.0847457627118646,17.911566325256057,4.252336448598131,1.3644564727108703,6.65327625231923
"Congo, Dem. Rep.",0.0,43.9,0.0334,0.02,0.0,7.794154384211841,0.05202492211838006,0.0,1.9615448265825552
"Congo, Rep.",0.298,98.5,,0.48,0.2525423728813559,21.433924556582564,,0.5187189896256201,5.551296479772384
Colombia,14.2,133.0,15.2,4.15,12.033898305084746,30.05246065450912,23.676012461059187,4.657194406856112,17.60489145687729
Comoros,0.939,97.0,0.147,0.68,0.7957627118644067,21.059205595803146,0.2289719626168224,0.7442489851150202,5.7070473138498485
Cape Verde,9.9,93.5,4.26,10.8,8.389830508474576,20.184861353984513,6.635514018691588,12.156066756878664,11.841568159507336
Costa Rica,10.9,147.0,19.4,23.1,9.23728813559322,33.54983762178367,30.21806853582554,26.02616147947677,24.757838943169798
Cuba,13.3,59.0,2.05,3.35,11.271186440677965,11.566325256057956,3.193146417445482,3.755074424898511,7.446433134769979
Cayman Islands,53.5,149.0,47.5,,45.33898305084746,34.04946290282289,73.98753894080997,,38.34399622362008
Cyprus,35.1,140.0,37.4,33.4,29.74576271186441,31.80114913814639,58.25545171339564,37.64095624718087,39.360829952646824
Czech Republic,12.7,123.0,36.5,27.4,10.76271186440678,27.554334249313015,56.85358255451713,30.87505638249887,31.51142126268395
Germany,46.1,129.0,43.5,60.5,39.067796610169495,29.053210092430675,67.75700934579439,68.20027063599458,51.01957167109728
Djibouti,3.57,39.8,2.3,2.4,3.0254237288135593,6.769922558081439,3.5825545171339557,2.6838069463238607,4.015426937588204
Dominica,8.84,104.0,25.4,,7.491525423728813,22.80789407944042,39.56386292834891,,17.465820607879536
Denmark,12.6,124.0,44.5,69.5,10.677966101694915,27.804146889832626,69.31464174454828,78.34912043301759,46.536468792273354
Dominican Republic,10.5,81.7,9.38,2.31,8.898305084745763,17.23707219585311,14.610591900311528,2.582318448353631,10.832071907316008
Algeria,11.0,105.0,8.72,1.07,9.322033898305085,23.05770671996003,13.582554517133957,1.1840324763193504,11.786581902929607
Ecuador,11.7,88.0,13.5,6.55,9.915254237288135,18.810891831126654,21.02803738317757,7.3635543527289125,14.279434451080316
Egypt,9.17,88.7,8.69,3.65,7.771186440677966,18.985760679490383,13.535825545171338,4.093369418132611,11.096535520868073
Eritrea,1.86,50.6,0.141,0.57,1.576271186440678,9.46789907569323,0.21962616822429903,0.6202074875958501,2.9710009794885144
Spain,41.1,117.0,34.2,27.9,34.83050847457627,26.055458406195353,53.27102803738318,31.43888137122237,36.39896907234429
Estonia,22.9,145.0,34.3,48.9,19.406779661016948,33.050212340744444,53.42679127725856,55.11953089760938,40.25082854415733
Ethiopia,0.853,38.0,0.181,0.39,0.7228813559322034,6.32025980514614,0.2819314641744548,0.4172304916553901,1.9355757792270472
Finland,4.07,129.0,33.4,50.0,3.4491525423728815,29.053210092430675,52.02492211838006,56.35994587280108,35.22180765649617
Fiji,5.27,108.0,2.51,5.9,4.466101694915254,23.80714464151886,3.9096573208722734,6.630581867388363,9.703371381173687
France,58.6,113.0,47.5,57.9,49.66101694915254,25.056207844116912,73.98753894080997,65.26838069463238,53.49328610717795
Faeroe Islands,29.3,113.0,35.2,,24.83050847457627,25.056207844116912,54.82866043613708,,26.178844188707565
"Micronesia, Fed. Sts.",6.24,19.6,5.35,5.43,5.288135593220339,1.7237072195853116,8.333333333333332,6.100586377988272,5.3614406310318135
Gabon,1.11,133.0,1.95,3.25,0.9406779661016951,30.05246065450912,3.0373831775700935,3.642309427153811,9.41820780633368
