country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Aruba,3.54,0.86,3.63,,7.38,0.0,0.11499999999999999,,,
Afghanistan,0.44999999999999996,0.30000000000000004,2.34,13.41,4.65,3.34,0.22999999999999998,2.43,2.06,0.095
Angola,0.345,1.0650000000000002,5.0249999999999995,13.665,3.0300000000000002,2.5,1.58,4.920000000000001,1.7300000000000002,1.2800000000000002
Albania,2.1,2.805,3.9749999999999996,14.025,7.420000000000001,4.41,1.335,4.05,6.2,3.3049999999999997
Andorra,5.669999999999999,0.515,1.095,2.94,7.5,5.33,0.28500000000000003,,5.120000000000001,2.5
UAE,5.58,0.885,6.45,3.945,8.120000000000001,5.3500000000000005,0.82,6.840000000000001,8.35,1.3
Argentina,3.165,3.3100000000000005,4.965,13.424999999999999,7.970000000000001,6.4,0.485,4.39,6.3100000000000005,3.6750000000000003
Armenia,2.8349999999999995,3.165,3.9,14.205,7.51,5.53,0.8500000000000001,3.7700000000000005,6.29,2.595
American Samoa,0.69,,1.515,,3.75,0.0,0.005000000000000001,,,
Antigua and Barbuda,3.795,1.235,2.6849999999999996,9.315,7.370000000000001,5.68,0.010000000000000002,1.92,4.05,2.0850000000000004
Australia,3.615,0.4650000000000001,5.159999999999999,7.6499999999999995,8.85,6.96,0.8500000000000001,5.6000000000000005,8.91,4.8100000000000005
Austria,6.645,1.375,5.444999999999999,9.75,8.65,7.66,1.07,5.2,9.01,4.78
Azerbaijan,2.565,0.78,4.875,13.694999999999999,7.140000000000001,5.19,0.5650000000000001,5.44,4.8500000000000005,0.53
Burundi,0.42,0.8400000000000001,2.925,13.065,2.0500000000000003,3.94,1.085,5.88,2.32,1.4100000000000001
Belgium,5.805000000000001,0.5700000000000001,5.25,9.12,8.6,7.0,0.945,4.4799999999999995,9.25,4.655
Benin,0.75,0.375,4.185,13.485000000000001,2.3800000000000003,2.66,0.68,4.91,3.2,2.7800000000000002
Burkina Faso,0.885,0.585,3.885,13.065,1.25,3.08,0.875,4.5200000000000005,3.7600000000000002,1.765
Bangladesh,1.305,1.42,4.635,13.95,6.03,3.6100000000000003,0.47000000000000003,3.4299999999999997,5.0200000000000005,2.07
Bulgaria,3.12,2.745,4.665,13.005,7.690000000000001,4.62,1.145,4.220000000000001,5.82,3.8000000000000003
Bahrain,2.94,1.09,6.119999999999999,9.885,8.49,4.64,0.8500000000000001,5.8500000000000005,6.940000000000001,0.755
Bahamas,3.39,0.0,4.409999999999999,6.135,7.490000000000001,5.69,0.020000000000000004,4.68,4.15,3.375
Bosnia and Herzegovina,3.135,2.725,4.05,12.839999999999998,7.57,5.15,0.8150000000000001,2.67,6.29,1.705
Belarus,4.47,1.595,5.01,10.155,7.96,6.0600000000000005,0.305,5.370000000000001,4.890000000000001,0.735
Belize,1.8299999999999998,1.235,3.8249999999999997,13.799999999999999,7.370000000000001,4.55,0.39,4.03,2.89,2.29
Bermuda,4.215,0.13,4.29,,7.490000000000001,0.0,0.010000000000000002,,,
Bolivia,1.5299999999999998,0.6150000000000001,3.63,13.860000000000001,6.120000000000001,4.2700000000000005,0.6150000000000001,5.19,5.3500000000000005,3.1050000000000004
Brazil,2.9099999999999997,0.51,4.02,13.424999999999999,7.46,5.99,1.1050000000000002,4.07,5.33,3.44
Barbados,5.595,0.71,3.8249999999999997,9.87,8.200000000000001,5.91,0.06,3.95,4.24,3.4200000000000004
Brunei,3.0749999999999997,2.83,6.794999999999999,5.385,8.72,4.800000000000001,1.0250000000000001,4.54,4.62,1.455
Bhutan,0.9299999999999999,0.53,4.74,12.525,6.73,4.07,1.1500000000000001,4.8500000000000005,4.14,3.1750000000000003
Botswana,1.8599999999999999,1.9100000000000001,4.68,11.19,5.960000000000001,3.9299999999999997,0.485,4.07,3.3600000000000003,3.815
Central African Republic,0.21,0.76,3.69,12.885,0.63,2.0500000000000003,1.1800000000000002,4.75,0.61,0.78
Canada,7.905,0.43,4.919999999999999,8.459999999999999,8.67,7.16,1.4800000000000002,5.010000000000001,8.700000000000001,4.890000000000001
Switzerland,8.67,1.3650000000000002,6.03,9.165,8.67,7.56,1.6550000000000002,5.5600000000000005,9.16,4.94
Chile,3.255,1.1300000000000001,4.6499999999999995,13.23,7.82,6.16,0.655,4.1000000000000005,6.28,4.655
China,3.5999999999999996,0.8550000000000001,5.895,11.37,6.940000000000001,5.5,0.55,5.7700000000000005,6.68,0.895
Cote d'Ivoire,1.4549999999999998,1.6300000000000001,4.034999999999999,13.469999999999999,3.8000000000000003,3.0300000000000002,0.9750000000000001,4.4799999999999995,4.04,2.295
Cameroon,1.005,0.275,3.75,13.68,3.6700000000000004,3.0100000000000002,1.295,5.3100000000000005,3.49,1.04
"Congo, Dem. Rep.",0.3,0.935,4.2749999999999995,13.275,0.63,3.41,1.435,3.9200000000000004,2.77,1.335
"Congo, Rep.",0.84,0.0,4.875,13.71,2.92,2.58,1.645,3.6500000000000004,3.64,0.77
