country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020
Afghanistan,1430,,11.5,-25.9
Angola,5910,16.3,26.5,10.7
Albania,15.5k,9.87,23.0,-14.5
Andorra,56k,4.21,,
UAE,74.3k,13.2,22.8,25.3
Argentina,22.4k,69.5,14.4,3.01
Armenia,16k,7.99,19.7,-9.96
Antigua and Barbuda,21.5k,6.5,,-10.5
Australia,51k,7.12,22.3,3.79
Austria,56.3k,5.3,25.6,3.46
Azerbaijan,15k,37.2,23.7,-0.771
Burundi,708,18.3,11.4,-17.7
Belgium,53.2k,5.89,24.2,2
Benin,3440,4.14,25.6,-5.09
Burkina Faso,2160,5.89,16.8,2.85
Bangladesh,6260,5.05,31.3,-5.39
Bulgaria,26.8k,16.2,20.3,1.93
Bahrain,51.9k,7.73,35.1,5.64
Bahamas,34.2k,-2.17,24.5,-9.75
Bosnia and Herzegovina,16.7k,11.8,23.1,-13.7
Belarus,19.1k,13.5,27.5,3.09
Belize,9700,7.36,18.5,-6.37
Bolivia,8200,5.12,15.8,-4.96
Brazil,15.1k,8.28,16.1,0.605
Barbados,15.1k,3.99,17.9,-6.39
Brunei,58.7k,24.2,40.6,4.42
Bhutan,11.3k,,39.1,-15.7
Botswana,15.5k,14.6,32.7,-15.1
Central African Republic,819,5.97,26.0,-19.2
Canada,49k,7.19,22.3,-2.24
Switzerland,71k,2.5,29.6,6.41
Chile,25.9k,6.64,21.1,4.47
China,18.2k,2.25,43.4,2.42
Cote d'Ivoire,5540,2.75,19.8,0.908
Cameroon,3730,5.34,17.7,-3.27
"Congo, Dem. Rep.",1130,8.45,24.6,-1.28
"Congo, Rep.",3210,18.3,23.7,12.1
Colombia,15.7k,14.3,19.1,-7.07
Comoros,3250,5.16,11.8,-22.4
Cape Verde,7690,7.74,29.0,-27.8
Costa Rica,22k,6.28,16.2,3.67
Cuba,10.6k,14.2,9.88,0.654
Cyprus,43.6k,6.07,21.0,-1.37
Czech Republic,41.7k,8.53,26.2,6.75
Germany,53.6k,5.27,22.0,5.81
Djibouti,4990,0.674,1.04,8.42
Dominica,11.5k,3.55,,
Denmark,59.7k,8.07,22.5,6.48
Dominican Republic,19.3k,10.7,25.4,-7.7
Algeria,11.2k,21.5,43.8,-10.4
Ecuador,10.9k,5.26,22.0,2.34
Egypt,12.8k,10.4,16.0,-7.18
Eritrea,1950,,,
Spain,39.8k,4.14,20.5,1.44
Estonia,37.8k,16.6,31.3,0.0814
Ethiopia,2380,34.7,30.6,-9.75
Finland,49.6k,5.37,24.5,0.0765
Fiji,12k,2.47,16.3,-16.7
France,46k,2.95,24.1,-2.13
"Micronesia, Fed. Sts.",3260,5.3,,-42.9
Gabon,13.9k,13.9,19.9,24.9
UK,46.8k,5.15,17.6,0.609
Georgia,17k,9.1,23.9,-19.3
Ghana,5500,28.2,18.2,-3.52
Guinea,2700,11,31.3,-21.7
Gambia,2130,10.4,27.5,-28.3
Guinea-Bissau,1860,8.35,16.7,-14.9
Equatorial Guinea,14.7k,7.71,,3.76
Greece,31.5k,7.85,14.4,-7.71
Grenada,14.4k,1.77,,
Guatemala,9160,6.22,13.5,-8.45
Guyana,34.4k,12,,
"Hong Kong, China",58.5k,1.81,19.0,1.93
Honduras,5710,9.15,18.8,-15.4
Croatia,34k,9.46,23.2,-7
Haiti,2800,30.2,22.8,-20.5
Hungary,35.3k,14.5,27.3,1.93
Indonesia,12.4k,9.57,32.3,1.69
India,7100,8.23,28.8,-0.394
Ireland,114k,6.58,43.1,18.8
Iran,15.3k,50.6,42.2,-4.96
Iraq,9200,18.9,22.3,-2.24
Iceland,55k,8.92,21.4,-1.52
Israel,44.3k,4.62,24.1,4.07
Italy,43.8k,2.98,17.7,3.6
Jamaica,10k,12.8,,
Jordan,9320,2.6,,
Japan,41.6k,0.269,25.3,-0.269
Kazakhstan,26.1k,19.8,28.8,4.03
Kenya,4880,6.01,19.7,-7.96
Kyrgyz Republic,5190,16.7,,
Cambodia,4530,4.07,24.9,0.71
Kiribati,2000,4.64,18.2,-71.3
St. Kitts and Nevis,28.8k,3.33,,
South Korea,45.5k,1.28,31.9,3.69
Kuwait,49.2k,19,,
Lao,7950,15.8,,
Lebanon,13.2k,,8.1,-17.4
Liberia,1460,8.79,,
Libya,19.8k,24.1,,
St. Lucia,15k,3.13,,
Sri Lanka,12.2k,48.8,33.0,-6.16
Lesotho,2280,4.23,26.1,-52.1
Lithuania,39.6k,16.5,14.6,9.28
Luxembourg,116k,5.68,17.3,34
Latvia,32.7k,12.8,21.4,1.31
Morocco,8060,3.05,28.8,-7.26
Monaco,214k,2.95,,
Moldova,12.9k,19.3,23.9,-23.4
Madagascar,1500,8.33,17.7,-8.73
Maldives,21k,3.19,,
Mexico,19.5k,6.72,20.2,1.62
Marshall Islands,6120,1.07,20.3,-37
North Macedonia,17.1k,6.67,29.9,-12.7
Mali,2130,5.73,16.5,-5.68
Malta,48.2k,5.27,21.7,14.4
Myanmar,4120,6.16,,
Montenegro,22.1k,12.4,31.2,-35
Mongolia,12.1k,17.7,22.4,2.48
Mozambique,1240,6.4,,
Mauritania,5440,2.23,38.7,-3.96
Mauritius,22.8k,9.74,18.2,-7.13
Malawi,1470,21.9,,
Malaysia,28.3k,6.45,19.7,6.37
Namibia,9490,6.76,13.9,-9.57
Niger,1270,3.78,28.5,-16
Nigeria,4960,11.3,,
Nicaragua,5820,8.92,19.4,-5.12
Netherlands,58.6k,5.54,21.8,10.1
Norway,67.5k,28.1,31.4,-0.933
Nepal,4000,7.33,30.4,-27.3
Nauru,11.1k,5.52,,-47.8
New Zealand,44.9k,5.3,23.0,-0.494
Oman,35.3k,24.6,27.6,2.24
Pakistan,5450,14,14.8,-8.12
Panama,33.3k,2.45,,
Peru,12.7k,4.38,18.4,1.59
Philippines,8580,5.48,17.4,-7.76
Palau,13.5k,,,
Papua New Guinea,3770,15.4,,
Poland,36.8k,10.8,18.8,5.66
North Korea,1620,,,
Portugal,35.7k,5,19.1,-2.14
