country,eco_gdp_2022,eco_inflation_2022,eco_invest_2020,eco_trade_2020,eco_gdp_2022_n,eco_inflation_2022_n,eco_invest_2020_n,eco_trade_2020_n,eco_s
Afghanistan,1430.0,,11.5,-25.9,0.488732,,18.860441,43.11491,15.61602083593607
Angola,5910.0,16.3,26.5,10.7,2.5859728,7.7077217,45.90696,77.87274,33.518348932266235
Albania,15500.0,9.87,23.0,-14.5,7.075379,5.321557,39.596107,53.941124,26.48354184627533
Andorra,56000.0,4.21,,,26.034811,3.2211378,,,7.313987195491791
UAE,74300.0,13.2,22.8,25.3,34.601665,6.5573163,39.23548,91.7379,43.033090710639954
Argentina,22400.0,69.5,14.4,3.01,10.305504,27.45018,24.089434,70.5698,33.10372972488403
Armenia,16000.0,7.99,19.7,-9.96,7.309446,4.623891,33.64587,58.252613,25.95795500278473
Antigua and Barbuda,21500.0,6.5,,-10.5,9.884184,4.070954,,57.739796,17.923733353614807
Australia,51000.0,7.12,22.3,3.79,23.69414,4.3010354,38.33393,71.31055,34.409913182258606
Austria,56300.0,5.3,25.6,3.46,26.175251,3.6256356,44.284172,70.99715,36.270551323890686
Azerbaijan,15000.0,37.2,23.7,-0.771,6.841312,15.463688,40.858276,66.9791,32.53559482097626
Burundi,708.0,18.3,11.4,-17.7,0.15073918,8.44992,18.68013,50.902184,19.545743104070425
Belgium,53200.0,5.89,24.2,2.0,24.724035,3.8445837,41.759827,69.61064,34.98477178812027
Benin,3440.0,4.14,25.6,-5.09,1.4296815,3.1951606,44.284172,62.877495,27.946627259254456
Burkina Faso,2160.0,5.89,16.8,2.85,0.8304699,3.8445837,28.416876,70.417854,25.877445951104164
Bangladesh,6260.0,5.05,31.3,-5.39,2.7498198,3.532861,54.561844,62.592594,30.859279692173004
Bulgaria,26800.0,16.2,20.3,1.93,12.365294,7.670613,34.72773,69.54416,31.07694900035858
Bahrain,51900.0,7.73,35.1,5.64,24.115461,4.5274057,61.413628,73.06742,40.78097891807556
Bahamas,34200.0,-2.17,24.5,-9.75,15.829487,0.8535272,42.30076,58.452045,29.358954459428787
Bosnia and Herzegovina,16700.0,11.8,23.1,-13.7,7.63714,6.037778,39.77642,54.70085,27.038047432899475
Belarus,19100.0,13.5,27.5,3.09,8.760662,6.6686454,47.710064,70.645775,33.44628655910492
Belize,9700.0,7.36,18.5,-6.37,4.360201,4.390099,31.482147,61.661915,25.47359049320221
Bolivia,8200.0,5.12,15.8,-4.96,3.658,3.5588377,26.613775,63.000954,24.207891643047333
Brazil,15100.0,8.28,16.1,0.605,6.8881254,4.73151,27.154707,68.28585,26.765048265457153
Barbados,15100.0,3.99,17.9,-6.39,6.8881254,3.139496,30.40029,61.64293,25.517710030078888
Brunei,58700.0,24.2,40.6,4.42,27.298773,10.639403,71.33069,71.90883,45.2944233417511
Bhutan,11300.0,,39.1,-15.7,5.1092157,,68.62603,52.801517,31.634190797805786
Botswana,15500.0,14.6,32.7,-15.1,7.075379,7.0768547,57.08619,53.371323,31.15243637561798
Central African Republic,819.0,5.97,26.0,-19.2,0.20270208,3.8742716,45.00541,49.47768,24.64001578837633
Canada,49000.0,7.19,22.3,-2.24,22.757872,4.327012,38.33393,65.584045,32.750715017318726
Switzerland,71000.0,2.5,29.6,6.41,33.056824,2.5865588,51.49658,73.798676,40.234659075737
Chile,25900.0,6.64,21.1,4.47,11.943974,4.122908,36.170216,71.956314,31.04835283756256
China,18200.0,2.25,43.4,2.42,8.339341,2.4937842,76.37937,70.00949,39.305496990680695
Cote d'Ivoire,5540.0,2.75,19.8,0.908,2.412763,2.6793334,33.82618,68.57359,26.872967302799225
Cameroon,3730.0,5.34,17.7,-3.27,1.5654404,3.6404793,30.039669,64.60589,24.96286928653717
"Congo, Dem. Rep.",1130.0,8.45,24.6,-1.28,0.34829178,4.7945967,42.48107,66.49573,28.529921866953373
"Congo, Rep.",3210.0,18.3,23.7,12.1,1.3220108,8.44992,40.858276,79.20228,32.45812124013901
Colombia,15700.0,14.3,19.1,-7.07,7.169006,6.9655247,32.564014,60.997154,26.923924803733826
Comoros,3250.0,5.16,11.8,-22.4,1.3407362,3.5736814,19.401371,46.438744,17.688633024692535
Cape Verde,7690.0,7.74,29.0,-27.8,3.4192514,4.531116,50.414715,41.310543,24.918906331062317
Costa Rica,22000.0,6.28,16.2,3.67,10.118251,3.9893124,27.335018,71.19658,28.159790098667145
Cuba,10600.0,14.2,9.88,0.654,4.781522,6.928415,15.939416,68.33238,23.995433688163757
Cyprus,43600.0,6.07,21.0,-1.37,20.229948,3.9113815,35.989902,66.410255,31.63537186384201
Czech Republic,41700.0,8.53,26.2,6.75,19.340492,4.8242846,45.36603,74.12156,35.91309189796448
Germany,53600.0,5.27,22.0,5.81,24.91129,3.6145024,37.793003,73.22887,34.88691532611847
Djibouti,4990.0,0.674,1.04,8.42,2.1552894,1.9089324,0.0,75.7075,19.94292962551117
Dominica,11500.0,3.55,,,5.2028427,2.9762123,,,2.044763743877411
Denmark,59700.0,8.07,22.5,6.48,27.766907,4.6535788,38.694553,73.86515,36.24504733085632
Dominican Republic,19300.0,10.7,25.4,-7.7,8.854288,5.629569,43.92355,60.398857,29.701565980911255
Algeria,11200.0,21.5,43.8,-10.4,5.0624022,9.637437,77.10062,57.834755,37.40880262851715
Ecuador,10900.0,5.26,22.0,2.34,4.9219623,3.6107912,37.793003,69.93352,29.064818501472473
Egypt,12800.0,10.4,16.0,-7.18,5.8114166,5.518239,26.974396,60.89269,24.799185037612915
Eritrea,1950.0,,,,0.73216176,,,,0.18304044008255005
Spain,39800.0,4.14,20.5,1.44,18.451038,3.1951606,35.088352,69.07883,31.453344523906708
Estonia,37800.0,16.6,31.3,0.0814,17.51477,7.819052,54.561844,67.788605,36.92106783390045
Ethiopia,2380.0,34.7,30.6,-9.75,0.9334594,14.535942,53.299683,58.452045,31.80528238415718
Finland,49600.0,5.37,24.5,0.0765,23.038752,3.6516125,42.30076,67.78395,34.193768322467804
Fiji,12000.0,2.47,16.3,-16.7,5.4369097,2.5754256,27.515326,51.85185,21.84487736225128
France,46000.0,2.95,24.1,-2.13,21.35347,2.7535532,41.57952,65.688515,32.84376472234726
"Micronesia, Fed. Sts.",3260.0,5.3,,-42.9,1.3454174,3.6256356,,26.970562,7.985403746366501
Gabon,13900.0,13.9,19.9,24.9,6.3263645,6.817085,34.006493,91.358025,34.626991629600525
UK,46800.0,5.15,17.6,0.609,21.727976,3.5699706,29.859362,68.28965,30.86173951625824
Georgia,17000.0,9.1,23.9,-19.3,7.7775803,5.035811,41.2189,49.38272,25.853752732276917
Ghana,5500.0,28.2,18.2,-3.52,2.394038,12.123799,30.94122,64.36848,27.456883370876312
Guinea,2700.0,11.0,31.3,-21.7,1.0832623,5.740898,54.561844,47.10351,27.122379034757614
Gambia,2130.0,10.4,27.5,-28.3,0.81642586,5.518239,47.710064,40.835712,23.720110312104225
Guinea-Bissau,1860.0,8.35,16.7,-14.9,0.6900297,4.757487,28.23657,53.561253,21.811334863305092
Equatorial Guinea,14700.0,7.71,,3.76,6.7008715,4.519984,,71.28205,20.625726580619812
Greece,31500.0,7.85,14.4,-7.71,14.565525,4.5719376,24.089434,60.389366,25.90406560897827
Grenada,14400.0,1.77,,,6.5604315,2.3156567,,,2.219022035598755
Guatemala,9160.0,6.22,13.5,-8.45,4.1074085,3.9670465,22.466642,59.686607,22.55692619085312
Guyana,34400.0,12.0,,,15.923114,6.111997,,,5.508777737617493
"Hong Kong, China",58500.0,1.81,19.0,1.93,27.205145,2.3305006,32.383698,69.54416,32.865875482559204
Honduras,5710.0,9.15,18.8,-15.4,2.492346,5.0543656,32.02308,53.08642,23.164052188396454
Croatia,34000.0,9.46,23.2,-7.0,15.73586,5.1694064,39.956726,61.06363,30.481405377388
Haiti,2800.0,30.2,22.8,-20.5,1.1300757,12.865997,39.23548,48.24312,25.368668138980865
Hungary,35300.0,14.5,27.3,1.93,16.344435,7.0397444,47.349438,69.54416,35.06944394111633
Indonesia,12400.0,9.57,32.3,1.69,5.624163,5.210227,56.364944,69.31624,34.12889325618744
India,7100.0,8.23,28.8,-0.394,3.1430523,4.7129545,50.05409,67.337135,31.311807692050934
Ireland,114000.0,6.58,43.1,18.8,53.18659,4.1006417,75.83844,85.565056,54.67268145084381
Iran,15300.0,50.6,42.2,-4.96,6.981752,20.436413,74.21565,63.000954,41.158692717552185
Iraq,9200.0,18.9,22.3,-2.24,4.126134,8.67258,38.33393,65.584045,29.17917251586914
Iceland,55000.0,8.92,21.4,-1.52,25.566677,4.969013,36.711143,66.26781,33.37866020202637
Israel,44300.0,4.62,24.1,4.07,20.557642,3.3732884,41.57952,71.576454,34.27172642946243
Italy,43800.0,2.98,17.7,3.6,20.323574,2.764686,30.039669,71.130104,31.064508318901062
Jamaica,10000.0,12.8,,,4.5006413,6.4088764,,,2.7273794412612915
Jordan,9320.0,2.6,,,4.18231,2.6236687,,,1.7014946937561035
Japan,41600.0,0.269,25.3,-0.269,19.29368,1.7586373,43.743237,67.45584,33.0628487765789
Kazakhstan,26100.0,19.8,28.8,4.03,12.0376005,9.006568,50.05409,71.53846,35.65917921066284
Kenya,4880.0,6.01,19.7,-7.96,2.1037948,3.8891156,33.64587,60.15195,24.947682857513428
Kyrgyz Republic,5190.0,16.7,,,2.2489164,7.856162,,,2.5262696146965027
Cambodia,4530.0,4.07,24.9,0.71,1.9399477,3.169184,43.022,68.38557,29.129174441099167
Kiribati,2000.0,4.64,18.2,-71.3,0.75556844,3.3807101,30.94122,0.0,8.76937447488308
St. Kitts and Nevis,28800.0,3.33,,,13.301562,2.8945708,,,4.049033284187317
South Korea,45500.0,1.28,31.9,3.69,21.119402,2.1338181,55.643707,71.215576,37.52812588214874
Kuwait,49200.0,19.0,,,22.851498,8.709689,,,7.890296697616577
Lao,7950.0,15.8,,,3.5409665,7.522173,,,2.7657848596572876
Lebanon,13200.0,,8.1,-17.4,5.9986706,,12.729897,51.187084,17.478912830352783
Liberia,1460.0,8.79,,,0.502776,4.92077,,,1.355886548757553
Libya,19800.0,24.1,,,9.088356,10.602293,,,4.922662258148193
St. Lucia,15000.0,3.13,,,6.841312,2.8203511,,,2.4154157638549805
Sri Lanka,12200.0,48.8,33.0,-6.16,5.530536,19.768435,57.62712,61.861347,36.19685971736908
Lesotho,2280.0,4.23,26.1,-52.1,0.88664603,3.2285597,45.185726,18.233622,16.883638381958008
Lithuania,39600.0,16.5,14.6,9.28,18.35741,7.7819424,24.450054,76.524216,31.77840566635132
Luxembourg,116000.0,5.68,17.3,34.0,54.122856,3.7666528,29.318426,100.0,46.80198377370834
Latvia,32700.0,12.8,21.4,1.31,15.127286,6.4088764,36.711143,68.95536,31.800666570663452
Morocco,8060.0,3.05,28.8,-7.26,3.592461,2.790663,50.05409,60.81671,29.313481032848358
Monaco,214000.0,2.95,,,100.0,2.7535532,,,25.688388288021088
Moldova,12900.0,19.3,23.9,-23.4,5.85823,8.821018,41.2189,45.48908,25.346806406974792
Madagascar,1500.0,8.33,17.7,-8.73,0.5215014,4.7500644,30.039669,59.420704,23.682984679937363
Maldives,21000.0,3.19,,,9.650117,2.842617,,,3.123183488845825
Mexico,19500.0,6.72,20.2,1.62,8.947915,4.152596,34.54742,69.24976,29.22442376613617
Marshall Islands,6120.0,1.07,20.3,-37.0,2.684281,2.0558875,34.72773,32.5736,18.010374784469604
North Macedonia,17100.0,6.67,29.9,-12.7,7.8243937,4.134041,52.037506,55.65052,29.911615252494812
Mali,2130.0,5.73,16.5,-5.68,0.81642586,3.785208,27.875948,62.317192,23.698693469166756
Malta,48200.0,5.27,21.7,14.4,22.383364,3.6145024,37.252075,81.38651,36.1591135263443
Myanmar,4120.0,6.16,,,1.7480128,3.94478,,,1.4231982231140137
Montenegro,22100.0,12.4,31.2,-35.0,10.165064,6.2604365,54.38154,34.472935,26.319993376731873
Mongolia,12100.0,17.7,22.4,2.48,5.483723,8.227261,38.514244,70.06648,30.572927594184875
Mozambique,1240.0,6.4,,,0.39978653,4.033844,,,1.1084076315164566
Mauritania,5440.0,2.23,38.7,-3.96,2.3659499,2.4863622,67.9048,63.95062,34.17693281173706
Mauritius,22800.0,9.74,18.2,-7.13,10.492758,5.273314,30.94122,60.940174,26.911866307258606
Malawi,1470.0,21.9,,,0.5074574,9.785876,,,2.5733334124088287
Malaysia,28300.0,6.45,19.7,6.37,13.067495,4.052399,33.64587,73.76069,31.13161337375641
Namibia,9490.0,6.76,13.9,-9.57,4.261893,4.16744,23.187883,58.622986,22.56005048751831
