country,edu_adulit_2011,edu_prim_2020,edu_femalit_2009,edu_exp_2015,edu_adulit_2011_n,edu_prim_2020_n,edu_femalit_2009_n,edu_exp_2015_n
Aruba,,,100.0,,,,68.81496881496881,
Afghanistan,39.0,,,10.2,8.433734939759038,,,15.744466800804826
Angola,70.4,,81.1,,55.72289156626507,,29.521829521829503,
Anguilla,,,,,,,,
Albania,96.8,99.5,,29.8,95.48192771084337,63.83248730964467,,65.04024144869214
Netherlands Antilles,96.5,,,,95.0301204819277,,,
UAE,,105.0,,,,70.81218274111676,,
Argentina,97.9,104.0,100.0,15.6,97.13855421686746,69.54314720812182,68.81496881496881,29.325955734406435
Armenia,99.6,102.0,100.0,11.0,99.69879518072287,67.00507614213198,68.81496881496881,17.756539235412472
Antigua and Barbuda,99.0,,,,98.79518072289154,,,
Azerbaijan,,98.5,,,,62.56345177664975,,
Burundi,,49.2,99.2,,,0.0,67.15176715176715,
Benin,,60.3,66.9,10.3,,14.08629441624365,0.0,15.995975855130785
Burkina Faso,,62.0,,16.1,,16.243654822335024,,30.58350100603622
Bangladesh,57.7,,104.0,,36.596385542168676,,77.13097713097713,
Bulgaria,98.3,91.2,99.9,,97.7409638554217,53.299492385786806,68.60706860706861,
Bahrain,,,100.0,11.2,,,68.81496881496881,18.259557344064383
Bosnia and Herzegovina,98.0,90.2,100.0,,97.289156626506,52.03045685279188,68.81496881496881,
Belarus,,95.6,100.0,,,58.88324873096446,68.81496881496881,
Belize,,105.0,,15.1,,70.81218274111676,,28.068410462776658
Bolivia,,87.9,,,,49.11167512690356,,
Brazil,,,,20.1,,,,40.643863179074444
Brunei,95.5,100.0,99.9,,93.52409638554217,64.46700507614213,68.60706860706861,
Bhutan,,82.7,,,,42.51269035532995,,
Botswana,85.1,,103.0,,77.86144578313252,,75.05197505197505,
Central African Republic,56.6,,79.4,,34.93975903614458,,25.98752598752599,
Chile,,98.0,,15.2,,61.92893401015229,,28.319919517102612
China,,,99.8,,,,68.39916839916839,
