country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020,energy_use_2014_n,energy_import_2014_n,energy_alternative_2014_n,energy_renewable_2020_n
Angola,541.0,-541.0,2.55,61.0,2.4125903,55.25862,5.141129,63.409565
Albania,808.0,13.8,24.5,44.6,3.7585192,7.4310303,49.395164,46.361748
UAE,7980.0,-184.0,0.0969,0.92,39.912086,24.482758,0.19536293,0.95634097
Argentina,2030.0,13.0,5.5,9.84,9.918539,7.5,11.08871,10.22869
Armenia,1020.0,71.3,25.7,8.38,4.827197,2.4741287,51.814518,8.711019
Antigua and Barbuda,,,,0.74,,,,0.7692308
Australia,5330.0,-192.0,2.37,10.9,26.553616,25.172417,4.7782254,11.330562
Austria,3760.0,62.4,13.2,35.8,18.639353,3.2413788,26.612904,37.214138
Azerbaijan,1500.0,-310.0,0.572,1.23,7.2468443,35.344826,1.1532259,1.2785863
Belgium,4710.0,76.3,18.6,12.3,23.428238,2.0430984,37.5,12.785863
Benin,404.0,46.6,0.0,46.2,1.7219825,4.603447,0.0,48.02495
Bangladesh,227.0,16.8,0.153,28.0,0.8297375,7.172409,0.30846775,29.10603
Bulgaria,2480.0,36.6,25.8,21.1,12.186959,5.465515,52.016132,21.933472
Bahrain,10800.0,-61.6,0.0,0.0,54.127518,13.931038,0.0,0.0
Bahamas,,,,1.41,,,,1.4656965
Bosnia and Herzegovina,2190.0,22.7,4.27,37.7,10.725089,6.663803,8.608871,39.18919
Belarus,2940.0,86.8,0.0539,8.39,14.505787,1.1379242,0.108669356,8.721415
Belize,,,,30.2,,,,31.392933
Bolivia,763.0,-178.0,1.97,16.9,3.5316772,23.965515,3.9717743,17.567568
Brazil,1490.0,11.9,10.8,50.0,7.196435,7.5948257,21.774195,51.97505
Barbados,,,,4.57,,,,4.75052
Brunei,8530.0,-357.0,0.00484,0.01,42.684597,39.396553,0.0097580645,0.010395011
Bhutan,,,,88.4,,,,91.89189
Botswana,1200.0,44.5,0.00317,27.2,5.734565,4.784485,0.0063911295,28.27443
