country,health_life_2022,health_doc_2017,health_spending_2010,health_uhc_2021,health_life_2022_n,health_doc_2017_n,health_spending_2010_n,health_uhc_2021_n,health_s
Afghanistan,62.6,0.245,7.58,41.0,73.47417840375587,2.6938874124184586,35.420503376304474,21.875,33.365892298119704
Angola,64.5,0.212,2.85,37.0,75.70422535211267,2.2952403962309735,6.38428483732351,15.625,25.00218764641679
Albania,76.1,,6.55,64.0,89.31924882629107,,29.097605893186,57.8125,44.05733867986927
Andorra,82.7,,7.52,79.0,97.06572769953051,,35.052179251074264,81.25,53.341976737651194
UAE,73.4,2.55,3.66,82.0,86.15023474178405,30.53877748248369,11.356660527931245,85.9375,53.495793188049745
Argentina,75.4,3.98,8.1,79.0,88.49765258215963,47.8134815172747,38.61264579496623,81.25,64.04344497360015
Armenia,73.7,4.55,4.4,68.0,86.50234741784037,54.699202705967615,15.899324739103745,64.0625,55.29084371572793
Antigua and Barbuda,76.8,2.9,6.03,76.0,90.14084507042253,34.76685189659338,25.905463474524247,76.5625,56.84391511038504
Australia,83.4,3.68,8.73,87.0,97.88732394366197,44.189417733752116,42.48004910988336,93.75,69.57669769682437
Austria,82.7,5.18,11.0,85.0,97.06572769953051,62.30973665136506,56.41497851442602,90.625,76.6038607163304
Azerbaijan,71.4,3.16,5.88,66.0,83.80281690140846,37.90770717564629,24.984653161448737,60.9375,51.90816930962587
Burundi,63.5,0.097,11.6,41.0,74.53051643192488,0.9060159458806476,60.098219766728036,21.875,39.35243803613339
Belgium,81.9,3.08,10.7,86.0,96.12676056338029,36.941290166706935,54.573357888275,92.1875,69.95722715459056
Benin,64.0,,4.1,38.0,75.11737089201878,,14.057704112952727,17.1875,26.59064375124288
Burkina Faso,61.4,0.082,6.74,40.0,72.06572769953051,0.7248127567045181,30.26396562308164,20.3125,30.841751519829167
Bangladesh,75.5,0.536,3.52,52.0,88.6150234741784,6.209229282435371,10.497237569060772,39.0625,36.09599758141864
Bulgaria,69.9,,6.87,73.0,82.04225352112677,,31.062001227747082,71.875,46.24481368721846
Bahrain,76.3,,4.97,76.0,89.55399061032864,,19.398403928790664,76.5625,46.378723634779824
Bahamas,76.6,1.85,7.89,77.0,89.90610328638496,22.082628654264315,37.323511356660525,78.125,56.85931082432745
Bosnia and Herzegovina,75.0,,11.1,66.0,88.0281690140845,,57.028852056476346,60.9375,51.49863026764021
Belarus,73.0,4.33,5.61,79.0,85.68075117370891,52.04155593138439,23.327194597912825,81.25,60.574875425751536
Belize,71.5,1.13,5.2,68.0,83.92018779342723,13.384875573810096,20.810313075506443,64.0625,45.54446911068594
Bolivia,68.9,1.01,4.84,65.0,80.86854460093898,11.935250060401062,18.600368324125228,59.375,42.694790746366316
Brazil,73.9,2.16,9.01,80.0,86.73708920187794,25.827494563904327,44.198895027624296,82.8125,59.89399469835164
Barbados,76.6,2.55,7.97,77.0,89.90610328638496,30.53877748248369,37.81461019030079,78.125,59.096122739792364
Brunei,74.2,1.59,2.84,78.0,87.08920187793427,18.941773375211405,6.322897483118476,79.6875,48.01034318406604
Bhutan,74.0,0.31,5.2,60.0,86.8544600938967,3.479101232181686,20.810313075506443,51.5625,40.67659360039621
Botswana,62.7,,8.3,55.0,73.59154929577464,,39.840392879066904,43.75,39.295485543710384
Central African Republic,51.8,,3.98,32.0,60.798122065727696,,13.321055862492324,7.8125,20.482919482055006
Canada,82.7,2.61,11.3,91.0,97.06572769953051,31.263590239188208,58.25659914057703,100.0,71.64647926982394
Switzerland,84.5,4.3,11.5,86.0,99.17840375586854,51.679149553032126,59.48434622467771,92.1875,75.6323498833946
Chile,79.3,2.46,7.96,82.0,93.07511737089202,29.451558347426914,37.75322283609576,85.9375,61.55434963860367
China,78.2,2.01,5.07,81.0,91.78403755868544,24.015462672143027,20.012277470841003,84.375,55.04669442541737
Cote d'Ivoire,63.8,,5.3,43.0,74.88262910798122,,21.42418661755678,25.0,30.3267039313845
Cameroon,62.7,,5.13,44.0,73.59154929577464,,20.380601596071205,26.5625,30.13366272296146
"Congo, Dem. Rep.",64.5,,7.91,42.0,75.70422535211267,,37.44628606507059,23.4375,34.14700285429581
"Congo, Rep.",65.8,,2.46,41.0,77.2300469483568,,3.990178023327193,21.875,25.773806242920998
Colombia,77.0,2.13,7.59,80.0,90.3755868544601,25.465088185552066,35.481890730509505,82.8125,58.533766442630416
Comoros,68.3,,4.51,48.0,80.16431924882629,,16.574585635359114,32.8125,32.38785122104635
Cape Verde,72.5,,4.09,71.0,85.09389671361502,,13.996316758747694,68.75,41.96005336809068
Costa Rica,78.0,3.0,10.9,81.0,91.54929577464789,35.974873157767576,55.80110497237568,84.375,66.9250684761978
Cuba,79.2,8.3,10.6,83.0,92.95774647887323,100.0,53.95948434622466,87.5,83.60430770627447
Cyprus,81.3,2.75,5.97,81.0,95.4225352112676,32.95482000483209,25.53713934929404,84.375,59.572373641348435
Czech Republic,78.3,4.07,7.88,84.0,91.90140845070422,48.90070065233148,37.26212400245549,89.0625,66.7816832763728
Germany,80.6,4.25,11.6,88.0,94.60093896713613,51.07513892244503,60.098219766728036,95.3125,75.2716994140773
