country,infra_vehicles_2007,infra_elec_2021,infra_sanit_2016,infra_water_2016
Afghanistan,22.8,97.7,45.7,65.2
Angola,39.6,48.2,48.6,55.1
Albania,102.0,100.0,98.1,93.8
Netherlands Antilles,1210.0,,,
UAE,313.0,100.0,99.1,100.0
Argentina,314.0,100.0,94.8,99.0
Armenia,105.0,100.0,93.2,99.5
Australia,653.0,100.0,100.0,100.0
Austria,557.0,100.0,100.0,100.0
Azerbaijan,,100.0,96.1,93.4
Burundi,5.67,10.2,45.9,60.2
Belgium,539.0,100.0,99.5,100.0
Benin,20.6,42.0,16.8,66.0
Burkina Faso,10.8,19.0,21.2,50.4
Bangladesh,2.26,99.0,50.3,97.4
Bulgaria,295.0,99.8,86.0,99.2
Bahrain,482.0,100.0,100.0,99.9
Bahamas,81.7,100.0,94.9,98.9
Bosnia and Herzegovina,170.0,100.0,95.3,96.2
Belarus,282.0,100.0,97.9,98.3
Belize,178.0,97.7,87.5,97.6
Bolivia,68.4,98.6,58.4,90.9
Brazil,198.0,99.5,86.9,98.0
Barbados,406.0,100.0,96.9,98.5
Brunei,696.0,100.0,92.2,99.9
Bhutan,38.3,100.0,71.4,98.2
Botswana,114.0,73.7,76.0,89.5
Central African Republic,0.295,15.7,15.6,41.3
Canada,597.0,100.0,99.0,99.2
Switzerland,569.0,100.0,99.9,100.0
Chile,164.0,100.0,99.7,99.7
China,32.2,100.0,86.4,93.4
"Congo, Dem. Rep.",5.0,20.8,17.4,36.2
"Congo, Rep.",25.8,49.7,19.5,72.2
Colombia,65.6,100.0,89.6,96.3
Comoros,33.5,87.9,35.8,80.1
Cape Verde,94.0,95.5,72.5,86.2
Costa Rica,152.0,100.0,97.3,99.5
Cuba,38.0,100.0,89.2,93.8
Cyprus,622.0,100.0,99.4,99.8
Czech Republic,470.0,100.0,99.1,99.9
Germany,623.0,100.0,99.2,100.0
Denmark,466.0,100.0,99.6,100.0
Dominican Republic,123.0,98.1,85.7,95.6
Algeria,,99.8,86.6,93.6
Ecuador,63.1,100.0,87.0,93.8
Eritrea,11.3,52.5,11.9,51.8
Spain,601.0,100.0,99.9,99.9
Estonia,444.0,100.0,99.1,99.9
Ethiopia,3.0,54.2,7.74,43.0
Finland,559.0,100.0,99.4,100.0
Fiji,173.0,92.1,93.0,95.3
France,601.0,100.0,98.7,100.0
"Micronesia, Fed. Sts.",36.5,83.6,90.5,90.1
UK,527.0,100.0,99.1,100.0
Georgia,116.0,100.0,86.9,93.7
Ghana,33.0,86.3,21.5,82.0
Gambia,7.28,63.7,46.8,82.1
Guinea-Bissau,32.9,35.8,21.0,60.8
Greece,112.0,100.0,99.0,100.0
Guatemala,117.0,97.9,67.3,92.4
Guyana,95.4,92.9,87.3,93.9
"Hong Kong, China",72.4,100.0,96.6,100.0
Honduras,96.9,94.1,79.4,93.3
Croatia,377.0,100.0,96.1,
Hungary,384.0,100.0,98.0,100.0
Indonesia,75.8,99.2,75.2,89.5
India,,99.6,60.8,89.8
Ireland,537.0,100.0,89.5,96.1
Iran,15.6,100.0,88.8,96.9
Iceland,774.0,100.0,98.8,100.0
Israel,305.0,100.0,100.0,100.0
Italy,677.0,100.0,99.9,99.9
Jamaica,,100.0,86.1,90.6
Jordan,137.0,99.9,97.5,98.9
Japan,595.0,100.0,100.0,99.0
Kazakhstan,170.0,100.0,97.8,95.2
Kenya,21.1,76.5,34.1,58.8
Kyrgyz Republic,59.1,99.7,97.4,88.6
Kiribati,144.0,92.8,43.0,72.0
South Korea,338.0,100.0,99.9,99.5
Kuwait,502.0,100.0,100.0,100.0
Lao,20.8,100.0,71.9,79.6
Liberia,2.87,29.8,19.1,72.6
Libya,291.0,70.2,92.1,98.2
Sri Lanka,57.9,100.0,89.9,87.5
Lithuania,479.0,100.0,92.2,97.1
Luxembourg,512.0,100.0,97.6,99.9
Latvia,459.0,100.0,92.0,98.6
"Macao, China",181.0,100.0,100.0,100.0
Morocco,71.0,100.0,83.5,81.0
Monaco,872.0,100.0,100.0,100.0
Moldova,120.0,100.0,80.9,89.4
Maldives,19.7,100.0,95.1,99.1
Mexico,244.0,100.0,88.9,98.0
North Macedonia,136.0,100.0,96.1,97.6
Mali,9.22,53.4,39.6,74.8
Malta,558.0,100.0,100.0,100.0
Myanmar,7.07,72.5,71.7,73.5
Mongolia,61.5,100.0,64.0,79.4
Mozambique,9.93,31.5,29.2,51.2
Mauritius,150.0,99.6,95.5,99.9
Malawi,8.59,14.2,36.3,67.0
Malaysia,,100.0,95.6,97.1
Namibia,109.0,55.2,34.2,83.6
Niger,,18.6,13.3,46.2
Nigeria,30.8,59.5,40.2,69.8
Nicaragua,47.8,86.3,72.8,81.4
Netherlands,503.0,100.0,97.7,100.0
Norway,572.0,100.0,98.1,100.0
Nepal,5.27,89.9,62.0,88.8
New Zealand,729.0,100.0,100.0,100.0
Oman,225.0,100.0,99.3,90.7
Pakistan,11.1,94.9,60.2,89.7
Panama,188.0,95.3,79.8,93.2
Peru,51.7,95.6,74.9,91.2
Philippines,32.0,97.5,77.8,92.4
Papua New Guinea,8.87,20.9,18.9,44.0
Poland,451.0,100.0,98.4,94.0
Puerto Rico,642.0,100.0,100.0,99.6
Portugal,,100.0,99.4,99.2
Paraguay,82.0,100.0,88.6,97.2
Palestine,16.1,100.0,96.7,96.7
Qatar,724.0,100.0,99.9,100.0
Romania,,100.0,84.0,100.0
Russia,245.0,100.0,88.0,96.5
Rwanda,3.88,48.7,67.2,59.4
Sudan,28.0,61.8,36.5,58.2
Senegal,20.4,68.0,53.9,79.1
Singapore,149.0,100.0,100.0,100.0
Sierra Leone,5.21,27.5,17.5,58.5
El Salvador,83.7,97.9,85.9,96.2
Serbia,223.0,100.0,97.5,93.8
Sao Tome and Principe,2.16,78.5,41.1,76.4
Suriname,,98.8,87.2,96.2
Slovak Republic,282.0,100.0,97.5,99.8
Slovenia,547.0,100.0,98.6,99.5
Sweden,523.0,100.0,98.9,99.7
Eswatini,89.0,82.9,61.8,67.4
Seychelles,173.0,100.0,99.2,95.9
Syria,51.5,88.8,92.9,93.5
Chad,,11.3,11.6,48.4
Togo,1.98,55.7,16.6,64.5
Tajikistan,38.2,99.6,95.7,77.6
Turkmenistan,106.0,100.0,97.8,98.3
Trinidad and Tobago,351.0,100.0,93.7,98.5
Tunisia,103.0,99.9,93.2,94.7
Turkey,131.0,100.0,97.0,96.4
Tanzania,11.7,42.7,25.6,52.3
Uganda,6.5,45.2,19.8,49.5
Ukraine,140.0,100.0,97.4,93.4
Uruguay,,100.0,96.9,99.3
USA,820.0,100.0,99.7,99.5
St. Vincent and the Grenadines,204.0,100.0,89.6,97.7
Venezuela,147.0,100.0,95.1,94.4
Vietnam,13.5,100.0,81.0,93.4
Samoa,,98.3,95.8,93.3
Yemen,34.8,74.9,52.1,56.8
South Africa,159.0,89.3,73.1,92.2
Zambia,17.7,46.7,33.2,63.9
Zimbabwe,106.0,49.0,37.5,64.5
Aruba,,100.0,98.6,97.9
Andorra,,100.0,100.0,100.0
Antigua and Barbuda,,100.0,97.4,98.4
Bermuda,,100.0,99.9,99.9
Channel Islands,,100.0,,
Cote d'Ivoire,,71.1,32.3,72.3
Cameroon,,65.4,41.7,66.5
Cayman Islands,,100.0,83.4,95.7
Djibouti,,65.4,62.7,75.8
Dominica,,100.0,80.4,95.4
Egypt,,100.0,96.2,98.7
Faeroe Islands,,100.0,,100.0
Gabon,,91.8,48.9,84.9
Isle of Man,,100.0,100.0,99.1
Gibraltar,,100.0,100.0,100.0
Guinea,,46.8,24.1,64.0
Equatorial Guinea,,66.8,66.2,64.4
Grenada,,93.7,91.5,95.6
Greenland,,100.0,62.5,100.0
Guam,,100.0,90.0,99.7
Haiti,,47.2,33.6,65.0
