country,infra_vehicles_2007,infra_elec_2021,infra_sanit_2016,infra_water_2016,infra_vehicles_2007_n,infra_elec_2021_n,infra_sanit_2016_n,infra_water_2016_n,infra_s
Afghanistan,22.8,97.7,45.7,65.2,1.8603709168764286,97.50677506775068,41.14459137220897,45.45454545454545,46.49157070284538
Angola,39.6,48.2,48.6,55.1,3.2491392529583663,43.84823848238483,44.287882072404074,29.623824451410655,30.252271064789483
Albania,102.0,100.0,98.1,93.8,8.407421644119848,100.0,97.94060264469975,90.282131661442,74.1575389875654
Netherlands Antilles,1210.0,,,,100.0,,,,25.0
UAE,313.0,100.0,99.1,100.0,25.849690627053704,100.0,99.02449598959461,100.0,81.21854665416208
Argentina,314.0,100.0,94.8,99.0,25.932355408963343,100.0,94.3637546065467,98.43260188087774,79.68217797409696
Armenia,105.0,100.0,93.2,99.5,8.655415989848766,100.0,92.62952525471493,99.21630094043887,75.12531054625065
Australia,653.0,100.0,100.0,100.0,53.95571647633101,100.0,100.0,100.0,88.48892911908275
Austria,557.0,100.0,100.0,100.0,46.01989741300566,100.0,100.0,100.0,86.50497435325141
Azerbaijan,,100.0,96.1,93.4,,100.0,95.77281595491003,89.65517241379311,71.35699709217579
Burundi,5.67,10.2,45.9,60.2,0.4443232027643103,2.655826558265582,41.36137004118794,37.61755485893417,20.519768665287998
Belgium,539.0,100.0,99.5,100.0,44.531931338632155,100.0,99.45805332755256,100.0,85.99749616654617
Benin,20.6,42.0,16.8,66.0,1.6785083966752226,37.12737127371274,9.820073704747452,46.70846394984326,23.833604331244665
Burkina Faso,10.8,19.0,21.2,50.4,0.8683935339607591,12.195121951219512,14.589204422284846,22.257053291536042,12.477443299750291
Bangladesh,2.26,99.0,50.3,97.4,0.1624362964524409,98.9159891598916,46.130500758725326,95.92476489028213,60.28342277633787
Bulgaria,295.0,99.8,86.0,99.2,24.3617245526802,99.78319783197831,84.82549317147193,98.7460815047022,76.92912426520816
Bahrain,482.0,100.0,100.0,99.9,39.82003876978272,100.0,100.0,99.84326018808778,84.91582473946762
Bahamas,81.7,100.0,94.9,98.9,6.729326571354173,100.0,94.47214394103622,98.27586206896552,74.86933314533898
Bosnia and Herzegovina,170.0,100.0,95.3,96.2,14.02862681397531,100.0,94.90570127899414,94.04388714733543,75.74455381007621
Belarus,282.0,100.0,97.9,98.3,23.28708238785489,100.0,97.7238239757208,97.33542319749215,79.58658239026697
Belize,178.0,97.7,87.5,97.6,14.689945069252422,97.50677506775068,86.45133318881423,96.23824451410657,73.72157445998097
Bolivia,68.4,98.6,58.4,90.9,5.629884971955973,98.48238482384824,54.91003685237372,85.73667711598746,61.18974594104135
Brazil,198.0,99.5,86.9,98.0,16.343240707445204,99.4579945799458,85.8009971818773,96.8652037617555,74.61685905775595
Barbados,406.0,100.0,96.9,98.5,33.537515344650146,100.0,96.63993063082594,97.64890282131663,81.95658719919818
Brunei,696.0,100.0,92.2,99.9,57.51030209844549,100.0,91.54563190982007,99.84326018808778,87.22479854908835
Bhutan,38.3,100.0,71.4,98.2,3.141675036475835,100.0,69.00065033600693,97.17868338557994,67.33025218951568
Botswana,114.0,73.7,76.0,89.5,9.399399027035518,71.49051490514906,73.98655972252331,83.5423197492163,59.60469835098104
Central African Republic,0.295,15.7,15.6,41.3,0.0,8.617886178861788,8.519401690873618,7.993730407523502,6.2827545693147275
Canada,597.0,100.0,99.0,99.2,49.326488689391226,100.0,98.91610665510514,98.7460815047022,86.74716921229964
Switzerland,569.0,100.0,99.9,100.0,47.01187479592133,100.0,99.89161066551053,100.0,86.72587136535796
Chile,164.0,100.0,99.7,99.7,13.532638122517476,100.0,99.67483199653154,99.52978056426333,78.18431267082809
China,32.2,100.0,86.4,93.4,2.6374198668270363,100.0,85.25905050942988,89.65517241379311,69.3879106975125
"Congo, Dem. Rep.",5.0,20.8,17.4,36.2,0.38893779888485214,14.146341463414634,10.470409711684368,0.0,6.251422243495964
"Congo, Rep.",25.8,49.7,19.5,72.2,2.108365262605346,45.47425474254742,12.746585735963581,56.426332288401255,29.188884507379402
Colombia,65.6,100.0,89.6,96.3,5.398423582608983,100.0,88.72750921309343,94.20062695924764,72.08163993873751
Comoros,33.5,87.9,35.8,80.1,2.7448840833095676,86.88346883468836,30.414047257749832,68.80877742946707,47.21279440130371
Cape Verde,94.0,95.5,72.5,86.2,7.746103388842735,95.1219512195122,70.19293301539129,78.36990595611286,62.85772339496477
Costa Rica,152.0,100.0,97.3,99.5,12.540660739601806,100.0,97.07348796878387,99.21630094043887,77.20761241220613
Cuba,38.0,100.0,89.2,93.8,3.1168756019029433,100.0,88.29395187513549,90.282131661442,70.42323978462011
Cyprus,622.0,100.0,99.4,99.8,51.3931082371322,100.0,99.3496639930631,99.68652037617554,87.60732315159271
Czech Republic,470.0,100.0,99.1,99.9,38.82806138686705,100.0,99.02449598959461,99.84326018808778,84.42395439113736
Germany,623.0,100.0,99.2,100.0,51.47577301904184,100.0,99.1328853240841,100.0,87.65216458578149
Denmark,466.0,100.0,99.6,100.0,38.497402259228494,100.0,99.56644266204205,100.0,84.51596123031763
Dominican Republic,123.0,98.1,85.7,95.6,10.14338206422227,97.94037940379404,84.50032516800347,93.10344827586206,71.42188372797045
Algeria,,99.8,86.6,93.6,,99.78319783197831,85.47582917840884,89.96865203761755,68.80691976200117
Ecuador,63.1,100.0,87.0,93.8,5.191761627834886,100.0,85.9093865163668,90.282131661442,70.34581995141092
Eritrea,11.3,52.5,11.9,51.8,0.9097259249155787,48.50948509485095,4.508996314762627,24.451410658307204,19.59490449820909
Spain,601.0,100.0,99.9,99.9,49.65714781702978,100.0,99.89161066551053,99.84326018808778,87.34800466765702
Estonia,444.0,100.0,99.1,99.9,36.67877705721643,100.0,99.02449598959461,99.84326018808778,83.8866333087247
Ethiopia,3.0,54.2,7.74,43.0,0.22360823506557384,50.35230352303523,0.0,10.658307210031344,15.308554742033039
Finland,559.0,100.0,99.4,100.0,46.185226976824936,100.0,99.3496639930631,100.0,86.383722742472
Fiji,173.0,92.1,93.0,95.3,14.276621159704225,91.43631436314364,92.41274658573596,92.63322884012538,72.6897277371773
France,601.0,100.0,98.7,100.0,49.65714781702978,100.0,98.59093865163668,100.0,87.06202161716662
"Micronesia, Fed. Sts.",36.5,83.6,90.5,90.1,2.992878429038485,82.22222222222221,89.7030132234988,84.48275862068965,64.85021812386229
UK,527.0,100.0,99.1,100.0,43.539953955716484,100.0,99.02449598959461,100.0,85.64111248632778
Georgia,116.0,100.0,86.9,93.7,9.564728590854795,100.0,85.8009971818773,90.12539184952979,71.37277940556547
Ghana,33.0,86.3,21.5,82.0,2.703551692354748,85.1490514905149,14.914372425753305,71.78683385579937,43.63845236610558
Gambia,7.28,63.7,46.8,82.1,0.5774135016388293,60.65040650406504,42.33687405159331,71.94357366771159,43.87706693125219
Guinea-Bissau,32.9,35.8,21.0,60.8,2.6952852141637833,30.406504065040647,14.372425753305874,38.55799373040752,21.508052190729458
Greece,112.0,100.0,99.0,100.0,9.234069463216239,100.0,98.91610665510514,100.0,77.03754402958035
Guatemala,117.0,97.9,67.3,92.4,9.647393372764435,97.72357723577235,64.55668762193798,88.08777429467085,65.0038581312864
Guyana,95.4,92.9,87.3,93.9,7.8618340835162295,92.30352303523036,86.23455451983524,90.43887147335424,69.20969577798402
"Hong Kong, China",72.4,100.0,96.6,100.0,5.96054409959453,100.0,96.31476262735747,100.0,75.568826681738
Honduras,96.9,94.1,79.4,93.3,7.985831256380688,93.60433604336043,77.67179709516584,89.49843260188086,67.19009924919695
Croatia,377.0,100.0,96.1,,31.14023666927061,100.0,95.77281595491003,,56.72826315604516
Hungary,384.0,100.0,98.0,100.0,31.718890142638084,100.0,97.83221331021026,100.0,82.38777586321208
Indonesia,75.8,99.2,75.2,89.5,6.241604358087303,99.13279132791328,73.11944504660742,83.5423197492163,65.50904012045608
India,,99.6,60.8,89.8,,99.56639566395664,57.511380880121386,84.01253918495297,60.27257893225775
Ireland,537.0,100.0,89.5,96.1,44.36660177481288,100.0,88.61911987860395,93.8871473354232,81.71821724721
Iran,15.6,100.0,88.8,96.9,1.2651844871270268,100.0,87.86039453717754,95.141065830721,71.06666121375639
Iceland,774.0,100.0,98.8,100.0,63.958155087397344,100.0,98.69932798612616,100.0,90.66437076838088
Israel,305.0,100.0,100.0,100.0,25.18837237177659,100.0,100.0,100.0,81.29709309294415
Italy,677.0,100.0,99.9,99.9,55.93967124216235,100.0,99.89161066551053,99.84326018808778,88.91863552394017
Jamaica,,100.0,86.1,90.6,,100.0,84.9338825059614,85.26645768025077,67.55008504655305
Jordan,137.0,99.9,97.5,98.9,11.30068901095722,99.89159891598916,97.29026663776284,98.27586206896552,76.68960415841869
Japan,595.0,100.0,100.0,99.0,49.16115912557195,100.0,100.0,98.43260188087774,86.89844025161241
Kazakhstan,170.0,100.0,97.8,95.2,14.02862681397531,100.0,97.6154346412313,92.47648902821317,76.03013762085494
Kenya,21.1,76.5,34.1,58.8,1.7198407876300421,74.52574525745257,28.57142857142857,35.423197492163006,35.06005302716855
Kyrgyz Republic,59.1,99.7,97.4,88.6,4.8611025001963295,99.67479674796748,97.18187730327337,82.13166144200626,70.96235949836085
Kiribati,144.0,92.8,43.0,72.0,11.879342484324694,92.1951219512195,38.218079340992844,56.1128526645768,49.60134911027846
South Korea,338.0,100.0,99.9,99.5,27.916310174794685,100.0,99.89161066551053,99.21630094043887,81.75605544518602
Kuwait,502.0,100.0,100.0,100.0,41.4733344079755,100.0,100.0,100.0,85.36833360199387
Lao,20.8,100.0,71.9,79.6,1.6950413530571504,100.0,69.54259700845438,68.02507836990594,59.81567918285437
Liberia,2.87,29.8,19.1,72.6,0.21286181341732077,23.902439024390244,12.313028398005638,57.053291536050146,23.370405192965837
Libya,291.0,70.2,92.1,98.2,24.031065425041643,67.69647696476964,91.43724257533059,97.17868338557994,70.08586708768046
Sri Lanka,57.9,100.0,89.9,87.5,4.761904761904762,100.0,89.0526772165619,80.40752351097179,68.55552637235961
Lithuania,479.0,100.0,92.2,97.1,39.5720444240538,100.0,91.54563190982007,95.45454545454544,81.64305544710483
Luxembourg,512.0,100.0,97.6,99.9,42.299982227071894,100.0,97.39865597225233,99.84326018808778,84.885474596853
Latvia,459.0,100.0,92.0,98.6,37.91874878586102,100.0,91.3288532408411,97.80564263322883,81.76331116498274
"Macao, China",181.0,100.0,100.0,100.0,14.93793941498134,100.0,100.0,100.0,78.73448485374533
Morocco,71.0,100.0,83.5,81.0,5.844813404921035,100.0,82.11575980923477,70.21943573667711,64.54500223770823
Monaco,872.0,100.0,100.0,100.0,72.05930371454198,100.0,100.0,100.0,93.0148259286355
Moldova,120.0,100.0,80.9,89.4,9.895387718493351,100.0,79.29763711250814,83.38557993730407,68.1446511920764
Maldives,19.7,100.0,95.1,99.1,1.6041100929565473,100.0,94.68892261001517,98.58934169278996,73.72059359894041
Mexico,244.0,100.0,88.9,98.0,20.145820675288604,100.0,87.96878387166703,96.8652037617555,76.24495207717779
North Macedonia,136.0,100.0,96.1,97.6,11.21802422904758,100.0,95.77281595491003,96.23824451410657,75.80727117451605
Mali,9.22,53.4,39.6,74.8,0.7377831785435294,49.48509485094851,34.53284196835031,60.50156739811912,36.31432184899037
Malta,558.0,100.0,100.0,100.0,46.1025621949153,100.0,100.0,100.0,86.52564054872883
Myanmar,7.07,72.5,71.7,73.5,0.5600538974378051,70.18970189701896,69.32581833947539,58.46394984326018,49.634880994298086
Mongolia,61.5,100.0,64.0,79.4,5.059497976779463,100.0,60.97983958378495,67.7115987460815,58.437734076661485
Mozambique,9.93,31.5,29.2,51.2,0.796475173699373,25.745257452574524,23.260351181443745,23.510971786833856,18.328263898637875
Mauritius,150.0,99.6,95.5,99.9,12.375331175782527,99.56639566395664,95.12247994797312,99.84326018808778,76.72686674395001
Malawi,8.59,14.2,36.3,67.0,0.6857043659404566,6.9918699186991855,30.955993930197263,48.27586206896551,21.727357570950602
Malaysia,,100.0,95.6,97.1,,100.0,95.2308692824626,95.45454545454544,72.67135368425201
Namibia,109.0,55.2,34.2,83.6,8.986075117487323,51.43631436314363,28.679817905918057,74.29467084639498,40.849219558236
Niger,,18.6,13.3,46.2,,11.761517615176155,6.026446997615435,15.673981191222571,8.365486451003541
Nigeria,30.8,59.5,40.2,69.8,2.521689172153542,56.09756097560975,35.18317797528723,52.66457680250783,36.61675123138959
Nicaragua,47.8,86.3,72.8,81.4,3.9269904646174068,85.1490514905149,70.51810101885974,70.84639498432603,57.61013448957952
Netherlands,503.0,100.0,97.7,100.0,41.55599918988514,100.0,97.50704530674182,100.0,84.76576112415674
Norway,572.0,100.0,98.1,100.0,47.25986914165025,100.0,97.94060264469975,100.0,86.3001179465875
Nepal,5.27,89.9,62.0,88.8,0.41125729000045463,89.05149051490515,58.81205289399523,82.44514106583071,57.679985441182886
New Zealand,729.0,100.0,100.0,100.0,60.23823990146359,100.0,100.0,100.0,90.0595599753659
Oman,225.0,100.0,99.3,90.7,18.575189819005463,100.0,99.24127465857359,85.42319749216301,75.80991549243552
Pakistan,11.1,94.9,60.2,89.7,0.8931929685336508,94.47154471544715,56.861044873184476,83.85579937304075,59.02039548255151
Panama,188.0,95.3,79.8,93.2,15.516592888348812,94.90514905149051,78.10535443312378,89.34169278996866,69.46719729073294
Peru,51.7,95.6,74.9,91.2,4.249383114064999,95.23035230352303,72.79427704313896,86.20689655172414,64.62022725311279
Philippines,32.0,97.5,77.8,92.4,2.6208869104451087,97.289972899729,75.93756774333406,88.08777429467085,65.98405046204475
Papua New Guinea,8.87,20.9,18.9,44.0,0.7088505048751554,14.254742547425472,12.096249729026662,12.225705329153602,9.821387027620222
Poland,451.0,100.0,98.4,94.0,37.2574305305839,100.0,98.26577064816823,90.59561128526646,81.52970311600465
Puerto Rico,642.0,100.0,100.0,99.6,53.046403875324984,100.0,100.0,99.37304075235109,88.10486115691901
Portugal,,100.0,99.4,99.2,,100.0,99.3496639930631,98.7460815047022,74.52393637444132
Paraguay,82.0,100.0,88.6,97.2,6.754126005927065,100.0,87.64361586819857,95.61128526645768,72.50225678514583
Palestine,16.1,100.0,96.7,96.7,1.3065168780818466,100.0,96.42315196184695,94.82758620689656,73.13931376170635
Qatar,724.0,100.0,99.9,100.0,59.82491599191539,100.0,99.89161066551053,100.0,89.92913166435648
Romania,,100.0,84.0,100.0,,100.0,82.65770648168221,100.0,70.66442662042056
Russia,245.0,100.0,88.0,96.5,20.228485457198243,100.0,86.99327986126166,94.5141065830721,75.43396797538301
Rwanda,3.88,48.7,67.2,59.4,0.29635324314605627,44.39024390243903,64.44829828744851,36.36363636363636,36.37463294916749
Sudan,28.0,61.8,36.5,58.2,2.2902277828065523,58.59078590785908,31.172772599176238,34.48275862068966,31.63413622763288
Senegal,20.4,68.0,53.9,79.1,1.6619754402932945,65.31165311653116,50.03251680034684,67.24137931034481,46.061881166879026
Singapore,149.0,100.0,100.0,100.0,12.292666393872889,100.0,100.0,100.0,78.07316659846822
Sierra Leone,5.21,27.5,17.5,58.5,0.4062974030858763,21.40921409214092,10.578799046173856,34.952978056426325,16.836822149456744
El Salvador,83.7,97.9,85.9,96.2,6.894656135173451,97.72357723577235,84.71710383698245,94.04388714733543,70.84480608881591
Serbia,223.0,100.0,97.5,93.8,18.40986025518618,100.0,97.29026663776284,90.282131661442,76.49556463859776
Sao Tome and Principe,2.16,78.5,41.1,76.4,0.154169818261477,76.69376693766938,36.1586819856926,63.00940438871474,44.00400578258456
Suriname,,98.8,87.2,96.2,,98.69918699186992,86.12616518534577,94.04388714733543,69.71730983113778
Slovak Republic,282.0,100.0,97.5,99.8,23.28708238785489,100.0,97.29026663776284,99.68652037617554,80.06596735044832
Slovenia,547.0,100.0,98.6,99.5,45.193249593909265,100.0,98.48254931714719,99.21630094043887,85.72302496287384
Sweden,523.0,100.0,98.9,99.7,43.20929482807793,100.0,98.80771732061567,99.52978056426333,85.38669817823923
Eswatini,89.0,82.9,61.8,67.4,7.3327794792945395,81.46341463414635,58.59527422501625,48.90282131661443,49.07357241376789
Seychelles,173.0,100.0,99.2,95.9,14.276621159704225,100.0,99.1328853240841,93.57366771159874,76.74579354884676
Syria,51.5,88.8,92.9,93.5,4.232850157683072,87.85907859078591,92.30435725124649,89.81191222570533,68.5520495563552
Chad,,11.3,11.6,48.4,,3.8482384823848244,4.183828311294167,19.12225705329153,6.78858096174263
Togo,1.98,55.7,16.6,64.5,0.13929015751774193,51.97831978319783,9.60329503576848,44.35736677115987,26.51956793691098
Tajikistan,38.2,99.6,95.7,77.6,3.1334085582848714,99.56639566395664,95.33925861695208,64.89028213166144,65.73233624271376
Turkmenistan,106.0,100.0,97.8,98.3,8.738080771758405,100.0,97.6154346412313,97.33542319749215,75.92223465262046
