country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Aruba,1.1800000000000002,0.86,2.42,,7.38,0.0,0.22999999999999998,,,
Afghanistan,0.15000000000000002,0.30000000000000004,1.56,13.41,4.65,5.01,0.45999999999999996,1.215,3.0900000000000003,0.19
Angola,0.11499999999999999,1.0650000000000002,3.35,13.665,3.0300000000000002,3.75,3.16,2.4600000000000004,2.595,2.5600000000000005
Albania,0.7000000000000001,2.805,2.6500000000000004,14.025,7.420000000000001,6.615,2.67,2.025,9.299999999999999,6.609999999999999
Andorra,1.89,0.515,0.73,2.94,7.5,7.994999999999999,0.5700000000000001,,7.68,5.0
UAE,1.8600000000000003,0.885,4.3,3.945,8.120000000000001,8.025,1.64,3.4200000000000004,12.525,2.6
Argentina,1.0550000000000002,3.3100000000000005,3.3100000000000005,13.424999999999999,7.970000000000001,9.6,0.97,2.195,9.465,7.3500000000000005
Armenia,0.945,3.165,2.6,14.205,7.51,8.295,1.7000000000000002,1.8850000000000002,9.434999999999999,5.19
American Samoa,0.22999999999999998,,1.01,,3.75,0.0,0.010000000000000002,,,
Antigua and Barbuda,1.2650000000000001,1.235,1.79,9.315,7.370000000000001,8.52,0.020000000000000004,0.96,6.075,4.170000000000001
Australia,1.205,0.4650000000000001,3.44,7.6499999999999995,8.85,10.44,1.7000000000000002,2.8000000000000003,13.364999999999998,9.620000000000001
Austria,2.215,1.375,3.63,9.75,8.65,11.489999999999998,2.14,2.6,13.514999999999999,9.56
Azerbaijan,0.8550000000000001,0.78,3.25,13.694999999999999,7.140000000000001,7.784999999999999,1.1300000000000001,2.72,7.2749999999999995,1.06
Burundi,0.13999999999999999,0.8400000000000001,1.9500000000000002,13.065,2.0500000000000003,5.909999999999999,2.17,2.94,3.48,2.8200000000000003
Belgium,1.9350000000000003,0.5700000000000001,3.5,9.12,8.6,10.5,1.89,2.2399999999999998,13.875,9.31
Benin,0.25,0.375,2.79,13.485000000000001,2.3800000000000003,3.99,1.36,2.455,4.8,5.5600000000000005
Burkina Faso,0.29500000000000004,0.585,2.59,13.065,1.25,4.62,1.75,2.2600000000000002,5.64,3.53
Bangladesh,0.435,1.42,3.09,13.95,6.03,5.415,0.9400000000000001,1.7149999999999999,7.53,4.14
Bulgaria,1.04,2.745,3.1100000000000003,13.005,7.690000000000001,6.930000000000001,2.29,2.1100000000000003,8.73,7.6000000000000005
Bahrain,0.9800000000000001,1.09,4.08,9.885,8.49,6.96,1.7000000000000002,2.9250000000000003,10.41,1.51
Bahamas,1.1300000000000001,0.0,2.94,6.135,7.490000000000001,8.535,0.04000000000000001,2.34,6.225,6.75
Bosnia and Herzegovina,1.045,2.725,2.7,12.839999999999998,7.57,7.725,1.6300000000000001,1.335,9.434999999999999,3.41
Belarus,1.4900000000000002,1.595,3.34,10.155,7.96,9.09,0.61,2.6850000000000005,7.334999999999999,1.47
