country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Aruba,23.6,17.2,24.2,,73.8,0.0,2.3,,,
Afghanistan,3.0,6.0,15.6,89.4,46.5,33.4,4.6,24.3,20.6,1.9
Angola,2.3,21.3,33.5,91.1,30.3,25.0,31.6,49.2,17.3,25.6
Albania,14.0,56.1,26.5,93.5,74.2,44.1,26.7,40.5,62.0,66.1
Andorra,37.8,10.3,7.3,19.6,75.0,53.3,5.7,,51.2,50.0
UAE,37.2,17.7,43.0,26.3,81.2,53.5,16.4,68.4,83.5,26.0
Argentina,21.1,66.2,33.1,89.5,79.7,64.0,9.7,43.9,63.1,73.5
Armenia,18.9,63.3,26.0,94.7,75.1,55.3,17.0,37.7,62.9,51.9
American Samoa,4.6,,10.1,,37.5,0.0,0.1,,,
Antigua and Barbuda,25.3,24.7,17.9,62.1,73.7,56.8,0.2,19.2,40.5,41.7
Australia,24.1,9.3,34.4,51.0,88.5,69.6,17.0,56.0,89.1,96.2
Austria,44.3,27.5,36.3,65.0,86.5,76.6,21.4,52.0,90.1,95.6
Azerbaijan,17.1,15.6,32.5,91.3,71.4,51.9,11.3,54.4,48.5,10.6
Burundi,2.8,16.8,19.5,87.1,20.5,39.4,21.7,58.8,23.2,28.2
Belgium,38.7,11.4,35.0,60.8,86.0,70.0,18.9,44.8,92.5,93.1
Benin,5.0,7.5,27.9,89.9,23.8,26.6,13.6,49.1,32.0,55.6
Burkina Faso,5.9,11.7,25.9,87.1,12.5,30.8,17.5,45.2,37.6,35.3
Bangladesh,8.7,28.4,30.9,93.0,60.3,36.1,9.4,34.3,50.2,41.4
Bulgaria,20.8,54.9,31.1,86.7,76.9,46.2,22.9,42.2,58.2,76.0
Bahrain,19.6,21.8,40.8,65.9,84.9,46.4,17.0,58.5,69.4,15.1
Bahamas,22.6,0.0,29.4,40.9,74.9,56.9,0.4,46.8,41.5,67.5
Bosnia and Herzegovina,20.9,54.5,27.0,85.6,75.7,51.5,16.3,26.7,62.9,34.1
Belarus,29.8,31.9,33.4,67.7,79.6,60.6,6.1,53.7,48.9,14.7
Belize,12.2,24.7,25.5,92.0,73.7,45.5,7.8,40.3,28.9,45.8
Bermuda,28.1,2.6,28.6,,74.9,0.0,0.2,,,
Bolivia,10.2,12.3,24.2,92.4,61.2,42.7,12.3,51.9,53.5,62.1
Brazil,19.4,10.2,26.8,89.5,74.6,59.9,22.1,40.7,53.3,68.8
Barbados,37.3,14.2,25.5,65.8,82.0,59.1,1.2,39.5,42.4,68.4
Brunei,20.5,56.6,45.3,35.9,87.2,48.0,20.5,45.4,46.2,29.1
Bhutan,6.2,10.6,31.6,83.5,67.3,40.7,23.0,48.5,41.4,63.5
Botswana,12.4,38.2,31.2,74.6,59.6,39.3,9.7,40.7,33.6,76.3
Central African Republic,1.4,15.2,24.6,85.9,6.3,20.5,23.6,47.5,6.1,15.6
