country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Aruba,23.572483050501,17.203742203742202,24.217556834220886,,73.79775331674762,0.0,2.2531185150146484,,,
Afghanistan,3.020710954978969,6.044550435140966,15.61602083593607,89.3863955155681,46.49157070284538,33.365892298119704,4.57380485534668,24.32030365309997,20.588741088817024,1.875
Angola,2.320151678926331,21.31118027202364,33.518348932266235,91.0507945221729,30.252271064789483,25.00218764641679,31.5554763674736,49.220926755160285,17.26468946778279,25.625
Albania,13.979021970850312,56.088664117295046,26.48354184627533,93.52100832611706,74.1575389875654,44.05733867986927,26.736615419387817,40.451537153260816,62.03469341268418,66.14583587646484
Andorra,37.78852505902795,10.29406132224821,7.313987195491791,19.60658502603212,75.0,53.3419767376512,5.691268444061279,,51.17188693922569,50.0
UAE,37.17775618293571,17.70304568527919,43.033090710639954,26.25829914613946,81.21854665416208,53.49579318804975,16.38663698732853,68.39029326483143,83.53207318537383,26.04166603088379
Argentina,21.11394433027068,66.20565649359114,33.10372972488403,89.4753893924106,79.68217797409696,64.04344497360015,9.683984756469728,43.900503759871874,63.1120700878503,73.54166793823242
Armenia,18.90051945031865,63.31884484330904,25.95795500278473,94.731135268494,75.12531054625065,55.29084371572793,16.95671558380127,37.67183981453771,62.93729129424728,51.875
American Samoa,4.5974576271186445,,10.1366628408432,,37.49564234101935,0.0,0.132536381483078,,,
Antigua and Barbuda,25.32753653646718,24.69879518072289,17.923733353614807,62.06308846666795,73.66851007816945,56.84391511038504,0.1923076957464218,19.209693819907358,40.47339464930415,41.66666793823242
Australia,24.062185273368748,9.343561368209256,34.409913182258606,50.96398862407412,88.48892911908275,69.57669769682437,16.958704829216003,55.985532535677606,89.06313946649796,96.25
Austria,44.306142597125934,27.465490915033342,36.270551323890686,65.03842095710854,86.50497435325141,76.6038607163304,21.42694330215454,51.991067555225136,90.05073067566352,95.625
Azerbaijan,17.125727734667734,15.640862944162436,32.53559482097626,91.33067601888528,71.35699709217579,51.90816930962587,11.255870550870895,54.42350877245941,48.50584324553122,10.625
Burundi,2.84346251366696,16.787941787941786,19.545743104070425,87.07960613581992,20.519768665288,39.35243803613339,21.6995849609375,58.84007262732205,23.23457780245101,28.22916603088379
Belgium,38.71979511730071,11.355633802816898,34.98477178812027,60.81441866125176,85.99749616654617,69.95722715459056,18.93929982185364,44.82803512951053,92.49119598250392,93.125
Benin,4.956983779526645,7.520567567843608,27.946627259254456,89.91570553732583,23.833604331244665,26.59064375124288,13.587594389915466,49.10535026015951,31.9756758394308,55.62500190734863
Burkina Faso,5.9022428700959,11.706788957092812,25.877445951104164,87.14066159742029,12.477443299750291,30.841751519829167,17.541580200195312,45.16311662286834,37.62436786497796,35.3125
Bangladesh,8.719325351895915,28.43184066828645,30.859279692173004,92.95077019136797,60.28342277633787,36.09599758141864,9.354160949587822,34.298135329513805,50.23964494640362,41.35416793823242
