country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019
Afghanistan,41.5,36.7,44.1,71.4
Angola,69.6,68.5,41.3,49.1
Albania,52.7,49.4,67.7,36.6
UAE,76.9,78.6,80.8,15.9
Argentina,49.4,49.6,59.0,106.0
Armenia,40.0,54.4,74.5,22.6
Australia,60.6,60.8,81.2,47.4
Austria,56.5,57.5,78.7,51.4
Azerbaijan,59.2,62.7,78.5,40.7
Burundi,78.2,77.7,46.8,41.2
Belgium,50.1,50.8,75.0,55.4
Benin,68.2,61.0,52.4,48.9
Burkina Faso,62.1,61.5,51.4,41.3
Bangladesh,52.8,55.0,45.0,33.4
Bulgaria,51.7,52.7,72.0,28.3
Bahrain,69.7,69.4,76.0,13.8
Bahamas,61.4,60.9,59.9,33.8
Bosnia and Herzegovina,38.5,39.7,65.4,23.7
Belarus,59.8,60.7,74.3,53.3
Belize,56.5,56.3,55.5,31.1
Bolivia,62.9,64.2,51.7,83.7
Brazil,51.1,51.3,59.1,65.1
Barbados,53.8,54.3,57.9,35.6
Brunei,58.6,59.1,70.1,8.0
Bhutan,62.9,57.7,66.0,35.3
Botswana,57.1,49.5,66.2,25.1
Central African Republic,67.5,65.4,35.6,73.3
Canada,57.9,58.0,79.6,24.5
Channel Islands,53.1,53.5,,
Switzerland,64.2,64.6,76.6,28.8
Chile,50.8,49.2,72.6,34.0
China,63.5,61.7,77.3,59.2
Cote d'Ivoire,51.0,62.4,60.7,50.1
Cameroon,72.0,68.4,46.1,57.7
"Congo, Dem. Rep.",58.6,62.0,36.2,50.7
"Congo, Rep.",59.5,52.1,39.5,54.3
Colombia,53.0,53.3,70.1,71.2
Comoros,40.6,39.7,47.9,220.0
Cape Verde,49.4,46.2,55.0,37.5
Costa Rica,50.3,50.7,69.2,58.3
Cuba,48.4,51.2,,
Cyprus,58.9,57.9,73.4,22.4
Czech Republic,57.9,58.3,76.3,46.1
Germany,58.0,58.3,79.7,48.8
Djibouti,51.9,22.1,60.5,37.9
Denmark,58.4,58.5,85.3,23.8
Dominican Republic,56.2,56.7,60.0,48.8
Algeria,35.1,34.5,48.6,66.1
Ecuador,58.7,56.4,57.7,34.4
Egypt,38.5,38.2,60.1,44.4
Eritrea,68.5,71.4,21.6,83.7
Western Sahara,47.0,,,
Spain,47.4,47.6,77.9,47.0
Estonia,58.8,58.7,80.6,47.8
Ethiopia,74.3,76.5,48.0,37.7
Finland,54.8,54.4,80.2,36.6
Fiji,53.5,53.6,61.5,32.1
France,49.5,50.2,76.8,60.7
Gabon,41.4,36.3,45.0,47.1
UK,60.0,60.0,83.5,30.6
Georgia,56.2,56.0,83.7,9.9
Ghana,63.2,65.8,60.0,55.4
Guinea,57.0,49.3,49.4,69.3
Gambia,51.7,57.2,50.3,48.4
Guinea-Bissau,67.2,53.4,43.2,45.5
Equatorial Guinea,55.2,49.1,41.1,79.4
Greece,42.7,42.3,68.4,51.9
Guatemala,54.4,55.2,62.6,35.2
Guam,57.8,57.9,,
Guyana,43.2,41.9,55.5,30.6
"Hong Kong, China",54.9,56.1,85.3,21.9
Honduras,54.3,53.9,56.3,39.1
Croatia,47.6,47.2,73.6,20.5
Haiti,55.2,55.4,40.7,42.7
Hungary,54.3,54.3,73.4,37.9
Indonesia,63.7,64.5,69.6,30.1
India,43.0,43.3,71.0,49.7
Ireland,57.8,57.7,79.6,26.1
Iran,37.8,37.0,58.5,44.7
Iraq,35.7,34.1,44.7,30.8
Iceland,69.4,69.4,79.0,31.9
Israel,59.3,59.1,76.7,25.3
Italy,43.9,44.1,72.9,59.1
Jamaica,58.8,60.9,69.7,35.1
Jordan,30.9,32.3,69.0,28.6
Japan,60.5,60.3,78.0,46.7
Kazakhstan,62.1,65.8,79.6,28.4
Kenya,69.8,69.1,73.2,37.2
Kyrgyz Republic,50.6,56.5,67.8,29.0
Cambodia,79.1,75.1,53.8,23.1
South Korea,60.1,60.3,84.0,33.2
Kuwait,66.3,67.6,67.4,13.0
Lao,76.6,56.8,50.8,24.1
Lebanon,42.3,38.8,54.3,32.2
Liberia,70.3,73.0,43.2,46.2
Libya,38.8,36.6,32.7,32.6
St. Lucia,57.5,52.9,63.7,34.7
Sri Lanka,48.6,48.8,61.8,55.2
Lesotho,50.2,52.3,59.4,13.6
Lithuania,56.8,57.3,81.6,42.6
Luxembourg,55.8,56.7,69.6,20.4
Latvia,56.8,56.7,80.3,38.1
"Macao, China",69.2,65.9,,
Morocco,38.3,38.6,73.4,45.8
Moldova,37.8,38.8,74.4,38.7
Madagascar,81.8,82.7,47.7,38.3
Maldives,62.9,57.0,53.3,30.2
Mexico,53.8,54.0,72.4,55.1
North Macedonia,42.0,45.4,80.7,13.0
Mali,63.7,63.6,52.9,54.5
Malta,55.9,59.0,66.1,44.0
Myanmar,55.6,59.3,46.8,31.2
Montenegro,44.9,43.8,73.8,22.2
Mongolia,60.2,56.9,67.8,25.7
Mozambique,73.5,75.1,55.0,36.1
Mauritania,39.8,36.1,51.1,67.0
Mauritius,52.3,53.0,81.5,22.2
Malawi,70.7,64.4,60.9,34.5
Malaysia,61.3,62.3,81.5,38.7
Namibia,46.8,45.8,61.4,20.7
New Caledonia,52.1,49.7,,
