country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019,work_employment_2020_n,work_emptopop_2020_n,work_business_2019_n,work_taxes_2019_n,work_s
Afghanistan,41.5,36.7,44.1,71.4,20.22900763358779,11.068702290076345,36.07784431137725,29.905660377358494,24.32030365309997
Angola,69.6,68.5,41.3,49.1,73.85496183206106,71.7557251908397,31.886227544910174,19.38679245283019,49.220926755160285
Albania,52.7,49.4,67.7,36.6,41.60305343511451,35.30534351145038,71.40718562874252,13.49056603773585,40.451537153260816
UAE,76.9,78.6,80.8,15.9,87.78625954198475,91.03053435114504,91.0179640718563,3.7264150943396226,68.39029326483143
Argentina,49.4,49.6,59.0,106.0,35.30534351145038,35.68702290076337,58.383233532934135,46.22641509433962,43.900503759871874
Armenia,40.0,54.4,74.5,22.6,17.36641221374046,44.84732824427481,81.58682634730539,6.88679245283019,37.67183981453771
Australia,60.6,60.8,81.2,47.4,56.67938931297711,57.06106870229008,91.61676646706587,18.58490566037736,55.985532535677606
Austria,56.5,57.5,78.7,51.4,48.85496183206107,50.76335877862596,87.87425149700599,20.471698113207548,51.991067555225136
Azerbaijan,59.2,62.7,78.5,40.7,54.00763358778627,60.68702290076337,87.5748502994012,15.424528301886795,54.42350877245941
Burundi,78.2,77.7,46.8,41.2,90.2671755725191,89.31297709923665,40.11976047904191,15.660377358490567,58.84007262732205
Belgium,50.1,50.8,75.0,55.4,36.641221374045806,37.977099236641216,82.33532934131736,22.358490566037737,44.82803512951053
Benin,68.2,61.0,52.4,48.9,71.18320610687024,57.44274809160306,48.50299401197605,19.29245283018868,49.10535026015951
Burkina Faso,62.1,61.5,51.4,41.3,59.54198473282444,58.396946564885496,47.0059880239521,15.707547169811319,45.16311662286834
Bangladesh,52.8,55.0,45.0,33.4,41.79389312977099,45.99236641221374,37.4251497005988,11.981132075471699,34.298135329513805
Bulgaria,51.7,52.7,72.0,28.3,39.694656488549626,41.60305343511451,77.84431137724552,9.575471698113208,42.17937324975572
Bahrain,69.7,69.4,76.0,13.8,74.04580152671757,73.47328244274811,83.83233532934132,2.735849056603774,58.52181708885269
Bahamas,61.4,60.9,59.9,33.8,58.20610687022901,57.25190839694657,59.73053892215569,12.169811320754715,46.839591377521494
Bosnia and Herzegovina,38.5,39.7,65.4,23.7,14.503816793893133,16.793893129771,67.96407185628745,7.40566037735849,26.666860539327516
Belarus,59.8,60.7,74.3,53.3,55.152671755725194,56.8702290076336,81.2874251497006,21.367924528301888,53.66956261034032
Belize,56.5,56.3,55.5,31.1,48.85496183206107,48.47328244274809,53.143712574850305,10.89622641509434,40.34204581618845
Bolivia,62.9,64.2,51.7,83.7,61.06870229007634,63.5496183206107,47.45508982035929,35.70754716981132,51.94523940021442
Brazil,51.1,51.3,59.1,65.1,38.54961832061069,38.93129770992366,58.53293413173653,26.93396226415094,40.73695310660546
Barbados,53.8,54.3,57.9,35.6,43.70229007633588,44.656488549618324,56.73652694610779,13.018867924528301,39.528543374147574
Brunei,58.6,59.1,70.1,8.0,52.86259541984734,53.816793893129784,74.99999999999999,0.0,45.41984732824427
Bhutan,62.9,57.7,66.0,35.3,61.06870229007634,51.14503816793894,68.8622754491018,12.877358490566035,48.48834359942078
Botswana,57.1,49.5,66.2,25.1,50.00000000000001,35.49618320610688,69.1616766467066,8.066037735849058,40.680974397165635
Central African Republic,67.5,65.4,35.6,73.3,69.8473282442748,65.83969465648858,23.353293413173656,30.80188679245283,47.460550776597465
Canada,57.9,58.0,79.6,24.5,51.52671755725191,51.717557251908396,89.22155688622753,7.783018867924528,50.06221264082809
Channel Islands,53.1,53.5,,,42.36641221374047,43.12977099236641,,,21.37404580152672
Switzerland,64.2,64.6,76.6,28.8,63.5496183206107,64.31297709923663,84.73053892215567,9.81132075471698,55.60111377417999
Chile,50.8,49.2,72.6,34.0,37.977099236641216,34.92366412213742,78.74251497005987,12.264150943396226,40.976857318058684
China,63.5,61.7,77.3,59.2,62.213740458015266,58.77862595419848,85.77844311377245,24.150943396226417,57.730438230553155
Cote d'Ivoire,51.0,62.4,60.7,50.1,38.3587786259542,60.11450381679389,60.92814371257486,19.858490566037737,44.814979180340174
Cameroon,72.0,68.4,46.1,57.7,78.43511450381679,71.56488549618322,39.07185628742515,23.443396226415093,53.12881312846006
"Congo, Dem. Rep.",58.6,62.0,36.2,50.7,52.86259541984734,59.35114503816794,24.25149700598803,20.141509433962263,39.15168672449139
"Congo, Rep.",59.5,52.1,39.5,54.3,54.58015267175573,40.45801526717558,29.191616766467067,21.839622641509433,36.51735183672695
Colombia,53.0,53.3,70.1,71.2,42.17557251908397,42.74809160305344,74.99999999999999,29.81132075471698,47.43374621921359
Comoros,40.6,39.7,47.9,220.0,18.511450381679396,16.793893129771,41.76646706586826,100.0,44.26795264432967
Cape Verde,49.4,46.2,55.0,37.5,35.30534351145038,29.19847328244276,52.395209580838326,13.915094339622641,32.70353017858852
Costa Rica,50.3,50.7,69.2,58.3,37.02290076335878,37.78625954198474,73.65269461077844,23.72641509433962,43.04706750261539
Cuba,48.4,51.2,,,33.396946564885496,38.74045801526719,,,18.034351145038173
Cyprus,58.9,57.9,73.4,22.4,53.4351145038168,51.52671755725191,79.94011976047906,6.792452830188678,47.923601162934105
Czech Republic,57.9,58.3,76.3,46.1,51.52671755725191,52.29007633587786,84.28143712574851,17.971698113207548,51.51748228302145
Germany,58.0,58.3,79.7,48.8,51.717557251908396,52.29007633587786,89.37125748502994,19.245283018867923,53.15604352292103
Djibouti,51.9,22.1,60.5,37.9,40.0763358778626,-16.79389312977099,60.628742514970064,14.10377358490566,24.503739711991834
Denmark,58.4,58.5,85.3,23.8,52.48091603053435,52.67175572519084,97.75449101796407,7.452830188679245,52.58999824059213
Dominican Republic,56.2,56.7,60.0,48.8,48.28244274809161,49.23664122137406,59.880239520958085,19.245283018867923,44.161151627322916
Algeria,35.1,34.5,48.6,66.1,8.015267175572525,6.87022900763359,42.81437125748503,27.405660377358487,21.27638195451241
Ecuador,58.7,56.4,57.7,34.4,53.05343511450383,48.66412213740458,56.437125748503,12.452830188679245,42.65187829727267
Egypt,38.5,38.2,60.1,44.4,14.503816793893133,13.931297709923673,60.02994011976048,17.169811320754718,26.408716486083
Eritrea,68.5,71.4,21.6,83.7,71.7557251908397,77.29007633587788,2.395209580838326,35.70754716981132,46.787139569341804
Western Sahara,47.0,,,,30.725190839694662,,,,7.6812977099236655
Spain,47.4,47.6,77.9,47.0,31.48854961832061,31.870229007633593,86.67664670658684,18.39622641509434,42.10791293690884
