country,Communication,Education,Economics,Environment,Infrastructure,Health,Energy,Work,Society,Government
Aruba,3.54,2.5799999999999996,2.42,,7.38,0.0,0.11499999999999999,,,
Afghanistan,0.44999999999999996,0.8999999999999999,1.56,8.940000000000001,4.65,1.67,0.22999999999999998,3.645,2.06,0.095
Angola,0.345,3.195,3.35,9.11,3.0300000000000002,1.25,1.58,7.38,1.7300000000000002,1.2800000000000002
Albania,2.1,8.415,2.6500000000000004,9.35,7.420000000000001,2.205,1.335,6.075,6.2,3.3049999999999997
Andorra,5.669999999999999,1.5450000000000002,0.73,1.9600000000000002,7.5,2.665,0.28500000000000003,,5.120000000000001,2.5
UAE,5.58,2.655,4.3,2.6300000000000003,8.120000000000001,2.6750000000000003,0.82,10.26,8.35,1.3
Argentina,3.165,9.93,3.3100000000000005,8.950000000000001,7.970000000000001,3.2,0.485,6.585,6.3100000000000005,3.6750000000000003
Armenia,2.8349999999999995,9.495,2.6,9.47,7.51,2.765,0.8500000000000001,5.655,6.29,2.595
American Samoa,0.69,,1.01,,3.75,0.0,0.005000000000000001,,,
Antigua and Barbuda,3.795,3.7049999999999996,1.79,6.210000000000001,7.370000000000001,2.84,0.010000000000000002,2.88,4.05,2.0850000000000004
Australia,3.615,1.395,3.44,5.1000000000000005,8.85,3.48,0.8500000000000001,8.4,8.91,4.8100000000000005
Austria,6.645,4.125,3.63,6.5,8.65,3.83,1.07,7.8,9.01,4.78
Azerbaijan,2.565,2.34,3.25,9.13,7.140000000000001,2.595,0.5650000000000001,8.16,4.8500000000000005,0.53
Burundi,0.42,2.52,1.9500000000000002,8.709999999999999,2.0500000000000003,1.97,1.085,8.819999999999999,2.32,1.4100000000000001
Belgium,5.805000000000001,1.71,3.5,6.08,8.6,3.5,0.945,6.72,9.25,4.655
Benin,0.75,1.125,2.79,8.99,2.3800000000000003,1.33,0.68,7.365,3.2,2.7800000000000002
Burkina Faso,0.885,1.755,2.59,8.709999999999999,1.25,1.54,0.875,6.78,3.7600000000000002,1.765
Bangladesh,1.305,4.26,3.09,9.3,6.03,1.8050000000000002,0.47000000000000003,5.145,5.0200000000000005,2.07
Bulgaria,3.12,8.235,3.1100000000000003,8.67,7.690000000000001,2.31,1.145,6.33,5.82,3.8000000000000003
Bahrain,2.94,3.27,4.08,6.590000000000001,8.49,2.32,0.8500000000000001,8.775,6.940000000000001,0.755
Bahamas,3.39,0.0,2.94,4.09,7.490000000000001,2.845,0.020000000000000004,7.02,4.15,3.375
Bosnia and Herzegovina,3.135,8.174999999999999,2.7,8.56,7.57,2.575,0.8150000000000001,4.005,6.29,1.705
Belarus,4.47,4.784999999999999,3.34,6.7700000000000005,7.96,3.0300000000000002,0.305,8.055,4.890000000000001,0.735
Belize,1.8299999999999998,3.7049999999999996,2.5500000000000003,9.200000000000001,7.370000000000001,2.275,0.39,6.044999999999999,2.89,2.29
Bermuda,4.215,0.39,2.8600000000000003,,7.490000000000001,0.0,0.010000000000000002,,,
Bolivia,1.5299999999999998,1.845,2.42,9.24,6.120000000000001,2.1350000000000002,0.6150000000000001,7.784999999999999,5.3500000000000005,3.1050000000000004
Brazil,2.9099999999999997,1.5299999999999998,2.68,8.950000000000001,7.46,2.995,1.1050000000000002,6.105,5.33,3.44
Barbados,5.595,2.13,2.5500000000000003,6.58,8.200000000000001,2.955,0.06,5.925,4.24,3.4200000000000004
Brunei,3.0749999999999997,8.49,4.53,3.59,8.72,2.4000000000000004,1.0250000000000001,6.81,4.62,1.455
Bhutan,0.9299999999999999,1.5899999999999999,3.16,8.35,6.73,2.035,1.1500000000000001,7.2749999999999995,4.14,3.1750000000000003
Botswana,1.8599999999999999,5.73,3.12,7.46,5.960000000000001,1.9649999999999999,0.485,6.105,3.3600000000000003,3.815
Central African Republic,0.21,2.28,2.4600000000000004,8.590000000000002,0.63,1.0250000000000001,1.1800000000000002,7.125,0.61,0.78
Canada,7.905,1.2899999999999998,3.28,5.640000000000001,8.67,3.58,1.4800000000000002,7.515,8.700000000000001,4.890000000000001
Switzerland,8.67,4.095,4.0200000000000005,6.11,8.67,3.78,1.6550000000000002,8.34,9.16,4.94
Chile,3.255,3.39,3.1,8.82,7.82,3.08,0.655,6.1499999999999995,6.28,4.655
China,3.5999999999999996,2.565,3.9299999999999997,7.58,6.940000000000001,2.75,0.55,8.655,6.68,0.895
Cote d'Ivoire,1.4549999999999998,4.89,2.69,8.98,3.8000000000000003,1.5150000000000001,0.9750000000000001,6.72,4.04,2.295
Cameroon,1.005,0.825,2.5,9.120000000000001,3.6700000000000004,1.5050000000000001,1.295,7.965,3.49,1.04
"Congo, Dem. Rep.",0.3,2.8049999999999997,2.85,8.85,0.63,1.705,1.435,5.88,2.77,1.335
"Congo, Rep.",0.84,0.0,3.25,9.14,2.92,1.29,1.645,5.475,3.64,0.77
