country,2021
Afghanistan,13.2
Angola,16
Albania,45.9
Andorra,51
UAE,65
Argentina,53.1
Armenia,46.3
Antigua and Barbuda,30.9
Australia,87
Austria,88.8
Azerbaijan,43
Burundi,32.5
Belgium,89.7
Benin,30.7
Burkina Faso,28.9
Bangladesh,38.8
Bulgaria,48
Bahrain,50.3
Bahamas,45
Bosnia and Herzegovina,44.6
Belarus,32.1
Belize,41.3
Bolivia,45.1
Brazil,55.1
Barbados,50.7
Brunei,39.4
Bhutan,51
Botswana,34.2
Central African Republic,17.4
Canada,83.6
Switzerland,90.3
Chile,49.2
China,68.3
Cote d'Ivoire,31.4
Cameroon,22.1
"Congo, Dem. Rep.",27.8
"Congo, Rep.",28.1
Colombia,44.2
Comoros,40.8
Cape Verde,36.3
Costa Rica,48.4
Cuba,51
Cyprus,54.7
Czech Republic,70.6
Germany,88.1
Djibouti,26.1
Dominica,36.5
Denmark,89
Dominican Republic,43.7
Algeria,40.4
Ecuador,30.9
Egypt,42.7
Eritrea,29.1
Spain,86.4
Estonia,54.5
Ethiopia,24.1
Finland,82.8
Fiji,44.4
France,90.1
"Micronesia, Fed. Sts.",36.7
Gabon,38.3
UK,87.3
Georgia,54.3
Ghana,37.2
Guinea,41.1
Gambia,24.5
Guinea-Bissau,31.2
Equatorial Guinea,23.7
Greece,68.4
Grenada,45.5
Guatemala,34.3
Guyana,45.4
Honduras,27.4
Croatia,64.4
Haiti,22
Hungary,81.4
Indonesia,44.3
India,46.5
Ireland,82.3
Iran,43.4
Iraq,28.9
Iceland,87
Israel,57.4
Italy,89.9
Jamaica,46.2
Jordan,42.6
Japan,89.6
Kazakhstan,29.4
Kenya,28.7
Kyrgyz Republic,34.5
Cambodia,31.7
Kiribati,38
St. Kitts and Nevis,39.9
South Korea,77.5
Kuwait,43
Lao,19.2
Lebanon,33.4
Liberia,35.3
Libya,32
St. Lucia,44.2
Liechtenstein,71.7
Sri Lanka,44.1
Lesotho,32
Lithuania,50.7
Luxembourg,83.9
Latvia,56.7
Morocco,46.7
Monaco,81
Moldova,43.7
Madagascar,38.6
Maldives,36.1
Mexico,58.1
Marshall Islands,44.2
North Macedonia,48
Mali,29.1
Malta,65.1
Myanmar,34.2
Montenegro,45
Mongolia,39.4
Mozambique,30
Mauritania,32.1
Mauritius,45.7
Malawi,23.2
Malaysia,50.4
Namibia,22.9
Niger,23.5
Nigeria,35.9
Nicaragua,21
Netherlands,86.3
Norway,87.2
Nepal,34.6
Nauru,30.8
New Zealand,90
Oman,44.2
Pakistan,37
Panama,44.7
Peru,46.4
Philippines,44.1
Palau,34.4
Papua New Guinea,21.6
Poland,71.2
North Korea,32.1
Portugal,69.2
Paraguay,44.9
Palestine,38.4
Qatar,63.7
Romania,63.9
Russia,74
Rwanda,30
Saudi Arabia,60.1
Sudan,31
Senegal,18.8
Singapore,72.7
Solomon Islands,30.4
Sierra Leone,32.6
El Salvador,38.4
San Marino,51.7
Somalia,13.8
Serbia,50.1
South Sudan,22.1
Sao Tome and Principe,30.6
Suriname,40.1
Slovak Republic,63.4
Slovenia,59.6
Sweden,92
Eswatini,56.9
Seychelles,38.9
Syria,16.6
Chad,28.9
Togo,33.8
Thailand,57.9
Tajikistan,29.2
Turkmenistan,35.4
Timor-Leste,37.9
Tonga,35.1
Trinidad and Tobago,34.6
Tunisia,47.6
Turkey,54.7
Tuvalu,37.5
Tanzania,27.3
Uganda,30.3
Ukraine,62.8
Uruguay,48.5
USA,79.7
Uzbekistan,34.6
St. Vincent and the Grenadines,37.4
Venezuela,28.7
Vietnam,33.7
Vanuatu,28.8
Samoa,31
Yemen,34.7
South Africa,31.8
Zambia,22.9
Zimbabwe,16.3
