country,2015,2016,2017,2018,2019
Afghanistan,39.3,38.9,37.1,44.2,44.1
Angola,37.6,37.7,39,41.2,41.3
Albania,58.1,64.2,66.8,67,67.7
UAE,76.3,77.4,79.3,81.6,80.8
Argentina,56.7,57.2,57.3,58.2,59
Armenia,69.1,70.6,71.5,73.2,74.5
Antigua and Barbuda,59.2,58.8,59.8,59.9,60.3
Australia,80.4,80.2,80.8,80.7,81.2
Austria,78.8,78.9,78.7,78.7,78.7
Azerbaijan,65.8,64.6,67.1,73.9,78.5
Burundi,45.6,45.7,45.9,46.5,46.8
Belgium,72.4,72.4,72.2,74.7,75
Benin,48.7,49.7,51.6,51.7,52.4
Burkina Faso,50.7,50.9,51.2,51.3,51.4
Bangladesh,40.9,41,41.6,42.5,45
Bulgaria,72.5,71.6,71.7,71.8,72
Bahrain,66.6,68.7,69.1,70.1,76
Bahamas,57.1,56.9,58.6,59.4,59.9
Bosnia and Herzegovina,64.1,64.8,65.2,65.4,65.4
Belarus,68.7,72.6,73.6,74.4,74.3
Belize,55.4,55.4,55.3,55.3,55.5
Bolivia,49.8,50.2,51,51.6,51.7
Brazil,55.6,55.2,55.6,58.6,59.1
Barbados,57.7,57.8,57.7,57.7,57.9
Brunei,57.5,62.9,67.7,69.6,70.1
Bhutan,64.9,65,65.8,66,66
Botswana,65.5,65.6,65.7,66.2,66.2
Central African Republic,32,32,32.4,34.8,35.6
Canada,79.8,79.5,79.3,79.7,79.6
Switzerland,76.4,76.4,76.6,76.6,76.6
Chile,71.2,71.6,72,72.3,72.6
China,62.3,63.8,64.2,73.3,77.3
Cote d'Ivoire,50.3,51,53,58.3,60.7
Cameroon,41.9,41.8,45.1,46,46.1
"Congo, Dem. Rep.",34.4,34.4,34.6,35.2,36.2
"Congo, Rep.",38.9,38.5,37.9,38.2,39.5
Colombia,68.9,69.2,69,69.2,70.1
Comoros,46.2,46.4,46.9,47,47.9
Cape Verde,53.4,53.4,54,54,55
