country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,43.2,43.2,43.2,43.1,43,43,43,43,43,43,43,43,43.1,43.2,43.2,43.2,43.2,43.2,43.1,43.1,43.2,43.2,43.3,43.4,42.9,42.5,42,42.1,42.2,36.7,,
Angola,73.9,74,73.9,74,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.2,74.1,74.2,74.2,74.2,74.3,74.3,74.3,70,71.6,71.1,70.5,69.9,69.9,69.9,69.9,69.9,69.9,68.5,68.6,69
Albania,58.1,45.7,48.2,50.4,53.5,53.3,52.2,49.6,48.3,49,48.8,48.9,48.6,48.1,47.4,46.7,45.6,46.2,47.5,47.4,51.9,49.4,44.1,43.8,46,48.5,50.2,52,53.4,49.4,51.4,52.4
UAE,71.6,72,72.6,73,73.4,73.5,73,72.6,72.4,72.5,72.6,73,73.6,74.3,74.6,74.6,74.3,74.4,74.9,75.8,76.7,77.4,78.1,78.6,79.2,79.7,79.5,80.2,80.6,78.6,78.8,79.9
Argentina,56.7,56.8,55.3,54.7,49.9,51.4,53.5,55.1,53.8,53,51,48.4,51.7,53.6,54.4,55.6,55.9,55.7,55.5,55.5,56.3,56,55.7,55.1,54.8,54.2,53.9,54.1,54.4,49.6,55.1,56.3
Armenia,64.2,63.7,61,59.7,59.2,57.3,56.1,56.8,55.5,55.3,55.1,54.8,54.6,54.4,54.3,54.3,54.4,54.2,55.1,54.9,54.7,54.4,54.4,54.2,54.1,54.1,53.7,53.5,55.1,54.4,54.5,54.8
Australia,57.1,56.1,55.7,56.8,58.2,58.1,57.8,58.2,58.4,59.2,59,59.3,59.8,60,61.2,61.7,62.3,62.7,61.8,62,62.1,61.7,61.3,60.8,61.1,61.2,61.5,62.2,62.5,60.8,62.5,64
Austria,53.9,54.6,54.3,57,56.8,55.7,55.4,55.6,56.2,55.9,55.9,56.1,56.3,53.9,55.3,56,57,57.7,57.2,57.5,57.7,57.8,57.7,57.3,57.2,57.5,57.8,58.4,58.6,57.5,57.4,58.8
Azerbaijan,71,72.2,72.3,72.9,73.4,72.8,71.7,70.4,69.3,67.8,66.5,65.2,64.1,62.6,61.7,60.5,58.2,57.6,57.6,57.5,57.9,58.4,58.8,59.6,60.3,61.4,62,62.4,62.3,62.7,62.7,62.7
Burundi,87.2,86.6,85.8,85.1,84.4,83.6,82.7,81.9,81.2,80.5,79.9,79.4,78.8,78.4,77.9,77.6,78,78.4,78.3,78.2,78.1,77.9,77.8,77.7,78.1,78.5,78.7,78.8,78.8,77.7,78.2,78.9
Belgium,45.8,46.3,45.7,45.5,45.8,45.6,46,46.1,47.4,48.8,47.7,47.7,47.4,48.2,48.8,48.7,49.6,49.9,49.2,49.6,49.4,49.2,49,49,48.8,49,50,51,51.5,50.8,51.1,51.8
Benin,71.1,71.1,71.1,71.1,71.1,71.2,71.2,71.2,71.2,71.2,71.2,71.3,71.2,71.2,71.2,71.2,71.2,71.2,71.1,71.1,70,68.9,67.8,66.7,65.5,64.3,63.1,61.8,61.8,61,61.2,61.6
Burkina Faso,81.8,81.1,80.6,79.9,79.3,78.7,78,77.3,76.5,75.7,74.9,74,73.2,71.9,70.6,70.1,69.5,68.6,67.7,66.8,65.8,64.8,63.9,62.9,62.7,62.6,62.5,62.4,62.3,61.5,61.9,62.2
Bangladesh,57,57,57,57,57,57,56.8,56.7,56.5,56.4,56.1,55.9,55.7,55.7,55.7,56,55.5,55.1,54.6,55.3,54.9,54.6,54.2,54,53.8,53.6,55.8,55.9,56,55,55.3,56
Bulgaria,50.6,48.4,47.1,48.3,48.5,47,45.6,45.6,43.9,42,41.1,41.6,43.1,44.5,44.7,46.7,49,50.8,49.4,47.9,46.6,46.6,46.9,48,49.1,49.3,51.9,52.4,54.2,52.7,52.3,53.8
Bahrain,64.7,64.6,64.5,64.4,64.3,64.3,64.4,64.5,64.8,65.2,65.6,66.2,66.6,66.8,67.1,67.6,68.4,69.3,70.3,70.9,70.3,70.6,70.7,70.2,70,70.5,71,71.4,71.6,69.4,69.9,70.7
Bahamas,63.6,62.2,64.2,63.8,66.2,65.9,67.4,68.9,69.4,69.7,70,68.4,66.9,67.3,67.3,69.3,69,68.5,63.7,63.6,63.4,63.7,61.9,63.6,64.8,64.2,66.3,66.2,66,60.9,62.8,65
Bosnia and Herzegovina,37.5,36.8,35.8,34.6,33.7,33.2,32.7,32.3,32,31.4,31.2,31,30.8,30.4,30.2,29.9,31.3,34.4,34.1,33.2,32.8,32.9,32.9,33.5,33.5,34.4,36.7,37.5,39.7,39.7,42.4,42.7
Belarus,58.8,57.2,53.9,51.5,48.7,44.6,48.5,50.2,51,51.7,52.5,53.1,53.7,54.2,54.8,55.5,56.3,57.2,58.2,58.5,58.9,59.3,59.6,59.7,59.9,60,60.2,60.6,60.8,60.7,60.8,60.4
Belize,51.5,51.8,51.9,51,50.4,49.9,50.8,50.2,51.4,52.9,54.2,54,54.1,54.1,54.2,55.3,56.1,56.5,56.7,57,57.2,57.5,57.7,58.6,59.4,60.2,60.2,59.6,58.9,56.3,57.7,58.6
